parameter_A,parameter_B,channels,additive_cv_rmse,joint_cv_rmse,interaction_rmse_improvement_pct,additive_cv_r2,joint_cv_r2,interaction_incremental_r2,fold_reproducibility,evidence_label,reason
MEASURE_ET_HIRS,MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_SD3p5,A_high_x_high+E_spline_strong_v3_underrepresented,2.22,1.9502,12.153,0.0267,0.2482,0.2214,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2214."
MEASURE_ET_lkg_C300FB,FIC_ET_lkg_SY07_10,B_high_x_special_evidence,2.1703,1.9236,11.369,0.045,0.2661,0.2211,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2211."
MEASURE_ET_DC_RF_Max_S11_Ph_L1002,MEASURE_ET_DC_RF2_S11ang_26GHz,E_spline_strong_v3_underrepresented,2.1845,1.9127,12.441,0.059,0.2798,0.2207,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2207."
MEASURE_ET_DC_SEC_X_Bin,MEASURE_ET_DC_RF_S22dB_26GHz,B_high_x_special_evidence,2.238,1.9685,12.039,0.0097,0.2301,0.2205,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2205."
MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,MEASURE_ET_DC_RF_CF_S22_Ph_L2180,E_spline_strong_v3_underrepresented,2.1228,1.8412,13.262,0.1006,0.3204,0.2198,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2198."
THIN_ET_lkg_100_at20V,SIN_GATE_ET_lkg_SY8_80,A_high_x_high,2.1293,1.8923,11.127,0.0564,0.2756,0.2192,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2192."
TOPSIN_ET_C100Cap1pf,TOPSIN_ET_lkg_CapFICM1,A_high_x_high,2.0179,1.7179,14.868,0.1964,0.4155,0.2191,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2191."
MEASURE_ET_CapFICM1,MEASURE_ET_DC_PIV_Ids0_QP3,C_broadscreen_outlier_neither_high,2.26,1.9997,11.515,-0.0063,0.2126,0.219,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2190."
MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,TOPSIN_ET_lkg_C450pf,E_spline_strong_v3_underrepresented,2.212,1.9829,10.359,-0.0048,0.2141,0.2189,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2189."
MEASURE_ET_DC_RF_CF_S22_Ph_L2180,SIN_ET_lkg_SY07_10,A_high_x_high,2.0427,1.7437,14.638,0.1689,0.3874,0.2185,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2185."
MEASURE_ET_Rcat_cn_3,MEASURE_ET_DC_Stress_Id_max_Ig_after,A_high_x_high+E_spline_strong_v3_underrepresented,2.1513,1.8693,13.111,0.0802,0.2985,0.2183,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2183."
THIN_ET_lkg_100_at20V,FIC_ET_lkg_SY07_10,A_high_x_high,2.0951,1.8346,12.433,0.1064,0.3247,0.2183,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2183."
MEASURE_ET_DC_RF_Vbgs_0p01,MEASURE_ET_DC_Diode_S11_dB_rev_9p5,C_broadscreen_outlier_neither_high,2.1615,1.8883,12.64,0.0717,0.29,0.2183,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2183."
THIN_ET_lkg_C200,MEASURE_ET_lkg_PAD_10,A_high_x_high,2.1835,1.9346,11.399,0.0325,0.2503,0.2178,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2178."
THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_C175pf,E_spline_strong_v3_underrepresented,2.1155,1.8627,11.95,0.0808,0.2985,0.2177,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2177."
THIN_ET_lkg_100_at20V,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,A_high_x_high,2.1442,1.9065,11.088,0.0512,0.2686,0.2175,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2175."
THIN_ET_lkg_100_at20V,MEASURE_ET_lkg_100,A_high_x_high,2.1185,1.8663,11.905,0.0835,0.3006,0.2171,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2171."
THIN_ET_Probe_Number,ANODE_ET_Ran_con_1,E_spline_strong_v3_underrepresented,2.2243,1.9612,11.829,0.0239,0.241,0.2171,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2171."
MEASURE_ET_C300M1B,THIN_ET_Rc_f_hr_23,B_high_x_special_evidence,2.2263,1.9559,12.147,0.0214,0.2381,0.2166,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2166."
MEASURE_ET_lkg_C500pf,MEASURE_ET_LT_SEC_Ileak_m9V_mA_mm,C_broadscreen_outlier_neither_high,2.16,1.9061,11.754,0.0557,0.2723,0.2166,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2166."
THIN_ET_lkg_100_at20V,THIN_ET_lkg_10,A_high_x_high,2.133,1.8797,11.871,0.0711,0.2873,0.2163,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2163."
MEASURE_ET_Load_Pull_Vg,SIN_ET_DC_RF_Vt_gd,B_high_x_special_evidence,2.257,1.9972,11.511,-0.0045,0.2114,0.2159,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2159."
TOPSIN_ET_lkg_CapFICM1,TOPSIN_ET_CapFICM1_0,A_high_x_high+D_v3_multichannel_corroborated,2.0674,1.7778,14.009,0.1556,0.3712,0.2156,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2156."
TOPSIN_ET_sh_f_tn_23,BRGM_ET_Rsh_F_AB_2,A_high_x_high,2.2436,1.9895,11.329,0.0084,0.224,0.2156,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2156."
MEASURE_ET_C300M1B,CATHODE_ET_Rcat_cn_3_OW_ST,B_high_x_special_evidence,2.1753,1.9084,12.269,0.0642,0.2799,0.2156,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2156."
THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap2,A_high_x_high,2.1386,1.9031,11.008,0.0558,0.2711,0.2153,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2153."
TOPSIN_ET_lkg_5,MEASURE_ET_C300pf,A_high_x_high,2.0475,1.756,14.238,0.1596,0.3748,0.2152,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2152."
TOPSIN_ET_R414,OHMIC_ET_R114,A_high_x_high,2.2436,1.9823,11.645,0.0035,0.2187,0.2152,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2152."
MEASURE_ET_LT_SEC_Ileak_m9V_mA_mm,THIN_ET_lkg_C300,C_broadscreen_outlier_neither_high,2.1341,1.8897,11.456,0.0744,0.2894,0.215,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2150."
MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_Rc_cat_ct2_OW_ST,A_high_x_high,2.2003,1.9326,12.17,0.0442,0.2591,0.2148,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2148."
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_Rc_TF_AB_2,B_high_x_special_evidence,2.169,1.8971,12.532,0.0771,0.2919,0.2148,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2148."
TOPSIN_ET_lkg_CapFICM1,MEASURE_ET_Cap_C300FM1,B_high_x_special_evidence,2.0926,1.8141,13.309,0.134,0.3487,0.2147,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2147."
MEASURE_ET_C300FB,SIN_ET_lkg_SY07_10,B_high_x_special_evidence,2.0319,1.7293,14.89,0.178,0.3927,0.2147,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2147."
TOPSIN_ET_DC_RF_Vbin_gd,TOPSIN_ET_DC_RF_Vds_max,B_high_x_special_evidence,2.1432,1.8687,12.809,0.0903,0.305,0.2147,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2147."
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_RF_Modeling_Fmax,A_high_x_high,2.1793,1.9158,12.089,0.0645,0.2791,0.2146,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2146."
TOPSIN_ET_lkg_5,MEASURE_ET_lkg_PAD_10,A_high_x_high,2.1831,1.9544,10.477,0.0242,0.2388,0.2146,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2146."
