parameter_A,parameter_B,channels,additive_cv_rmse,joint_cv_rmse,interaction_rmse_improvement_pct,additive_cv_r2,joint_cv_r2,interaction_incremental_r2,fold_reproducibility,evidence_label,reason
MEASURE_ET_LT_SEC_Vbgd1_Vd3,MEASURE_ET_DC_RF_K_W,A_high_x_high,2.0478,1.9514,4.708,0.1725,0.2442,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
TOPSIN_ET_C300,MEASURE_ET_DC_RF_Max_S11_Freq_L2180,A_high_x_high,2.2344,2.1507,3.746,0.0188,0.0906,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
THIN_ET_DC_RF_Vbgs1,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,A_high_x_high,2.184,2.0938,4.13,0.0585,0.1303,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
FIC_ET_Vds_max,ANODE_ET_Probe_Number,A_high_x_high,2.1696,2.0845,3.919,0.07,0.1418,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
THIN_ET_TF_AB_1,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,A_high_x_high,2.0417,1.9482,4.58,0.1773,0.2491,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
MEASURE_ET_Load_Pull_GL_set,SIN_GATE_ET_Rc_OG142_GN,A_high_x_high,2.1268,2.0359,4.275,0.1058,0.1776,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
MEASURE_ET_R414,MEASURE_ET_lkg_PAD_10,A_high_x_high,2.0829,1.9936,4.289,0.1373,0.2092,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
TOPSIN_ET_R_f_hr_3,MEASURE_ET_RF_Modeling_Ft,A_high_x_high,2.1833,2.0979,3.912,0.0546,0.1263,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
MEASURE_ET_lkg_10,MEASURE_ET_RF_Modeling_Vth,A_high_x_high,2.0485,1.96,4.323,0.1666,0.2383,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
MEASURE_ET_RGAN1,THIN_ET_C20_0,A_high_x_high,2.2047,2.1234,3.688,0.0347,0.1065,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
MEASURE_ET_Rc_cat_ct2_OW_ST,OHMIC_ET_lkg_5,A_high_x_high,2.0273,1.9373,4.439,0.1811,0.2528,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
SIN_ET_DC_RF_Vbin_gs,TOPSIN_ET_DC_RF_Vp_01,A_high_x_high,2.0491,1.9512,4.778,0.1686,0.2405,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
TOPSIN_ET_CapFICM1,THIN_ET_DC_RF_Vg_optt3,A_high_x_high,2.186,2.0938,4.218,0.0527,0.1245,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
TOPSIN_ET_DC_RF_Vbgs1,TOPSIN_ET_lkg_CapPARCAP,A_high_x_high,2.0687,1.986,4.0,0.1434,0.2152,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
MEASURE_ET_DC_Stress_Idss_before,TOPSIN_ET_DC_RF_Vg_gm_max,B_high_x_special_evidence,2.2206,2.1365,3.789,0.0273,0.0991,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
MEASURE_ET_RF_Modeling_S22ang_10GHz,MEASURE_ET_DC_SEC_Ids_max_ON,B_high_x_special_evidence,2.2446,2.1575,3.883,0.0065,0.0783,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
MEASURE_ET_DC_RF_Max_S11_Freq_L1018,MEASURE_ET_Load_Pull_Vg,B_high_x_special_evidence,2.2451,2.1618,3.71,0.0054,0.0772,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
TOPSIN_ET_Rc_OG144,CATHODE_ET_C_CAT_2,B_high_x_special_evidence,2.1352,2.0439,4.276,0.0976,0.1694,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
MEASURE_ET_DC_RF_Vp_01_W,THIN_ET_DC_RF_Gm_max,B_high_x_special_evidence,2.2426,2.1562,3.855,-0.0005,0.0713,0.0718,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0718."
MEASURE_ET_LT_SEC_Id_min_mA_mm,THIN_ET_lkg_C200,A_high_x_high+E_spline_strong_v3_underrepresented,1.9858,1.887,4.972,0.2205,0.2922,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
BRIDGE_METAL_Height_Final_TOP_metal_thickness,MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,A_high_x_high,2.0091,1.9128,4.794,0.1989,0.2706,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_DC_RF_Vbon_min,CATHODE_ET_Rcat_cn_3_OW_ST,A_high_x_high,2.1734,2.0888,3.894,0.0668,0.1385,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
FIC_ET_DC_RF_Vp_01,FIC_ET_DC_RF_Vbgs1,A_high_x_high,2.1703,2.0843,3.96,0.0633,0.135,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
FIC_ET_DC_RF_Vp_01,MEASURE_ET_C_CAT_2,A_high_x_high,2.2166,2.1328,3.78,0.0291,0.1009,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
FIC_ET_G_per_25,MEASURE_ET_lkg_CapFICBRGM,A_high_x_high,2.1397,2.0526,4.071,0.0964,0.1681,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
FIC_ET_Gm_m2,SIN_ET_DC_RF_Vbin_gd,A_high_x_high,2.1036,2.0156,4.184,0.1254,0.1971,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_DC_PIV_Drain_Lag_0,FIC_ET_R_f_tn_1,A_high_x_high,2.1166,2.0306,4.064,0.1135,0.1852,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
FIC_ET_Rc_f_tn_23,MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_SD3p5,A_high_x_high,2.2055,2.1176,3.987,0.0431,0.1149,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
TOPSIN_ET_DC_PIV_Drain_Lag_1,FIC_ET_Vp_1,A_high_x_high,1.9825,1.8894,4.696,0.2239,0.2956,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_C100C175pf,A_high_x_high,2.1744,2.0871,4.015,0.0679,0.1396,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
TOPSIN_ET_Cap3pf,MEASURE_ET_C100CapPARCAP,A_high_x_high,2.1365,2.0487,4.11,0.1054,0.1771,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_lkg_Cap_USV,MEASURE_ET_C200_0,A_high_x_high,2.0238,1.924,4.928,0.1904,0.262,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
TOPSIN_ET_DC_SMALL_Vbgd1,MEASURE_ET_DC_RF2_S22ang_26GHz,A_high_x_high,2.1733,2.0873,3.959,0.0675,0.1392,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_DC_RF_Max_S11_Freq_L1018,MEASURE_ET_lkg_C300,A_high_x_high,2.0598,1.9768,4.03,0.156,0.2277,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_DC_RF_S22dB_26GHz_W,TOPSIN_ET_Cap3pf_0,A_high_x_high,2.1993,2.1073,4.184,0.0494,0.1211,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
THIN_ET_C200_0,MEASURE_ET_DC_RF_Vbin_gs,A_high_x_high,2.1955,2.108,3.984,0.0478,0.1195,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
TOPSIN_ET_C100Cap2pf,MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,A_high_x_high,2.1856,2.096,4.1,0.0603,0.132,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
OHMIC_ET_Rc_OG142,MEASURE_ET_DC_SEC_Vbin_gs,A_high_x_high,2.1668,2.0804,3.991,0.076,0.1477,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,THIN_ET_DC_RF_Vp_1,A_high_x_high,2.1811,2.0921,4.08,0.0605,0.1321,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_DC_SMALL_Vdg_max_0p1,MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,A_high_x_high,2.2285,2.1446,3.766,0.0211,0.0928,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_lkg_70,MEASURE_ET_DC_SMALL_Imax,A_high_x_high,2.0313,1.9387,4.556,0.176,0.2478,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_RF_Modeling_Fmax,MEASURE_ET_DC_Stress_Id_max_Ig_after,A_high_x_high,2.1929,2.1039,4.057,0.049,0.1208,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
THIN_ET_Rcat_cn_1,MEASURE_ET_DC_Stress_Vp_after,A_high_x_high,2.2293,2.1483,3.637,0.019,0.0907,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_HIRS,TOPSIN_ET_Load_Pull_P.A.E_Last,A_high_x_high,2.1676,2.0853,3.798,0.0691,0.1407,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_R414,SIN_ET_lkg_SY8_80,A_high_x_high,2.0804,1.9953,4.088,0.1432,0.2149,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_RF_Modeling_Mag_d,SIN_GATE_ET_Rc_OG142_GN,A_high_x_high,2.1558,2.0667,4.136,0.0808,0.1525,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_Rc_OG144,TOPSIN_ET_DC_PIV_Ids0_QP3,A_high_x_high,2.2387,2.1556,3.712,0.0098,0.0815,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_Rc_an_ct2,SIN_ET_DC_RF_Gm_0,A_high_x_high,2.182,2.096,3.94,0.06,0.1317,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
TOPSIN_ET_R514,MEASURE_ET_Rc_an_ct2_OW_CR,A_high_x_high,2.1191,2.0287,4.268,0.1134,0.1851,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
TOPSIN_ET_R514,MEASURE_ET_Rc_cat_ct2_OW_ST,A_high_x_high,2.1921,2.1107,3.711,0.0491,0.1207,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_Rc_f_tn_23,THIN_ET_DC_RF_Vbgs_0p1,A_high_x_high,2.0212,1.9324,4.394,0.1947,0.2664,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_lkg_5,MEASURE_ET_Rcat_cn_1_OW_ST,A_high_x_high,2.0396,1.9488,4.449,0.1715,0.2431,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_Vbkdn_Cap100,TOPSIN_ET_Rc_OG144,A_high_x_high,2.183,2.0949,4.036,0.058,0.1296,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
THIN_ET_TF_AB_1,MEASURE_ET_lkg_100,A_high_x_high,1.9991,1.9037,4.77,0.211,0.2827,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_lkg_50_at20V,SIN_GATE_ET_Rc_OG142_GN,A_high_x_high,2.0153,1.9194,4.759,0.192,0.2637,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
TOPSIN_ET_CapPARCAP,SIN_ET_DC_RF_Vbgs_0p01,A_high_x_high,2.121,2.0308,4.255,0.1147,0.1864,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
THIN_ET_lkg_C200,THIN_ET_DC_RF_Gm_max,A_high_x_high,1.9982,1.9077,4.526,0.2052,0.2769,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
THIN_ET_DC_RF_Vp_1,TOPSIN_ET_lkg_SY07_10,A_high_x_high,2.0415,1.954,4.287,0.1651,0.2368,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
THIN_ET_R314,TOPSIN_ET_DC_RF_Vg_gm_max,A_high_x_high,2.2047,2.1202,3.834,0.0384,0.11,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
TOPSIN_ET_CapFICBRGM,THIN_ET_Ran_con_2_OW_CR,A_high_x_high,2.1708,2.0898,3.731,0.0692,0.1409,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
THIN_ET_sh_f_hr_23,THIN_ET_lkg_C200,A_high_x_high,1.9844,1.8842,5.047,0.2181,0.2898,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
TOPSIN_ET_DC_RF_Vg_optt,THIN_ET_lkg_PAD_10,A_high_x_high,2.0943,2.0099,4.03,0.1227,0.1944,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
TOPSIN_ET_I_5,TOPSIN_ET_R114,A_high_x_high,2.1523,2.0614,4.223,0.078,0.1497,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
THIN_ET_Rc_F_AB_2,MEASURE_ET_DC_RF_Max_S11_Freq_L2180,B_high_x_special_evidence,2.242,2.1546,3.897,0.0063,0.0779,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_second_FPSD3p2,TOPSIN_ET_DC_SMALL_Vg_gm_max,B_high_x_special_evidence,2.1735,2.0819,4.213,0.0686,0.1403,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
ANODE_ET_Ran_con_1,FIC_ET_DC_RF_Vbgs_0p01,A_high_x_high,2.1216,2.036,4.036,0.1116,0.1833,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
TOPSIN_ET_lkg_SY8_80,MEASURE_ET_DC_SEC_Ids_max_ON,B_high_x_special_evidence,2.0844,1.9905,4.508,0.1312,0.2029,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_DC_RF_Gm_m0p2,OHMIC_ET_OHMC,B_high_x_special_evidence,2.2281,2.1496,3.524,0.0192,0.0909,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_pos,BRGM_ET_Rsh_F_AB_2,B_high_x_special_evidence,2.2267,2.1383,3.97,0.0221,0.0939,0.0717,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0717."
OHMIC_ET_R114,MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,A_high_x_high+E_spline_strong_v3_underrepresented,2.1909,2.1054,3.905,0.0542,0.1258,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
THIN_ET_DC_RF_Vp_1,ANODE_ET_Rc_an_ct2_OW_CR,A_high_x_high,2.2062,2.121,3.86,0.0352,0.1068,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
CATHODE_ET_Rc_cat_ct2,THIN_ET_C_AN_2,A_high_x_high,2.1437,2.0585,3.974,0.0908,0.1625,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
TOPSIN_ET_DC_PIV_Ids1_QP1,CATHODE_ET_Rsh_cat_c2,A_high_x_high,2.1598,2.0748,3.934,0.0743,0.1459,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
FIC_ET_Bad_Gates,FIN_FIN_Alignment_FIN_to_ohmic_alignment,A_high_x_high,2.2013,2.1168,3.839,0.048,0.1197,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_RGAN1,FIC_ET_DC_RF_Vdg_max_0p1mA,A_high_x_high,2.2165,2.1394,3.479,0.0217,0.0933,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
FIC_ET_DC_RF_Vp_01,TOPSIN_ET_Rc_OG144,A_high_x_high,2.1901,2.1007,4.081,0.0509,0.1225,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
TOPSIN_ET_DC_RF_Imax,FIC_ET_Gm_max,A_high_x_high,2.2168,2.1397,3.475,0.0199,0.0914,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
FIC_ET_lkg_SY8_80,TFRP_ET_Rc_TF_AB_2,A_high_x_high,2.0328,1.9466,4.241,0.175,0.2466,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
FIC_ET_sh_f_tn_23,MEASURE_ET_lkg_Cap_USV,A_high_x_high,2.0232,1.934,4.407,0.1862,0.2578,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_C100C300pf,MEASURE_ET_C300pf,A_high_x_high,2.2449,2.1628,3.658,0.0091,0.0807,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_C300,MEASURE_ET_DC_Diode_Rs_9p5,A_high_x_high,2.2522,2.1728,3.523,-0.0,0.0715,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_C300FB_0,TOPSIN_ET_lkg_Cap_USV,A_high_x_high,2.0554,1.9581,4.735,0.1636,0.2352,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,MEASURE_ET_C300FM1,A_high_x_high,2.2279,2.1366,4.1,0.0239,0.0955,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
THIN_ET_lkg_PAD_10,MEASURE_ET_C300FM1,A_high_x_high,2.0891,1.995,4.504,0.1377,0.2093,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_Cap3pf_0,THIN_ET_lkg_10,A_high_x_high,2.0474,1.9534,4.593,0.1721,0.2437,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
SIN_ET_DC_RF_Vbin_gs,MEASURE_ET_DC_RF_CF_S21_Mag_L1018,A_high_x_high,2.0459,1.9558,4.405,0.174,0.2456,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_DC_RF_Id_Vbon_min,TOPSIN_ET_DC_PIV_Ids0_QP3,A_high_x_high,2.227,2.1396,3.923,0.023,0.0945,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_DC_RF_Max_S11_Freq_L1018,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,A_high_x_high,2.0973,2.0152,3.916,0.1286,0.2002,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_DC_RF_Vbgs_0p1,MEASURE_ET_lkg_USV_Cap,A_high_x_high,2.107,2.0192,4.167,0.1156,0.1873,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_DC_SMALL_Vbgd_0p1,A_high_x_high,2.1547,2.0709,3.886,0.0781,0.1497,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
TOPSIN_ET_Gate_res,MEASURE_ET_DC_RF_Vbon_min,A_high_x_high,2.2035,2.1166,3.944,0.0395,0.1112,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_DC_RF_Vt_gd,TOPSIN_ET_DC_RF_Vp_01,A_high_x_high,2.2257,2.1393,3.88,0.0225,0.0942,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,THIN_ET_DC_RF_Imax,A_high_x_high,2.1129,2.0238,4.219,0.1169,0.1885,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,TOPSIN_ET_Cap_USV,A_high_x_high,2.1983,2.1133,3.867,0.0497,0.1213,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
TOPSIN_ET_lkg_SY8_80,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,A_high_x_high,2.0437,1.962,3.996,0.1642,0.2358,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
THIN_ET_TF_AB_1,MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_SD3p5,A_high_x_high,2.2009,2.1124,4.021,0.0484,0.12,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,SIN_ET_DC_RF_Vbgd_0p1,A_high_x_high,2.0205,1.9294,4.511,0.1901,0.2618,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
TOPSIN_ET_CapUSV_0,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,A_high_x_high,2.085,1.9909,4.512,0.1442,0.2158,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
TOPSIN_ET_DC_RF_Vp_01,MEASURE_ET_RF_Modeling_Fmax,A_high_x_high,2.2204,2.1405,3.597,0.0277,0.0992,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
TOPSIN_ET_Gate_res,MEASURE_ET_RF_Modeling_K,A_high_x_high,2.2128,2.1301,3.74,0.0277,0.0994,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_RGAN1,MEASURE_ET_lkg_50_at20V,A_high_x_high,2.0586,1.9657,4.515,0.1528,0.2244,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_lkg_Cap_USV,MEASURE_ET_Rc_OG142_GN,A_high_x_high,1.8757,1.7734,5.454,0.295,0.3666,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
TOPSIN_ET_Vg_gm_max,MEASURE_ET_Rc_an_ct2,A_high_x_high,2.1925,2.1073,3.89,0.053,0.1247,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_Rcat_cn_2,SIN_GATE_ET_lkg_5,A_high_x_high,1.9165,1.8171,5.183,0.2748,0.3463,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_Vbkdn_Cap100,SIN_ET_DC_RF_Vg_max_Vd,A_high_x_high,2.1822,2.0939,4.044,0.0596,0.1312,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_lkg_C385pf,SIN_ET_DC_RF_Vt_gd,A_high_x_high,2.0707,1.9777,4.492,0.1531,0.2247,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_lkg_Cap1,MEASURE_ET_lkg_CapFICBRGM,A_high_x_high,2.0698,1.9828,4.201,0.1443,0.2159,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
MEASURE_ET_lkg_CapFICBRGM,THIN_ET_lkg_PAD_10,A_high_x_high,2.053,1.9608,4.493,0.1618,0.2334,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
OHMIC_ET_OHMC,THIN_ET_KLV_F_AB_4u,A_high_x_high,2.2611,2.1808,3.552,-0.0076,0.0641,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
THIN_ET_TF_AB_1,OHMIC_ET_R114,A_high_x_high,2.1915,2.1045,3.968,0.0529,0.1245,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
SIN_GATE_ET_lkg_5,THIN_ET_DC_RF_Imax,A_high_x_high,1.9814,1.891,4.567,0.2179,0.2895,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
TOPSIN_ET_lkg_C450pf,THIN_ET_DC_RF_Imax,A_high_x_high,2.0123,1.9273,4.227,0.1828,0.2544,0.0716,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0716."
