parameter_A,parameter_B,broad_screen_score
MEASURE_ET_Rc_F_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4319656442847876
TOPSIN_ET_R_f_hr_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4317630709095444
BRGM_ET_Probe_Number,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.43155525192059135
MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4314953414100726
OHMIC_ET_Rc_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4314903837901096
MEASURE_ET_DC_SEC_S_Vg_at_I1_neg_SD3p5,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4313804980930391
MEASURE_ET_C100CapPARCAP,SIN_GATE_ET_lkg_SY8_80,0.4312648623902303
FIC_ET_lkg_SY8_80,MEASURE_ET_Rcat_cn_1_OW_ST,0.43102091152267386
MEASURE_ET_DC_RF2_S11ang_26GHz,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.430976399574844
MEASURE_ET_Rc_TF_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.43085980187677714
MEASURE_ET_Rc_F_AB_2,THIN_ET_lkg_100_at20V,0.43084986338195574
MEASURE_ET_DC_Big_S11ang_10GHz,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4306698537355471
THIN_ET_lkg_100_at20V,TOPSIN_ET_CapFICM1_0,0.43059914275502004
MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4305853862318913
MEASURE_ET_DC_RF_S11ang_26GHz_W,THIN_ET_lkg_100_at20V,0.43046804607634803
MEASURE_ET_CapPARCAP,TOPSIN_ET_lkg_C450pf,0.4303321720511433
FIC_ET_lkg_SY8_80,THIN_ET_Rc_cat_ct2,0.4300483000088928
FIC_ET_Rc_OG142,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.430010113327347
THIN_ET_lkg_100_at20V,THIN_ET_DC_RF_Vg_optt3,0.42997707355201775
TOPSIN_ET_OHMC,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4298819777265426
TOPSIN_ET_lkg_C450pf,EBCR2_Ali_Litho_Gate_to_ohmic_alignment,0.4297957046810276
