parameter_A,parameter_B,channels,additive_cv_rmse,joint_cv_rmse,interaction_rmse_improvement_pct,additive_cv_r2,joint_cv_r2,interaction_incremental_r2,shap_interaction_strength,h_statistic_strength,fold_reproducibility,high_yield_region,low_yield_region,conditional_effect_description,evidence_label,reason
MEASURE_ET_lkg_PAD_10,MEASURE_ET_DC_SEC_Vp_1mA,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.0871,1.8619,10.79,0.1383,0.3035,0.1652,0.0,0.0002,5/5,"MEASURE_ET_lkg_PAD_10 in [-inf, 0.04514] AND MEASURE_ET_DC_SEC_Vp_1mA in [-1.075, -0.9818]","MEASURE_ET_lkg_PAD_10 in [0.1313, +inf] AND MEASURE_ET_DC_SEC_Vp_1mA in [-1.075, -0.9818]","Effect of MEASURE_ET_lkg_PAD_10 (low->high) on Yield: when MEASURE_ET_DC_SEC_Vp_1mA is low = -1.419 pt, medium = -3.463 pt, high = -0.721 pt. The effect of MEASURE_ET_lkg_PAD_10 is largest when MEASURE_ET_DC_SEC_Vp_1mA is medium (a decrease of 3.463 pt) and smallest when MEASURE_ET_DC_SEC_Vp_1mA is high (0.721 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1652."
MEASURE_ET_DC_SEC_Vbin_gs,THIN_ET_C20_0,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.2015,1.9904,9.589,0.0456,0.2082,0.1626,0.0,0.0,5/5,"MEASURE_ET_DC_SEC_Vbin_gs in [29.81, +inf] AND THIN_ET_C20_0 in [7.86, 9.137]","MEASURE_ET_DC_SEC_Vbin_gs in [-inf, 24.66] AND THIN_ET_C20_0 in [-inf, 7.86]","Effect of MEASURE_ET_DC_SEC_Vbin_gs (low->high) on Yield: when THIN_ET_C20_0 is low = +2.518 pt, medium = +0.652 pt, high = -0.149 pt. The effect of MEASURE_ET_DC_SEC_Vbin_gs is largest when THIN_ET_C20_0 is low (an increase of 2.518 pt) and smallest when THIN_ET_C20_0 is high (0.149 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1626."
MEASURE_ET_DC_RF_CF_S22_Ph_L1018,MEASURE_ET_DC_RF_Vt_gd,F_score_disagreement,2.2326,2.0397,8.641,0.0141,0.1714,0.1573,0.0,0.0,5/5,"MEASURE_ET_DC_RF_CF_S22_Ph_L1018 in [-inf, -14] AND MEASURE_ET_DC_RF_Vt_gd in [-inf, 5.244]","MEASURE_ET_DC_RF_CF_S22_Ph_L1018 in [-10.69, +inf] AND MEASURE_ET_DC_RF_Vt_gd in [-inf, 5.244]","Effect of MEASURE_ET_DC_RF_CF_S22_Ph_L1018 (low->high) on Yield: when MEASURE_ET_DC_RF_Vt_gd is low = -1.264 pt, medium = +0.525 pt, high = +0.778 pt. The effect of MEASURE_ET_DC_RF_CF_S22_Ph_L1018 is largest when MEASURE_ET_DC_RF_Vt_gd is low (a decrease of 1.264 pt) and smallest when MEASURE_ET_DC_RF_Vt_gd is medium (0.525 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1573."
THIN_ET_lkg_100_at20V,THIN_ET_DC_RF_Vg_optt3,B_existing_shap_interaction+C_existing_h_statistic,1.9516,1.7256,11.581,0.2375,0.3938,0.1562,0.00016,0.0169,5/5,"THIN_ET_lkg_100_at20V in [0.06038, 0.08743] AND THIN_ET_DC_RF_Vg_optt3 in [7.823, +inf]","THIN_ET_lkg_100_at20V in [0.1194, +inf] AND THIN_ET_DC_RF_Vg_optt3 in [7.823, +inf]","Effect of THIN_ET_lkg_100_at20V (low->high) on Yield: when THIN_ET_DC_RF_Vg_optt3 is low = -0.311 pt, medium = -3.308 pt, high = -3.440 pt. The effect of THIN_ET_lkg_100_at20V is largest when THIN_ET_DC_RF_Vg_optt3 is high (a decrease of 3.440 pt) and smallest when THIN_ET_DC_RF_Vg_optt3 is low (0.311 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1562."
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_100,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.0626,1.8551,10.058,0.1566,0.3102,0.1536,0.0,0.0,5/5,"MEASURE_ET_DC_SEC_Vp_1mA in [-0.9818, -0.8693] AND MEASURE_ET_lkg_100 in [0.06512, 0.09071]","MEASURE_ET_DC_SEC_Vp_1mA in [-0.9818, -0.8693] AND MEASURE_ET_lkg_100 in [0.1309, +inf]","Effect of MEASURE_ET_DC_SEC_Vp_1mA (low->high) on Yield: when MEASURE_ET_lkg_100 is low = -0.018 pt, medium = +0.387 pt, high = +0.542 pt. The effect of MEASURE_ET_DC_SEC_Vp_1mA is largest when MEASURE_ET_lkg_100 is high (an increase of 0.542 pt) and smallest when MEASURE_ET_lkg_100 is low (0.018 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1536."
THIN_ET_Ran_con_2,MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.2408,2.0634,7.917,0.0075,0.1612,0.1536,0.0,0.0,5/5,"THIN_ET_Ran_con_2 in [30.47, +inf] AND MEASURE_ET_DC_SEC_X_Vp_1_mA_mm in [-0.9566, -0.8875]","THIN_ET_Ran_con_2 in [-inf, 26.84] AND MEASURE_ET_DC_SEC_X_Vp_1_mA_mm in [-1.065, -0.9566]","Effect of THIN_ET_Ran_con_2 (low->high) on Yield: when MEASURE_ET_DC_SEC_X_Vp_1_mA_mm is low = -1.955 pt, medium = +1.154 pt, high = +0.659 pt. The effect of THIN_ET_Ran_con_2 is largest when MEASURE_ET_DC_SEC_X_Vp_1_mA_mm is low (a decrease of 1.955 pt) and smallest when MEASURE_ET_DC_SEC_X_Vp_1_mA_mm is high (0.659 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1536."
MEASURE_ET_DC_RF_CF_S22_Ph_L1018,TOPSIN_ET_Cap2pf,F_score_disagreement,2.1498,1.9549,9.063,0.0881,0.2382,0.1501,0.0,0.0,5/5,"MEASURE_ET_DC_RF_CF_S22_Ph_L1018 in [-13.16, -12.15] AND TOPSIN_ET_Cap2pf in [0.7082, 0.7679]","MEASURE_ET_DC_RF_CF_S22_Ph_L1018 in [-10.69, +inf] AND TOPSIN_ET_Cap2pf in [-inf, 0.7082]","Effect of MEASURE_ET_DC_RF_CF_S22_Ph_L1018 (low->high) on Yield: when TOPSIN_ET_Cap2pf is low = -1.920 pt, medium = +0.934 pt, high = +0.937 pt. The effect of MEASURE_ET_DC_RF_CF_S22_Ph_L1018 is largest when TOPSIN_ET_Cap2pf is low (a decrease of 1.920 pt) and smallest when TOPSIN_ET_Cap2pf is medium (0.934 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1501."
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_100_at20V,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.1589,1.9663,8.921,0.0797,0.2295,0.1498,0.0,0.0,5/5,"MEASURE_ET_DC_SEC_Vp_1mA in [-1.075, -0.9818] AND MEASURE_ET_lkg_100_at20V in [0.04497, 0.06147]","MEASURE_ET_DC_SEC_Vp_1mA in [-0.9818, -0.8693] AND MEASURE_ET_lkg_100_at20V in [0.1296, +inf]","Effect of MEASURE_ET_DC_SEC_Vp_1mA (low->high) on Yield: when MEASURE_ET_lkg_100_at20V is low = -0.403 pt, medium = +1.173 pt, high = +0.630 pt. The effect of MEASURE_ET_DC_SEC_Vp_1mA is largest when MEASURE_ET_lkg_100_at20V is medium (an increase of 1.173 pt) and smallest when MEASURE_ET_lkg_100_at20V is low (0.403 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1498."
MEASURE_ET_DC_SEC_Vp_1mA,FIC_ET_lkg_SY07_10,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.0542,1.8494,9.968,0.1678,0.3169,0.1492,0.0,0.0,5/5,"MEASURE_ET_DC_SEC_Vp_1mA in [-1.075, -0.9818] AND FIC_ET_lkg_SY07_10 in [0.06011, 0.0875]","MEASURE_ET_DC_SEC_Vp_1mA in [-0.9818, -0.8693] AND FIC_ET_lkg_SY07_10 in [0.115, +inf]","Effect of MEASURE_ET_DC_SEC_Vp_1mA (low->high) on Yield: when FIC_ET_lkg_SY07_10 is low = +0.086 pt, medium = +0.615 pt, high = +0.658 pt. The effect of MEASURE_ET_DC_SEC_Vp_1mA is largest when FIC_ET_lkg_SY07_10 is high (an increase of 0.658 pt) and smallest when FIC_ET_lkg_SY07_10 is low (0.086 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1492."
MEASURE_ET_DC_SEC_Vp_1mA,TOPSIN_ET_lkg_Cap_USV,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.0859,1.8919,9.3,0.1364,0.2852,0.1488,0.0,0.0,5/5,"MEASURE_ET_DC_SEC_Vp_1mA in [-1.075, -0.9818] AND TOPSIN_ET_lkg_Cap_USV in [-inf, 0.04807]","MEASURE_ET_DC_SEC_Vp_1mA in [-1.075, -0.9818] AND TOPSIN_ET_lkg_Cap_USV in [0.1323, +inf]","Effect of MEASURE_ET_DC_SEC_Vp_1mA (low->high) on Yield: when TOPSIN_ET_lkg_Cap_USV is low = -0.107 pt, medium = +1.290 pt, high = +0.443 pt. The effect of MEASURE_ET_DC_SEC_Vp_1mA is largest when TOPSIN_ET_lkg_Cap_USV is medium (an increase of 1.290 pt) and smallest when TOPSIN_ET_lkg_Cap_USV is low (0.107 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1488."
SIN_ET_lkg_SY8_80,MEASURE_ET_lkg_70,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.1556,1.9845,7.936,0.068,0.2155,0.1475,0.0,0.0,5/5,"SIN_ET_lkg_SY8_80 in [0.04834, 0.06194] AND MEASURE_ET_lkg_70 in [-inf, 0.04228]","SIN_ET_lkg_SY8_80 in [0.1262, +inf] AND MEASURE_ET_lkg_70 in [0.1258, +inf]","Effect of SIN_ET_lkg_SY8_80 (low->high) on Yield: when MEASURE_ET_lkg_70 is low = -1.351 pt, medium = -0.178 pt, high = -1.090 pt. The effect of SIN_ET_lkg_SY8_80 is largest when MEASURE_ET_lkg_70 is low (a decrease of 1.351 pt) and smallest when MEASURE_ET_lkg_70 is medium (0.178 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1475."
THIN_ET_lkg_C200,MEASURE_ET_DC_SEC_Vp_1mA,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.0332,1.8273,10.129,0.1804,0.3276,0.1472,0.0,0.0,5/5,"THIN_ET_lkg_C200 in [0.06047, 0.09219] AND MEASURE_ET_DC_SEC_Vp_1mA in [-0.9818, -0.8693]","THIN_ET_lkg_C200 in [0.139, +inf] AND MEASURE_ET_DC_SEC_Vp_1mA in [-0.9818, -0.8693]","Effect of THIN_ET_lkg_C200 (low->high) on Yield: when MEASURE_ET_DC_SEC_Vp_1mA is low = -1.673 pt, medium = -3.678 pt, high = -0.873 pt. The effect of THIN_ET_lkg_C200 is largest when MEASURE_ET_DC_SEC_Vp_1mA is medium (a decrease of 3.678 pt) and smallest when MEASURE_ET_DC_SEC_Vp_1mA is high (0.873 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1472."
TOPSIN_ET_C300pf,TOPSIN_ET_R514,F_score_disagreement,2.1959,2.0224,7.902,0.0506,0.1963,0.1457,0.0,0.0017,5/5,"TOPSIN_ET_C300pf in [-inf, 0.7121] AND TOPSIN_ET_R514 in [-inf, 12.37]","TOPSIN_ET_C300pf in [0.7121, 0.7796] AND TOPSIN_ET_R514 in [-inf, 12.37]","Effect of TOPSIN_ET_C300pf (low->high) on Yield: when TOPSIN_ET_R514 is low = -0.399 pt, medium = +0.088 pt, high = +0.638 pt. The effect of TOPSIN_ET_C300pf is largest when TOPSIN_ET_R514 is high (an increase of 0.638 pt) and smallest when TOPSIN_ET_R514 is medium (0.088 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1457."
MEASURE_ET_DC_RF_CF_S22_Ph_L1018,TOPSIN_ET_Cap_C300,F_score_disagreement,2.2212,2.0408,8.125,0.0233,0.169,0.1456,0.0,0.0,5/5,"MEASURE_ET_DC_RF_CF_S22_Ph_L1018 in [-13.16, -12.15] AND TOPSIN_ET_Cap_C300 in [-inf, 0.7179]","MEASURE_ET_DC_RF_CF_S22_Ph_L1018 in [-10.69, +inf] AND TOPSIN_ET_Cap_C300 in [-inf, 0.7179]","Effect of MEASURE_ET_DC_RF_CF_S22_Ph_L1018 (low->high) on Yield: when TOPSIN_ET_Cap_C300 is low = -1.299 pt, medium = +0.384 pt, high = +0.804 pt. The effect of MEASURE_ET_DC_RF_CF_S22_Ph_L1018 is largest when TOPSIN_ET_Cap_C300 is low (a decrease of 1.299 pt) and smallest when TOPSIN_ET_Cap_C300 is medium (0.384 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1456."
TOPSIN_ET_lkg_C450pf,MEASURE_ET_Rc_OG142_GN,A_top_score1_nonadditivity,1.926,1.7315,10.096,0.2546,0.399,0.1443,0.0,0.0,5/5,"TOPSIN_ET_lkg_C450pf in [0.06232, 0.08421] AND MEASURE_ET_Rc_OG142_GN in [0.1859, 0.2046]","TOPSIN_ET_lkg_C450pf in [0.1248, +inf] AND MEASURE_ET_Rc_OG142_GN in [0.244, +inf]","Effect of TOPSIN_ET_lkg_C450pf (low->high) on Yield: when MEASURE_ET_Rc_OG142_GN is low = -2.570 pt, medium = -1.007 pt, high = -2.855 pt. The effect of TOPSIN_ET_lkg_C450pf is largest when MEASURE_ET_Rc_OG142_GN is high (a decrease of 2.855 pt) and smallest when MEASURE_ET_Rc_OG142_GN is medium (1.007 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1443."
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_5,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.0814,1.8902,9.187,0.1404,0.2846,0.1442,0.0,0.0,5/5,"MEASURE_ET_DC_SEC_Vp_1mA in [-0.9818, -0.8693] AND MEASURE_ET_lkg_5 in [0.04742, 0.06103]","MEASURE_ET_DC_SEC_Vp_1mA in [-0.9818, -0.8693] AND MEASURE_ET_lkg_5 in [0.1196, +inf]","Effect of MEASURE_ET_DC_SEC_Vp_1mA (low->high) on Yield: when MEASURE_ET_lkg_5 is low = +0.230 pt, medium = -0.112 pt, high = +0.899 pt. The effect of MEASURE_ET_DC_SEC_Vp_1mA is largest when MEASURE_ET_lkg_5 is high (an increase of 0.899 pt) and smallest when MEASURE_ET_lkg_5 is medium (0.112 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1442."
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,TOPSIN_ET_lkg_5,B_existing_shap_interaction+C_existing_h_statistic,1.9674,1.759,10.594,0.2239,0.3672,0.1434,0.00372,0.0781,5/5,"MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2 in [26.8, +inf] AND TOPSIN_ET_lkg_5 in [0.04829, 0.06242]","MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2 in [-inf, 23.64] AND TOPSIN_ET_lkg_5 in [0.1255, +inf]","Effect of MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2 (low->high) on Yield: when TOPSIN_ET_lkg_5 is low = +0.129 pt, medium = +0.254 pt, high = +3.644 pt. The effect of MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2 is largest when TOPSIN_ET_lkg_5 is high (an increase of 3.644 pt) and smallest when TOPSIN_ET_lkg_5 is low (0.129 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1434."
THIN_ET_lkg_100_at20V,EBCR2_Ali_Litho_Gate_to_ohmic_alignment,A_top_score1_nonadditivity+B_existing_shap_interaction+C_existing_h_statistic,1.9428,1.7478,10.033,0.2463,0.3877,0.1414,0.00543,0.3917,5/5,"THIN_ET_lkg_100_at20V in [-inf, 0.04549] AND EBCR2_Ali_Litho_Gate_to_ohmic_alignment in [-0.002942, 0.006968]","THIN_ET_lkg_100_at20V in [0.1194, +inf] AND EBCR2_Ali_Litho_Gate_to_ohmic_alignment in [0.01798, +inf]","Effect of THIN_ET_lkg_100_at20V (low->high) on Yield: when EBCR2_Ali_Litho_Gate_to_ohmic_alignment is low = -1.012 pt, medium = -1.577 pt, high = -4.463 pt. The effect of THIN_ET_lkg_100_at20V is largest when EBCR2_Ali_Litho_Gate_to_ohmic_alignment is high (a decrease of 4.463 pt) and smallest when EBCR2_Ali_Litho_Gate_to_ohmic_alignment is low (1.012 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1414."
THIN_ET_TF_AB_2,MEASURE_ET_lkg_70_at20V,A_top_score2_nonadditivity,2.1345,1.9646,7.957,0.0984,0.2396,0.1412,0.0,0.0,5/5,"THIN_ET_TF_AB_2 in [1.653, 2.612] AND MEASURE_ET_lkg_70_at20V in [-inf, 0.04492]","THIN_ET_TF_AB_2 in [4.837, +inf] AND MEASURE_ET_lkg_70_at20V in [0.121, +inf]","Effect of THIN_ET_TF_AB_2 (low->high) on Yield: when MEASURE_ET_lkg_70_at20V is low = -0.517 pt, medium = +0.890 pt, high = -1.042 pt. The effect of THIN_ET_TF_AB_2 is largest when MEASURE_ET_lkg_70_at20V is high (a decrease of 1.042 pt) and smallest when MEASURE_ET_lkg_70_at20V is low (0.517 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1412."
SIN_GATE_ET_lkg_SY8_80,MEASURE_ET_DC_RF_S11ang_10GHz,B_existing_shap_interaction+C_existing_h_statistic,2.0285,1.8381,9.389,0.1749,0.3153,0.1404,0.00374,0.2817,5/5,"SIN_GATE_ET_lkg_SY8_80 in [0.04878, 0.06093] AND MEASURE_ET_DC_RF_S11ang_10GHz in [-12.75, -11.57]","SIN_GATE_ET_lkg_SY8_80 in [0.1323, +inf] AND MEASURE_ET_DC_RF_S11ang_10GHz in [-10.4, +inf]","Effect of SIN_GATE_ET_lkg_SY8_80 (low->high) on Yield: when MEASURE_ET_DC_RF_S11ang_10GHz is low = -0.963 pt, medium = -2.306 pt, high = -3.183 pt. The effect of SIN_GATE_ET_lkg_SY8_80 is largest when MEASURE_ET_DC_RF_S11ang_10GHz is high (a decrease of 3.183 pt) and smallest when MEASURE_ET_DC_RF_S11ang_10GHz is low (0.963 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1404."
THIN_ET_lkg_100_at20V,MEASURE_ET_C300pf,C_existing_h_statistic,1.98,1.7951,9.336,0.2178,0.3578,0.14,0.00139,0.3295,5/5,"THIN_ET_lkg_100_at20V in [0.04549, 0.06038] AND MEASURE_ET_C300pf in [-inf, 0.7164]","THIN_ET_lkg_100_at20V in [0.1194, +inf] AND MEASURE_ET_C300pf in [-inf, 0.7164]","Effect of THIN_ET_lkg_100_at20V (low->high) on Yield: when MEASURE_ET_C300pf is low = -3.816 pt, medium = -1.569 pt, high = -0.969 pt. The effect of THIN_ET_lkg_100_at20V is largest when MEASURE_ET_C300pf is low (a decrease of 3.816 pt) and smallest when MEASURE_ET_C300pf is high (0.969 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1400."
MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_top_score1_nonadditivity+B_existing_shap_interaction+C_existing_h_statistic,1.9191,1.7315,9.773,0.2695,0.4085,0.139,0.00026,0.0413,5/5,"MEASURE_ET_Rc_OG142_GN in [0.1859, 0.2046] AND TOPSIN_ET_DC_PIV_Drain_Lag_1 in [-inf, 5.168]","MEASURE_ET_Rc_OG142_GN in [0.244, +inf] AND TOPSIN_ET_DC_PIV_Drain_Lag_1 in [8.053, +inf]","Effect of MEASURE_ET_Rc_OG142_GN (low->high) on Yield: when TOPSIN_ET_DC_PIV_Drain_Lag_1 is low = -0.992 pt, medium = -0.136 pt, high = -2.497 pt. The effect of MEASURE_ET_Rc_OG142_GN is largest when TOPSIN_ET_DC_PIV_Drain_Lag_1 is high (a decrease of 2.497 pt) and smallest when TOPSIN_ET_DC_PIV_Drain_Lag_1 is medium (0.136 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1390."
MEASURE_ET_C300M1B_0,MEASURE_ET_DC_RF_Max_S11_Freq_L1018,F_score_disagreement,2.2132,2.0541,7.191,0.0348,0.1729,0.1381,0.0,0.0,5/5,"MEASURE_ET_C300M1B_0 in [-inf, 0.712] AND MEASURE_ET_DC_RF_Max_S11_Freq_L1018 in [-12.45, -11.48]","MEASURE_ET_C300M1B_0 in [-inf, 0.712] AND MEASURE_ET_DC_RF_Max_S11_Freq_L1018 in [-inf, -13.77]","Effect of MEASURE_ET_C300M1B_0 (low->high) on Yield: when MEASURE_ET_DC_RF_Max_S11_Freq_L1018 is low = +1.429 pt, medium = -0.806 pt, high = -0.546 pt. The effect of MEASURE_ET_C300M1B_0 is largest when MEASURE_ET_DC_RF_Max_S11_Freq_L1018 is low (an increase of 1.429 pt) and smallest when MEASURE_ET_DC_RF_Max_S11_Freq_L1018 is high (0.546 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1381."
MEASURE_ET_DC_RF_Max_S11_Freq_L1018,MEASURE_ET_Rc_f_tn_23,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.1922,2.0313,7.342,0.0524,0.1858,0.1334,0.0,0.0,5/5,"MEASURE_ET_DC_RF_Max_S11_Freq_L1018 in [-12.45, -11.48] AND MEASURE_ET_Rc_f_tn_23 in [0.2127, 0.2275]","MEASURE_ET_DC_RF_Max_S11_Freq_L1018 in [-13.77, -12.45] AND MEASURE_ET_Rc_f_tn_23 in [0.2457, +inf]","Effect of MEASURE_ET_DC_RF_Max_S11_Freq_L1018 (low->high) on Yield: when MEASURE_ET_Rc_f_tn_23 is low = -0.628 pt, medium = -1.651 pt, high = +1.420 pt. The effect of MEASURE_ET_DC_RF_Max_S11_Freq_L1018 is largest when MEASURE_ET_Rc_f_tn_23 is medium (a decrease of 1.651 pt) and smallest when MEASURE_ET_Rc_f_tn_23 is low (0.628 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1334."
TOPSIN_ET_C100CapFICM1,TOPSIN_ET_R514,F_score_disagreement,2.2291,2.0715,7.07,0.0241,0.1548,0.1308,0.00012,0.0262,5/5,"TOPSIN_ET_C100CapFICM1 in [-inf, 0.7028] AND TOPSIN_ET_R514 in [-inf, 12.37]","TOPSIN_ET_C100CapFICM1 in [0.905, +inf] AND TOPSIN_ET_R514 in [-inf, 12.37]","Effect of TOPSIN_ET_C100CapFICM1 (low->high) on Yield: when TOPSIN_ET_R514 is low = -1.169 pt, medium = +0.397 pt, high = +0.593 pt. The effect of TOPSIN_ET_C100CapFICM1 is largest when TOPSIN_ET_R514 is low (a decrease of 1.169 pt) and smallest when TOPSIN_ET_R514 is medium (0.397 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1308."
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_CapFICM1,A_top_score2_nonadditivity,2.0639,1.8911,8.375,0.1534,0.2818,0.1283,0.0,0.0,5/5,"MEASURE_ET_DC_SEC_Vp_1mA in [-0.9818, -0.8693] AND MEASURE_ET_lkg_CapFICM1 in [0.06352, 0.09039]","MEASURE_ET_DC_SEC_Vp_1mA in [-0.9818, -0.8693] AND MEASURE_ET_lkg_CapFICM1 in [0.1338, +inf]","Effect of MEASURE_ET_DC_SEC_Vp_1mA (low->high) on Yield: when MEASURE_ET_lkg_CapFICM1 is low = -0.275 pt, medium = +1.095 pt, high = +0.646 pt. The effect of MEASURE_ET_DC_SEC_Vp_1mA is largest when MEASURE_ET_lkg_CapFICM1 is medium (an increase of 1.095 pt) and smallest when MEASURE_ET_lkg_CapFICM1 is low (0.275 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1283."
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_Cap1,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.0994,1.9395,7.615,0.1223,0.2489,0.1266,0.0,0.0,5/5,"MEASURE_ET_DC_SEC_Vp_1mA in [-1.075, -0.9818] AND MEASURE_ET_lkg_Cap1 in [0.06334, 0.09179]","MEASURE_ET_DC_SEC_Vp_1mA in [-0.9818, -0.8693] AND MEASURE_ET_lkg_Cap1 in [0.1328, +inf]","Effect of MEASURE_ET_DC_SEC_Vp_1mA (low->high) on Yield: when MEASURE_ET_lkg_Cap1 is low = +0.097 pt, medium = +0.490 pt, high = +0.833 pt. The effect of MEASURE_ET_DC_SEC_Vp_1mA is largest when MEASURE_ET_lkg_Cap1 is high (an increase of 0.833 pt) and smallest when MEASURE_ET_lkg_Cap1 is low (0.097 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1266."
MEASURE_ET_DC_RF2_S11ang_26GHz,TOPSIN_ET_DC_PIV_Drain_Lag_1,C_existing_h_statistic,2.003,1.8332,8.477,0.2067,0.3333,0.1266,0.0,0.0,5/5,"MEASURE_ET_DC_RF2_S11ang_26GHz in [-11.2, -10.21] AND TOPSIN_ET_DC_PIV_Drain_Lag_1 in [-inf, 5.168]","MEASURE_ET_DC_RF2_S11ang_26GHz in [-11.2, -10.21] AND TOPSIN_ET_DC_PIV_Drain_Lag_1 in [8.053, +inf]","Effect of MEASURE_ET_DC_RF2_S11ang_26GHz (low->high) on Yield: when TOPSIN_ET_DC_PIV_Drain_Lag_1 is low = +0.362 pt, medium = -0.663 pt, high = -1.131 pt. The effect of MEASURE_ET_DC_RF2_S11ang_26GHz is largest when TOPSIN_ET_DC_PIV_Drain_Lag_1 is high (a decrease of 1.131 pt) and smallest when TOPSIN_ET_DC_PIV_Drain_Lag_1 is low (0.362 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1266."
MEASURE_ET_USV_Cappf,MEASURE_ET_RF_Modeling_K,F_score_disagreement,2.2368,2.0798,7.017,0.0124,0.1387,0.1263,0.0,0.0,5/5,"MEASURE_ET_USV_Cappf in [-inf, 0.702] AND MEASURE_ET_RF_Modeling_K in [23.18, 24.54]","MEASURE_ET_USV_Cappf in [-inf, 0.702] AND MEASURE_ET_RF_Modeling_K in [25.44, 26.6]","Effect of MEASURE_ET_USV_Cappf (low->high) on Yield: when MEASURE_ET_RF_Modeling_K is low = -1.921 pt, medium = +1.166 pt, high = +1.010 pt. The effect of MEASURE_ET_USV_Cappf is largest when MEASURE_ET_RF_Modeling_K is low (a decrease of 1.921 pt) and smallest when MEASURE_ET_RF_Modeling_K is high (1.010 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.1263."
