parameter_A,parameter_B,channels,additive_cv_rmse,joint_cv_rmse,interaction_rmse_improvement_pct,additive_cv_r2,joint_cv_r2,interaction_incremental_r2,shap_interaction_strength,h_statistic_strength,fold_reproducibility,high_yield_region,low_yield_region,conditional_effect_description,evidence_label,reason
MEASURE_ET_lkg_50_at20V,MEASURE_ET_DC_RF_K_W,D_tree_path_cooccurrence,2.0264,1.9799,2.292,0.1854,0.2196,0.0342,0.00233,0.0197,5/5,"MEASURE_ET_lkg_50_at20V in [0.04449, 0.06443] AND MEASURE_ET_DC_RF_K_W in [10.99, 12.13]","MEASURE_ET_lkg_50_at20V in [0.1274, +inf] AND MEASURE_ET_DC_RF_K_W in [-inf, 8.783]","Effect of MEASURE_ET_lkg_50_at20V (low->high) on Yield: when MEASURE_ET_DC_RF_K_W is low = -1.408 pt, medium = -1.663 pt, high = -2.433 pt. The effect of MEASURE_ET_lkg_50_at20V is largest when MEASURE_ET_DC_RF_K_W is high (a decrease of 2.433 pt) and smallest when MEASURE_ET_DC_RF_K_W is low (1.408 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0342."
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_RF_K_W,B_existing_shap_interaction,2.1555,2.1139,1.931,0.0834,0.1175,0.0341,0.00571,0.0885,5/5,"TOPSIN_ET_C100Cap1pf in [0.7786, 0.8364] AND MEASURE_ET_DC_RF_K_W in [10.99, 12.13]","TOPSIN_ET_C100Cap1pf in [0.8364, 0.8836] AND MEASURE_ET_DC_RF_K_W in [-inf, 8.783]","Effect of TOPSIN_ET_C100Cap1pf (low->high) on Yield: when MEASURE_ET_DC_RF_K_W is low = -1.583 pt, medium = -0.758 pt, high = -0.807 pt. The effect of TOPSIN_ET_C100Cap1pf is largest when MEASURE_ET_DC_RF_K_W is low (a decrease of 1.583 pt) and smallest when MEASURE_ET_DC_RF_K_W is medium (0.758 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0341."
MEASURE_ET_DC_SEC_Ids_min_ON,MEASURE_ET_lkg_50_at20V,B_existing_shap_interaction,2.0409,2.0008,1.964,0.1721,0.2048,0.0327,0.00922,0.0663,5/5,"MEASURE_ET_DC_SEC_Ids_min_ON in [43.73, +inf] AND MEASURE_ET_lkg_50_at20V in [-inf, 0.04449]","MEASURE_ET_DC_SEC_Ids_min_ON in [40.26, 41.51] AND MEASURE_ET_lkg_50_at20V in [0.1274, +inf]","Effect of MEASURE_ET_DC_SEC_Ids_min_ON (low->high) on Yield: when MEASURE_ET_lkg_50_at20V is low = +0.742 pt, medium = +0.993 pt, high = +1.432 pt. The effect of MEASURE_ET_DC_SEC_Ids_min_ON is largest when MEASURE_ET_lkg_50_at20V is high (an increase of 1.432 pt) and smallest when MEASURE_ET_lkg_50_at20V is low (0.742 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0327."
FIC_ET_R_f_tn_2,THIN_ET_C200_0,D_tree_path_cooccurrence,2.2271,2.1885,1.732,0.0204,0.0517,0.0313,0.00053,0.1397,5/5,"FIC_ET_R_f_tn_2 in [89.67, +inf] AND THIN_ET_C200_0 in [-inf, 0.7112]","FIC_ET_R_f_tn_2 in [-inf, 85.22] AND THIN_ET_C200_0 in [-inf, 0.7112]","Effect of FIC_ET_R_f_tn_2 (low->high) on Yield: when THIN_ET_C200_0 is low = +1.214 pt, medium = +0.555 pt, high = +1.663 pt. The effect of FIC_ET_R_f_tn_2 is largest when THIN_ET_C200_0 is high (an increase of 1.663 pt) and smallest when THIN_ET_C200_0 is medium (0.555 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0313."
TOPSIN_ET_DC_SMALL_Vdg_max,TOPSIN_ET_DC_PIV_Drain_Lag_1,B_existing_shap_interaction+C_existing_h_statistic,2.0135,1.9769,1.815,0.1996,0.2289,0.0293,2e-05,0.003,5/5,"TOPSIN_ET_DC_SMALL_Vdg_max in [-inf, 28.59] AND TOPSIN_ET_DC_PIV_Drain_Lag_1 in [-inf, 5.168]","TOPSIN_ET_DC_SMALL_Vdg_max in [32.05, +inf] AND TOPSIN_ET_DC_PIV_Drain_Lag_1 in [8.053, +inf]","Effect of TOPSIN_ET_DC_SMALL_Vdg_max (low->high) on Yield: when TOPSIN_ET_DC_PIV_Drain_Lag_1 is low = -0.038 pt, medium = -1.285 pt, high = -0.682 pt. The effect of TOPSIN_ET_DC_SMALL_Vdg_max is largest when TOPSIN_ET_DC_PIV_Drain_Lag_1 is medium (a decrease of 1.285 pt) and smallest when TOPSIN_ET_DC_PIV_Drain_Lag_1 is low (0.038 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0293."
MEASURE_ET_DC_SEC_Ids_min_ON,TOPSIN_ET_C100Cap1pf,D_tree_path_cooccurrence,2.1522,2.1179,1.595,0.0892,0.1174,0.0282,0.00451,0.0611,5/5,"MEASURE_ET_DC_SEC_Ids_min_ON in [41.51, 42.57] AND TOPSIN_ET_C100Cap1pf in [0.6956, 0.7786]","MEASURE_ET_DC_SEC_Ids_min_ON in [-inf, 40.26] AND TOPSIN_ET_C100Cap1pf in [0.8836, +inf]","Effect of MEASURE_ET_DC_SEC_Ids_min_ON (low->high) on Yield: when TOPSIN_ET_C100Cap1pf is low = +1.069 pt, medium = +0.689 pt, high = +1.010 pt. The effect of MEASURE_ET_DC_SEC_Ids_min_ON is largest when TOPSIN_ET_C100Cap1pf is low (an increase of 1.069 pt) and smallest when TOPSIN_ET_C100Cap1pf is medium (0.689 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0282."
THIN_ET_lkg_100_at20V,MEASURE_ET_DC_RF2_S22dB_26GHz,B_existing_shap_interaction+C_existing_h_statistic,1.9455,1.9058,2.038,0.2511,0.2785,0.0274,0.0011,0.0693,5/5,"THIN_ET_lkg_100_at20V in [-inf, 0.04549] AND MEASURE_ET_DC_RF2_S22dB_26GHz in [-inf, -13.82]","THIN_ET_lkg_100_at20V in [0.1194, +inf] AND MEASURE_ET_DC_RF2_S22dB_26GHz in [-12.7, -11.83]","Effect of THIN_ET_lkg_100_at20V (low->high) on Yield: when MEASURE_ET_DC_RF2_S22dB_26GHz is low = -2.030 pt, medium = -2.069 pt, high = -2.105 pt. The effect of THIN_ET_lkg_100_at20V is largest when MEASURE_ET_DC_RF2_S22dB_26GHz is high (a decrease of 2.105 pt) and smallest when MEASURE_ET_DC_RF2_S22dB_26GHz is low (2.030 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0274."
MEASURE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,B_existing_shap_interaction+C_existing_h_statistic,2.0598,2.0291,1.492,0.1651,0.1884,0.0233,0.00309,0.0817,5/5,"MEASURE_ET_Rc_an_ct2_OW_CR in [0.1984, 0.2197] AND MEASURE_ET_DC_RF_CF_S12_Mag_L1002 in [15.89, +inf]","MEASURE_ET_Rc_an_ct2_OW_CR in [0.24, +inf] AND MEASURE_ET_DC_RF_CF_S12_Mag_L1002 in [-inf, 14.09]","Effect of MEASURE_ET_Rc_an_ct2_OW_CR (low->high) on Yield: when MEASURE_ET_DC_RF_CF_S12_Mag_L1002 is low = -1.133 pt, medium = -1.112 pt, high = -1.725 pt. The effect of MEASURE_ET_Rc_an_ct2_OW_CR is largest when MEASURE_ET_DC_RF_CF_S12_Mag_L1002 is high (a decrease of 1.725 pt) and smallest when MEASURE_ET_DC_RF_CF_S12_Mag_L1002 is medium (1.112 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0233."
TOPSIN_ET_C100Cap1pf,SIN_GATE_ET_Ran_con_2,D_tree_path_cooccurrence,2.1767,2.1524,1.118,0.0682,0.0892,0.021,0.00016,0.0023,5/5,"TOPSIN_ET_C100Cap1pf in [0.6956, 0.7786] AND SIN_GATE_ET_Ran_con_2 in [96.17, 97.57]","TOPSIN_ET_C100Cap1pf in [0.8836, +inf] AND SIN_GATE_ET_Ran_con_2 in [-inf, 94.13]","Effect of TOPSIN_ET_C100Cap1pf (low->high) on Yield: when SIN_GATE_ET_Ran_con_2 is low = -0.857 pt, medium = -1.436 pt, high = -0.636 pt. The effect of TOPSIN_ET_C100Cap1pf is largest when SIN_GATE_ET_Ran_con_2 is medium (a decrease of 1.436 pt) and smallest when SIN_GATE_ET_Ran_con_2 is high (0.636 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.0210."
THIN_ET_lkg_100_at20V,MEASURE_ET_lkg_Cap_USV,A_top_score2_nonadditivity,2.1192,1.9031,10.2,0.0734,0.2745,0.2011,1e-05,0.001,4/5,"THIN_ET_lkg_100_at20V in [0.06038, 0.08743] AND MEASURE_ET_lkg_Cap_USV in [-inf, 0.04586]","THIN_ET_lkg_100_at20V in [0.1194, +inf] AND MEASURE_ET_lkg_Cap_USV in [0.1352, +inf]","Effect of THIN_ET_lkg_100_at20V (low->high) on Yield: when MEASURE_ET_lkg_Cap_USV is low = -1.481 pt, medium = -0.950 pt, high = -1.300 pt. The effect of THIN_ET_lkg_100_at20V is largest when MEASURE_ET_lkg_Cap_USV is low (a decrease of 1.481 pt) and smallest when MEASURE_ET_lkg_Cap_USV is medium (0.950 pt).",MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.2011."
TOPSIN_ET_DC_PIV_Drain_Lag_0,MEASURE_ET_DC_SMALL_Ids_m0p2,D_tree_path_cooccurrence,1.9527,1.8429,5.624,0.2532,0.3297,0.0765,0.00249,0.0549,4/5,"TOPSIN_ET_DC_PIV_Drain_Lag_0 in [-inf, 5.052] AND MEASURE_ET_DC_SMALL_Ids_m0p2 in [-inf, 0.311]","TOPSIN_ET_DC_PIV_Drain_Lag_0 in [8.204, +inf] AND MEASURE_ET_DC_SMALL_Ids_m0p2 in [2.026, 3.421]","Effect of TOPSIN_ET_DC_PIV_Drain_Lag_0 (low->high) on Yield: when MEASURE_ET_DC_SMALL_Ids_m0p2 is low = -2.766 pt, medium = -1.012 pt, high = -1.951 pt. The effect of TOPSIN_ET_DC_PIV_Drain_Lag_0 is largest when MEASURE_ET_DC_SMALL_Ids_m0p2 is low (a decrease of 2.766 pt) and smallest when MEASURE_ET_DC_SMALL_Ids_m0p2 is medium (1.012 pt).",MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0765."
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_RF_Vg_Vbon_min,D_tree_path_cooccurrence,2.1843,2.1043,3.664,0.0623,0.1232,0.0609,0.0001,0.0011,3/5,"TOPSIN_ET_C100Cap1pf in [-inf, 0.6956] AND MEASURE_ET_DC_RF_Vg_Vbon_min in [44.84, 46.19]","TOPSIN_ET_C100Cap1pf in [0.8836, +inf] AND MEASURE_ET_DC_RF_Vg_Vbon_min in [-inf, 42.06]","Effect of TOPSIN_ET_C100Cap1pf (low->high) on Yield: when MEASURE_ET_DC_RF_Vg_Vbon_min is low = -0.901 pt, medium = -1.701 pt, high = -0.676 pt. The effect of TOPSIN_ET_C100Cap1pf is largest when MEASURE_ET_DC_RF_Vg_Vbon_min is medium (a decrease of 1.701 pt) and smallest when MEASURE_ET_DC_RF_Vg_Vbon_min is high (0.676 pt).",MODERATE,Joint model beat additive in 3/5 folds with incremental R^2=0.0609 -- majority but not unanimous.
TOPSIN_ET_R_f_hr_3,ANODE_ET_Rc_an_ct2_OW_CR,B_existing_shap_interaction+C_existing_h_statistic,2.1817,2.1092,3.324,0.0589,0.1164,0.0576,0.00472,0.2121,4/5,"TOPSIN_ET_R_f_hr_3 in [5.751, 6.682] AND ANODE_ET_Rc_an_ct2_OW_CR in [0.1869, 0.2048]","TOPSIN_ET_R_f_hr_3 in [6.682, 8.087] AND ANODE_ET_Rc_an_ct2_OW_CR in [0.225, 0.2444]","Effect of TOPSIN_ET_R_f_hr_3 (low->high) on Yield: when ANODE_ET_Rc_an_ct2_OW_CR is low = -0.244 pt, medium = +0.121 pt, high = -0.663 pt. The effect of TOPSIN_ET_R_f_hr_3 is largest when ANODE_ET_Rc_an_ct2_OW_CR is high (a decrease of 0.663 pt) and smallest when ANODE_ET_Rc_an_ct2_OW_CR is medium (0.121 pt).",MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0576."
TOPSIN_ET_C100Cap1pf,ANODE_ET_Probe_Number,D_tree_path_cooccurrence,2.1696,2.0949,3.444,0.0724,0.1291,0.0568,0.00014,0.0023,4/5,"TOPSIN_ET_C100Cap1pf in [0.6956, 0.7786] AND ANODE_ET_Probe_Number in [2.033, 3.075]","TOPSIN_ET_C100Cap1pf in [0.8836, +inf] AND ANODE_ET_Probe_Number in [-inf, 1.953]","Effect of TOPSIN_ET_C100Cap1pf (low->high) on Yield: when ANODE_ET_Probe_Number is low = -2.358 pt, medium = -1.551 pt, high = +0.616 pt. The effect of TOPSIN_ET_C100Cap1pf is largest when ANODE_ET_Probe_Number is low (a decrease of 2.358 pt) and smallest when ANODE_ET_Probe_Number is high (0.616 pt).",MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0568."
THIN_ET_lkg_100_at20V,THIN_ET_Rcat_cn_1,B_existing_shap_interaction+C_existing_h_statistic,1.9263,1.86,3.441,0.2631,0.3172,0.0541,0.00031,0.0349,4/5,"THIN_ET_lkg_100_at20V in [-inf, 0.04549] AND THIN_ET_Rcat_cn_1 in [0.2049, 0.2235]","THIN_ET_lkg_100_at20V in [0.1194, +inf] AND THIN_ET_Rcat_cn_1 in [0.249, +inf]","Effect of THIN_ET_lkg_100_at20V (low->high) on Yield: when THIN_ET_Rcat_cn_1 is low = -1.642 pt, medium = -2.658 pt, high = -1.790 pt. The effect of THIN_ET_lkg_100_at20V is largest when THIN_ET_Rcat_cn_1 is medium (a decrease of 2.658 pt) and smallest when THIN_ET_Rcat_cn_1 is low (1.642 pt).",MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0541."
TOPSIN_ET_lkg_C450pf,THIN_ET_Rcat_cn_3,B_existing_shap_interaction+C_existing_h_statistic,1.9395,1.8703,3.569,0.2477,0.3018,0.0541,0.0042,0.2058,4/5,"TOPSIN_ET_lkg_C450pf in [-inf, 0.04826] AND THIN_ET_Rcat_cn_3 in [0.2033, 0.2206]","TOPSIN_ET_lkg_C450pf in [0.1248, +inf] AND THIN_ET_Rcat_cn_3 in [0.2206, 0.2449]","Effect of TOPSIN_ET_lkg_C450pf (low->high) on Yield: when THIN_ET_Rcat_cn_3 is low = -1.731 pt, medium = -2.614 pt, high = -2.069 pt. The effect of TOPSIN_ET_lkg_C450pf is largest when THIN_ET_Rcat_cn_3 is medium (a decrease of 2.614 pt) and smallest when THIN_ET_Rcat_cn_3 is low (1.731 pt).",MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0541."
THIN_ET_lkg_100_at20V,MaskSetSupplyChipsCount,B_existing_shap_interaction+C_existing_h_statistic,1.961,1.8842,3.915,0.2334,0.2864,0.053,0.00018,0.0039,4/5,"THIN_ET_lkg_100_at20V in [0.06038, 0.08743] AND MaskSetSupplyChipsCount in [1509, +inf]","THIN_ET_lkg_100_at20V in [0.1194, +inf] AND MaskSetSupplyChipsCount in [1362, 1436]","Effect of THIN_ET_lkg_100_at20V (low->high) on Yield: when MaskSetSupplyChipsCount is low = -1.618 pt, medium = -3.735 pt, high = -0.959 pt. The effect of THIN_ET_lkg_100_at20V is largest when MaskSetSupplyChipsCount is medium (a decrease of 3.735 pt) and smallest when MaskSetSupplyChipsCount is high (0.959 pt).",MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0530."
TOPSIN_ET_C100Cap1pf,TOPSIN_ET_DC_SMALL_Vbgs1,D_tree_path_cooccurrence,2.104,2.0365,3.21,0.129,0.1801,0.0511,0.00045,0.0082,4/5,"TOPSIN_ET_C100Cap1pf in [-inf, 0.6956] AND TOPSIN_ET_DC_SMALL_Vbgs1 in [30.26, +inf]","TOPSIN_ET_C100Cap1pf in [-inf, 0.6956] AND TOPSIN_ET_DC_SMALL_Vbgs1 in [-inf, 24.15]","Effect of TOPSIN_ET_C100Cap1pf (low->high) on Yield: when TOPSIN_ET_DC_SMALL_Vbgs1 is low = +0.040 pt, medium = -1.629 pt, high = -1.376 pt. The effect of TOPSIN_ET_C100Cap1pf is largest when TOPSIN_ET_DC_SMALL_Vbgs1 is medium (a decrease of 1.629 pt) and smallest when TOPSIN_ET_DC_SMALL_Vbgs1 is low (0.040 pt).",MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0511."
TOPSIN_ET_C100Cap1pf,MEASURE_ET_RF_Modeling_Gm,D_tree_path_cooccurrence,2.1985,2.1343,2.918,0.0488,0.0997,0.0509,9e-05,0.0004,4/5,"TOPSIN_ET_C100Cap1pf in [0.6956, 0.7786] AND MEASURE_ET_RF_Modeling_Gm in [533.7, 576.3]","TOPSIN_ET_C100Cap1pf in [0.8836, +inf] AND MEASURE_ET_RF_Modeling_Gm in [533.7, 576.3]","Effect of TOPSIN_ET_C100Cap1pf (low->high) on Yield: when MEASURE_ET_RF_Modeling_Gm is low = -0.203 pt, medium = -1.573 pt, high = -1.343 pt. The effect of TOPSIN_ET_C100Cap1pf is largest when MEASURE_ET_RF_Modeling_Gm is medium (a decrease of 1.573 pt) and smallest when MEASURE_ET_RF_Modeling_Gm is low (0.203 pt).",MODERATE,"Joint model beat additive in 4/5 folds, incremental R^2=0.0509."
