,summed_mean_abs_shap
MEASURE_ET_DC_SEC_Ids_min_ON,0.0077514215140052495
MEASURE_ET_Load_Pull_P.A.E_Last (+1 correlated features),0.007549141104185352
MEASURE_ET_DC_Diode_S11_dB_forw,0.007427983932543105
MEASURE_ET_i5021_3,0.007209605034466988
MEASURE_ET_DC_SEC_X_Vg_at_I3_pos,0.0071922646607677325
MEASURE_ET_RF_Modeling_Mag_i,0.007054494002558481
MEASURE_ET_DC_RD_S11ang_18GHz,0.007028727118786036
FIC_ET_sh_f_tn_23,0.006871984059401035
TOPSIN_ET_DC_SMALL_Vbin_gd,0.006787850239577844
MEASURE_ET_DC_RF_S11dB_26GHz_W,0.0067656559226926235
MEASURE_ET_HIRS,0.006737877785494064
MEASURE_ET_DC_Big_MAG_10GHz,0.006530469643817067
MEASURE_ET_DC_Big_S12ang_10GHz,0.006481307666348738
MEASURE_ET_DC_RF_CF_S21_Mag_L1018,0.006455073411245041
MEASURE_ET_DC_SEC_Ids_max_ON,0.006324095944443132
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_neg,0.006268759306937375
FIC_ET_DC_RF_Vbin_gs,0.006260481497199162
MEASURE_ET_DC_Stress_Id_max_Ig_after,0.006233638078425175
MEASURE_ET_DC_RD_K,0.006101580836540916
MEASURE_ET_DC_Big_S22ang_10GHz,0.006096160624869841
MEASURE_ET_DC_RF_Vboff,0.0060766622819024944
ANODE_ET_Ran_con_2_OW_CR,0.006068586349606256
MEASURE_ET_RF_Modeling_S21_19G_After,0.006064939795290123
MEASURE_ET_DC_Diode_S11_dB_rev,0.005925532779823835
THIN_ET_DC_RF_Vbgs_0p01,0.005916906007467721
TOPSIN_ET_R_f_hr_1,0.005579583665067125
MEASURE_ET_DC_RF_Max_S11_Ph_L2180,0.005545938113338493
MEASURE_ET_DC_RF_CF_S11_Ph_L1002,0.005531640364382645
MEASURE_ET_DC_RF2_S11ang_26GHz,0.005510257123889671
MEASURE_ET_DC_SMALL_Vbgs_0p01,0.005437744846782097
MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm,0.005385346251019512
MEASURE_ET_DC_RF_S22dB_26GHz,0.0053852603493952066
MEASURE_ET_LT_SEC_Id_min_mA_mm_Vd8,0.005352690530391959
TOPSIN_ET_C500pf,0.0053386274387435765
MEASURE_ET_LT_SEC_Vbgd1_Vd7,0.005223083567466624
MEASURE_ET_RGAN2,0.005152873943644773
MEASURE_ET_DC_Big_S11ang_10GHz,0.0051416262446587644
MEASURE_ET_DC_RF_S11dB_26GHz,0.005069223270123615
MEASURE_ET_DC_SEC_X_Vboff_Id,0.004899335210074983
MEASURE_ET_R_f_tn_1,0.004898342529168765
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,0.004811468724058977
THIN_ET_C20_0,0.004787586152356042
THIN_ET_DC_RF_Vg_optt3,0.004750886946723449
MEASURE_ET_Load_Pull_GL_set,0.0046224882060338195
TOPSIN_ET_Probe_Number,0.004582131884013522
MEASURE_ET_DC_RF_CF_S22_Ph_L2180,0.004519022399081098
FIC_ET_DC_RF_Vbgs_0p1,0.004501232568277621
MEASURE_ET_DC_RD_MSG_35GHz,0.004485194401456134
FIC_ET_DC_RF_Vdg_max,0.004327958461501901
MEASURE_ET_DC_PIV_Ids0_QP3,0.004322195485617268
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg1_FPSD3p2,0.004266534937736832
FIC_ET_G_per_2p75K,0.004265055613616732
MEASURE_ET_DC_Diode_S21_dB_rev,0.004198082954086002
CHRE_Ali_Litho_Channel_to_Ohmic_Alignment,0.004185519593099353
THIN_ET_i5021_2,0.004119114351422076
TOPSIN_ET_DC_PIV_Ids1_QP1,0.004118554893193434
THIN_ET_R_660_HOR,0.004092981559628037
THIN_ET_Rsh_F_AB_2,0.004091309860211985
MEASURE_ET_DC_Diode_S21_dB_forw_9p5,0.003990917062946328
MEASURE_ET_DC_RF_Vbon_min,0.003970647326091898
MEASURE_ET_Load_Pull_Gss,0.003953573280783366
MEASURE_ET_DC_SEC_Vgs_1V,0.003843112512632564
MEASURE_ET_RF_Modeling_Ls,0.003819295481224713
MEASURE_ET_Load_Pull_Pin_Last,0.00380912088602496
MEASURE_ET_Ran_con_1,0.0037886234258256175
MEASURE_ET_DC_RF_Vbin_gs,0.0037856849604519286
MEASURE_ET_DC_SEC_X_Vg_at_I2_neg_SD3p5,0.0037596095182282686
MEASURE_ET_DC_RF_Vg_max_Vd,0.003729606852114653
TOPSIN_ET_Load_Pull_Id_ord,0.0036618988725414174
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_neg_SD3p5,0.0036050314454534713
TOPSIN_ET_RGAN2,0.003590460657107501
MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_SD3p5,0.0035844075195521677
MEASURE_ET_R_f_tn_3,0.0035060280473580363
MEASURE_ET_DC_Stress_Vg_max_Ig_before,0.0034376439097268062
FIC_ET_DC_RF_Vg_max_Vd,0.003400342612214192
MEASURE_ET_DC_RF_S11ang_26GHz_W,0.0033787227288938734
THIN_ET_R_4000_HOR,0.003367163502110611
MEASURE_ET_DC_SEC_Vds_min_ON,0.003294396969775973
MEASURE_ET_DC_RF_Vg_Vbon_min,0.0032803868988232686
MEASURE_ET_DC_RF_CF_S11_Ph_L2180,0.0032496488386831897
MEASURE_ET_DC_RF_Max_S11_Freq_L2180,0.003237995130167457
MEASURE_ET_DC_RD_Vg_Vbon_min,0.003235070257154545
TOPSIN_ET_DC_PIV_Ids1_QP3,0.0032157079486679935
MEASURE_ET_VIA_KLV_2,0.0031933598406486264
MEASURE_ET_R_660_VER,0.00311896638539815
THIN_Measure1_Glue_thickness,0.0031160533939146814
TOPSIN_ET_sh_f_tn_23,0.0031020172244979674
TOPSIN_ET_DC_SMALL_Vbgs1,0.00309168331607936
MEASURE_ET_RF_Modeling_Cds,0.003061882365324894
MEASURE_ET_C_CAT_2,0.0030486443031981125
MEASURE_ET_TANR,0.003040232033666487
SIN_ET_DC_RF_Vbgs1,0.0030314351876000317
MEASURE_ET_DC_RF_S11dB_10GHz,0.003027348462287229
MEASURE_ET_DC_RF_S11ang_26GHz,0.0030072789756425767
TOPSIN_ET_Load_Pull_Id_ini,0.0030065911420202327
MEASURE_ET_DC_RF_CF_S22_Ph_L1018,0.0029708237879371
MEASURE_ET_DC_RF2_Ft,0.002933665137781061
MEASURE_ET_RF_Modeling_S22ang_10GHz,0.002933359814182968
MEASURE_ET_Load_Pull_Id_ini,0.002911093266749622
MEASURE_ET_DC_RF_Freq_cut_L1002,0.0028965858121664345
THIN_ET_R_f_tn_1,0.002894689309934482
MEASURE_ET_RF_Modeling_Cgd_err,0.0028879727936423237
THIN_ET_DC_RF_Vg_optt1,0.0028781198298927276
MEASURE_ET_DC_Big_S11dB_10GHz,0.002857446603963513
TOPSIN_ET_Vdg_max,0.0028299203490071696
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,0.002808453132771014
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg3,0.0027719349352322577
MEASURE_ET_DC_SEC_X_Ron_SD3p5,0.002736878819089778
MEASURE_ET_DC_SEC_X_Vg_at_I3_pos_FPSD3p2,0.0027270250294006795
MEASURE_ET_DC_RF2_S22ang_26GHz,0.0027257314341182287
MEASURE_ET_LT_SEC_Vd_Id_min_Vd3,0.0027061712092834827
MEASURE_ET_DC_Big_Vg_max_Vd_0p1mA,0.0026948545443735306
MEASURE_ET_DC_RF_CF_S12_Ph_L2180,0.00267759015679484
MEASURE_ET_LT_SEC_Vbgd1_Vd3,0.0026734181444992467
MEASURE_ET_sh_GA144,0.002644785027939221
THIN_ET_DC_RF_Vds_max_0p1mA,0.0026365555905665215
MEASURE_ET_DC_RF_Vt_gs,0.002635529909731122
MEASURE_ET_RF_Modeling_Mag_m,0.002635465103208123
MEASURE_ET_DC_RF2_S12dB_26GHz,0.002616761629093593
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_SD3p5,0.0025911913222146
SIN_ET_DC_RF_n_gs,0.0025563638192421132
MEASURE_ET_sh_f_hr_23,0.00254949096971866
MEASURE_ET_DC_RD_Vbon_max,0.002539017814568098
MEASURE_ET_DC_Big_Vg_optt1,0.0025259711148513534
TOPSIN_ET_Ids_m2,0.0024831390101709497
MEASURE_ET_DC_SEC_n_gs,0.002480604003246505
SIN_GATE_ET_sh_GA144,0.0024651499538577946
MEASURE_ET_DC_RF_Max_S11_Ph_L1018,0.002445806674704757
MEASURE_ET_DC_RF_Vg_max_Vd_0p1,0.0024381340581828143
MEASURE_ET_DC_PIV_Gate_Lag_0,0.0024181597410114883
MEASURE_ET_DC_RF_Vbgs1,0.002401621588227327
MEASURE_ET_RF_Modeling_Mag_d,0.002386729785795045
MEASURE_ET_DC_RD_S22ang_18GHz,0.00238655777788957
TOPSIN_ET_TANR,0.002347628216766657
FIC_ET_DC_RF_Vbgd_0p1,0.0023136579594368136
MEASURE_ET_DC_RF_S22dB_26GHz_W,0.0022785105961000886
MEASURE_ET_DC_Diode_Vbpin,0.002265907527625562
MEASURE_ET_i5021_1,0.0022567437110767546
MEASURE_ET_DC_RF_S12dB_26GHz_W,0.0022478019440314288
MEASURE_ET_RF_Modeling_Lg,0.0022158439954132266
FIN_FIN_Alignment_FIN_to_ohmic_alignment,0.0022058407501684267
MEASURE_ET_DC_Stress_Ig_max_after,0.002197910081638495
ANODE_ET_Rsh_an_ct2,0.0021964684838839178
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_SD3p5,0.002188663498044568
THIN_ET_DC_RF_Vbin_gs,0.0021881896609853364
THIN_ET_Er,0.0021603420829033083
TOPSIN_ET_sh_GA144,0.0021544835307945914
MEASURE_ET_DC_SEC_X_Ids_max_norm_SD3p5,0.002146364614232429
MEASURE_ET_DC_SEC_X_Vg_at_I2_neg_FPSD3p2,0.0021386485805491404
MEASURE_ET_C385pf,0.0021132351872992752
MEASURE_ET_TF_AB_2,0.002101989453903418
GATE2_Thickness4_PMMA_PR_etch_thickness,0.0020968582348591764
MEASURE_ET_DC_SEC_X_Vboff_Id_FPSD3p2,0.0020574873583262187
MEASURE_ET_RF_Modeling_K,0.002037670722900458
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_pos_FPSD3p2,0.002033519707337288
MEASURE_ET_LT_SEC_Id_min_mA_mm,0.0020042846190389397
MEASURE_ET_DC_RF_S12ang_26GHz,0.0019910170123535018
MEASURE_ET_DC_RF_Vdg_max_0p1mA,0.001981704923440748
ANODE_ET_C_AN_2_OW_CR,0.001968956991348954
MEASURE_ET_C500pf,0.0019569909482279094
MEASURE_ET_DC_RF_MAG_26GHz,0.0019496935853926098
SIN_ET_Probe_Number,0.001923496519074096
MEASURE_ET_LT_SEC_Ig_Id_min_mA_mm_Vd7,0.0018857456200499375
TOPSIN_ET_DC_PIV_Ids0_QP3,0.0018744224405134835
MEASURE_ET_DC_SEC_S_Ids_max_norm,0.001851440980655997
SIN_GATE_ET_sh_GA142_GN,0.0018462083037387791
TOPSIN_ET_Vds_max,0.001827584344259848
MEASURE_ET_DC_SMALL_Vbin_gd,0.0018106328578040732
TOPSIN_ET_DC_RF_Vg_max_Vd,0.0018092495798883253
MEASURE_ET_DC_RD_S22dB_18GHz,0.0018064471196452914
SIN_CAPACITOR_ThicknessGN1_RefractiveIndex,0.001805507479430519
MEASURE_ET_DC_SEC_S_Ron_FPSD3p2,0.001773715922374659
TOPSIN_ET_DC_RF_Vbin_gs,0.0017535294520516006
MEASURE_ET_DC_RF_Min_S21_Freq_L1002,0.0017431600541061897
SIN_ThicknessGN2_RefractiveIndex,0.0017293436929688747
THIN_ET_KLV_F_AB_4u,0.0017025984333962445
MEASURE_ET_DC_SMALL_Vbin_gs,0.0016930725535710684
ANODE_ET_Probe_Number,0.0016662402670543546
MEASURE_ET_Load_Pull_PhL_set,0.0016294343692234536
SIN_GATE_ET_RGAN1,0.0016246285245250507
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_neg_SD3p5,0.0015884151191413573
MEASURE_ET_DC_Big_Vg_max_Vd,0.0015831060902046343
MEASURE_ET_LT_SEC_Vd_Id_min_Vd7,0.0015823581717176423
SIN_ET_DC_RF_Vg_max_Vd_0p1,0.001577275847508665
MEASURE_ET_DC_SMALL_Vbgd1,0.0015743362241415898
MEASURE_ET_DC_RF_CF_S21_Mag_L2180,0.0015705229851404356
MEASURE_ET_DC_SEC_S_Ids_max_FPSD3p2,0.001539026338887857
TOPSIN_ET_HIRS,0.0015385521620822045
FIC_ET_DC_PIV_Ids1_QP3,0.0015375327457462914
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_FPSD3p2,0.0015129470884792959
SIN_ET_DC_RF_Vdg_max_0p1,0.0015035408186348676
FIC_ET_DC_PIV_Ids0_QP2,0.0014697668389233945
THIN_ET_R_f_hr_1,0.0014544704932195954
MEASURE_ET_DC_SEC_Vgs_back_0p5V,0.001438797420955437
MEASURE_ET_DC_Diode_S11_dB_forw_9p5,0.001436704818812753
THIN_ET_C_CAT_2,0.0014342695447480827
THIN_ET_R_400_VER,0.0014323773100395297
MEASURE_ET_DC_RF_Max_S11_Freq_L1002,0.0014293407173915868
MEASURE_ET_DC_RD_Ft,0.0014083151117661793
TOPSIN_ET_Load_Pull_PhL_set,0.0013396081340596362
MEASURE_ET_DC_SEC_X_Vg_at_I2_pos_FPSD3p2,0.0013368541085315001
FIC_ET_G_per_6K,0.0013256709494300902
MEASURE_ET_DC_RF_S11ang_10GHz,0.0012840313732327803
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_pos,0.001283325337094944
THIN_ET_Vbpin,0.0012797592203483785
THIN_ET_TF_AB_2,0.0012789552741591316
FIC_ET_R_f_tn_2,0.0012779511847496993
SIN_GATE_ET_Probe_Number,0.0012734611682656291
MEASURE_ET_DC_SEC_S_Ids_max,0.0012591452196771271
MEASURE_ET_LT_SEC_Vd_Id_min_Vd8,0.0012570526235438225
OHMIC_ET_R114,0.0012486176053303406
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg1_SD3p5,0.0012465499493268877
MEASURE_ET_RF_Modeling_S11ang_10GHz,0.0012292074978924967
MEASURE_ET_DC_SEC_Vboff_1,0.0012275898496051701
MEASURE_ET_LT_SEC_Vg_Id_min,0.0012237464595390524
TOPSIN_ET_TR_1F,0.0012231346233179553
THIN_ET_Vbpin_D60,0.0012169784030582034
TOPSIN_ET_DC_SMALL_n_gs,0.0012147919345131407
MEASURE_ET_RF_Modeling_Tau_err,0.0012059875326597253
MEASURE_ET_DC_Diode_Rs,0.001168759997982019
MEASURE_ET_DC_RF_S12ang_26GHz_W,0.0011683853493848573
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm_SD3p5,0.0011592465239618308
MEASURE_ET_DC_RF_S22ang_26GHz,0.0011408213263766715
MEASURE_ET_DC_RF_CF_S21_Ph_L2180,0.0011353575807175691
MEASURE_ET_DC_PIV_Ids1_QP2,0.0011228388418008932
MEASURE_ET_Load_Pull_ID_comp_Last_mA,0.0011192427759641516
MEASURE_ET_DC_SEC_S_Vboff_Id,0.001114616336264338
MEASURE_ET_RF_Modeling_R_Gs,0.001111378152206417
MEASURE_ET_DC_RF_Vg_Vbon_max,0.001108290465440531
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_neg_SD3p5,0.0011045306167909402
MEASURE_ET_DC_SEC_X_Ig_cut2_mAmm_pos_SD3p5,0.001093779629115676
THIN_ET_DC_RF_Vbin_gd,0.0010920502380991337
THIN_ET_sh_f_hr_23,0.0010912843241457377
MEASURE_ET_TF_AB_3,0.00108895361845109
SIN_ET_DC_RF_n_gd,0.001086756351200604
MEASURE_ET_R_4000_VER,0.0010834010051293983
MEASURE_ET_DC_RF_Vbgd_0p01,0.0010833105905559152
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg3_SD3p5,0.0010798932969423873
MEASURE_ET_DC_RD_S12dB_18GHz,0.0010661723268744578
TOPSIN_ET_DC_SMALL_Vdg_max,0.0010566806628661872
MEASURE_ET_G_per_6K,0.0010474698156513534
TOPSIN_ET_DC_RF_Vds_max_0p1,0.001026692178988954
THIN_ET_sh_f_tn_23,0.00102596742121333
MEASURE_ET_DC_RF_Vbin_gd,0.00102230085327535
OHMIC_ET_OHMC,0.001007639617025171
FIC_ET_OHMC,0.001005601511948806
TOPSIN_ET_DC_SMALL_Vbin_gs,0.000981919197226959
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,0.0009813277222893468
MEASURE_ET_DC_SEC_Vbin_gs,0.0009775521254580103
TOPSIN_ET_Gate_res,0.0009637157481641153
MEASURE_ET_C175pf,0.0009517061501466522
SIN_ET_DC_RF_Vg_optt2,0.0009468447175179323
MESA_CD_Mesa_CD_Radius,0.0009329732726523865
MEASURE_ET_DC_SEC_X_Vg_at_I2_pos,0.0009304552531693672
MEASURE_ET_DC_RF_Freq_cut_L1018,0.0009275532405859044
TOPSIN_ET_DC_RF_Vbgd_0p01,0.0009272633192674974
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_neg_FPSD3p2,0.0009269080875942992
MEASURE_ET_DC_SEC_X_Vboff_Id_plus_Ig_SD3p5,0.0009099477817966621
TOPSIN_ET_DC_SMALL_Vdg_max_0p1,0.0009035764718124694
MEASURE_ET_DC_SMALL_n_gs,0.0009026382659858515
MEASURE_ET_DC_Diode_S11_dB_rev_9p5,0.0008928828280779785
MEASURE_ET_DC_RF_Ids_m0p2,0.0008912549199198524
THIN_ET_Probe_Number,0.0008822272808325534
MEASURE_ET_DC_SEC_X_Vg_at_I3_neg,0.0008773451309042207
MEASURE_ET_DC_RD_S21dB_18GHz,0.0008738438578505678
MEASURE_ET_DC_SEC_X_Ids_max_FPSD3p2,0.0008700965537316796
MEASURE_ET_LT_SEC_Vbgd1_Vd8,0.0008672373425597918
MEASURE_ET_RF_Modeling_S22dB_10GHz,0.0008651470169919108
MEASURE_ET_RF_Modeling_Fmax,0.0008594401589882161
MEASURE_ET_Probe_Number,0.0008590416006410294
SIN_ET_DC_RF_Vg_optt3,0.0008556474149271783
BRGM_Height3_TOP_metal_thickness,0.0008478516784723435
MEASURE_ET_DC_SEC_X_Ids_max,0.0008409120756454794
SIN_GATE_ET_Ran_con_1,0.0008300214396005091
TOPSIN_ET_C450pf,0.0008296141558988043
FIC_ET_R114,0.0008232691041123335
MEASURE_ET_OHMC,0.0008053322021524164
MEASURE_ET_DC_SEC_X_Vboff_Id_SD3p5,0.0008015581359402549
FIN_Etch_Soft_Bias,0.0007938676019558963
CATHODE_ET_C_CAT_2,0.0007888502862807914
MEASURE_ET_DC_SEC_S_Vg_at_I3_pos_FPSD3p2,0.0007872744393014045
FIC_ET_Ig_mAmm_at_Vd_cond,0.0007864662382359008
MEASURE_ET_DC_RF_Vt_gd,0.0007863948028954193
THIN_ET_Ran_con_2,0.0007580781287610188
TOPSIN_ET_C385pf,0.000753494797771739
MEASURE_ET_C500pf_0,0.0007501724375345138
CATHODE_ET_Probe_Number,0.000742044039938458
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg3_FPSD3p2,0.0007305501178993011
THIN_ET_Ran_con_1_OW_CR,0.0007187870446842351
MEASURE_ET_RF_Modeling_S11dB_10GHz,0.0007172937401280489
MEASURE_ET_DC_RF_S12ang_10GHz,0.0007164353068351651
TOPSIN_ET_G_per_6K,0.0007118584656072583
FIC_ET_G_per_15,0.0006891764141509364
FMESA_Height_Fmesa_Height,0.0006849942478680965
FIC_ET_DC_RF_Vds_max,0.0006849715797014115
THIN_ET_C_CAT_2_OW_ST,0.0006846625632795037
CATHODE_ET_Rc_cat_ct2 (+1 correlated features),0.0006695167965715755
FIC_ET_DC_RF_Vg_optt,0.0006681452701023727
MEASURE_ET_DC_RF_Max_S11_Ph_L1002,0.0006676666918468931
MEASURE_ET_DC_SEC_Vgs_0p1V,0.0006536102088898189
MEASURE_ET_DC_RF_S22dB_10GHz,0.0006529587808748797
MEASURE_ET_DC_SEC_X_Vg_at_I3_neg_FPSD3p2,0.0006474943194500955
MEASURE_ET_KLV_F_AB_4u,0.0006472126177959807
ANODE_ET_Rsh_an_ct2_OW_CR,0.0006421066283586851
THIN_ET_DC_RF_Vds_max,0.0006384908964733281
MEASURE_ET_DC_SEC_X_Bin,0.0006369752856792904
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_pos_SD3p5,0.0006369131060552744
MEASURE_ET_DC_SEC_S_ChipStatus,0.0006361843999297105
TOPSIN_ET_DC_SMALL_Vbgs_0p1,0.0006282315500192611
FIC_ET_HIRS,0.0006277431956428342
TOPSIN_ET_DC_SMALL_Vt_gs,0.0006238370916812104
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_pos_SD3p5,0.0006230072337902835
SIN_ET_DC_RF_Vbgs_0p1,0.0006159341698224424
MEASURE_ET_Rsh_an_ct2,0.0006051386869228447
THIN_ET_Rsh_TF_AB2,0.000603761231073265
MEASURE_ET_DC_SMALL_Vbgs_0p1,0.00060165639558115
SIN_ET_DC_RF_Vds_max_0p1mA,0.0006016280033214766
THIN_ET_DC_RF_Vbgs1,0.0005968277343218164
MEASURE_ET_R_660_HOR,0.0005940156084788886
MEASURE_ET_DC_RF_Max_S11_Mag_L1018,0.0005854833531301532
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_neg,0.0005831688666885865
MEASURE_ET_DC_RF_CF_S11_Ph_L1018,0.000576467899831748
MEASURE_ET_Rsh_an_ct2_OW_CR,0.0005729988587590195
FIN_CD1_CD_PL_FIN,0.0005639654315310615
SIN_ET_DC_RF_Vbgs_0p01,0.0005604918260597292
THIN_ET_Ran_con_3,0.0005589953333067637
FIC_ET_DC_PIV_Ids0_QP1,0.0005586208130575007
MEASURE_ET_DC_SEC_S_Vg_at_I2_pos_SD3p5,0.0005451499437438236
MEASURE_ET_C20,0.000544906292085224
MEASURE_ET_DC_Big_Vds_max,0.0005359608766236803
EBCR2_ET_Ids_EBCR_recess_current,0.0005325023095616073
MEASURE_ET_DC_SEC_S_Ron,0.0005324928337691992
THIN_ET_R114,0.0005228260858494897
MEASURE_ET_DC_SEC_S_Vg_at_I3_pos,0.0005202195122522467
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_FPSD3p2,0.0005146774143822517
MEASURE_ET_DC_RF_Vbgd1,0.0005098522974298425
THIN_ET_R_f_hr_3,0.0005026131642223388
MEASURE_ET_G2_per_6K,0.0005009448804711717
MEASURE_ET_DC_SEC_Vboff_2_1,0.0004967521075624093
MEASURE_ET_DC_RF_Min_S21_Mag_L1018,0.000493957574460948
MEASURE_ET_LT_SEC_Vd_Id_min,0.0004872610909756125
TOPSIN_ET_DC_PIV_Ids1_QP2,0.00048430747891923224
THIN_ET_R_400_HOR,0.00048343883424441567
MEASURE_ET_Load_Pull_Pout_W_mm_last (+1 correlated features),0.0004828733786782011
MEASURE_ET_Load_Pull_Pout_W_last,0.00048244086110695803
MEASURE_ET_DC_RF_Freq_cut_L2180,0.00047929307774108076
TOPSIN_ET_KLV_F_AB_4u_FEMSO,0.00047843491610471967
TOPSIN_ET_R114,0.00047626195761087136
MEASURE_ET_OHMC_GN,0.00047333958732854667
THIN_ET_TFR_AB,0.0004731296901758673
TOPSIN_ET_DC_SMALL_Vg_max_Vd_0p1,0.0004693563753504778
MEASURE_ET_RF_Modeling_Vth,0.0004691005496921141
FIC_ET_DC_RF_Vbgd1,0.0004615111321299841
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_pos_SD3p5,0.00045924764267507134
