parameter_A,parameter_B,broad_screen_score,shap_interaction_strength,h_statistic_strength,fold_reproducibility,fold_count,evidence_label
TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_C450pf,0.4354096325398794,0.0001540409774669141,0.0026142812497089874,5/5,5,STRONG
BRGM_ET_Probe_Number,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4315552519205913,0.00013979027584593907,0.0033521679388669756,5/5,5,STRONG
MEASURE_ET_lkg_CapFICM1,SIN_GATE_ET_Rc_an_ct2,0.428125206584986,0.00013288821257802463,0.0052354816704814925,4/5,4,STRONG
THIN_ET_R314,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4327581891069177,0.00012457201934377386,0.0011665189070201314,4/5,4,STRONG
TOPSIN_ET_DC_PIV_Drain_Lag_1,THIN_Measure2_Thickness_after_grinding,0.4260779388434142,0.00012118326183512955,0.0015041750002643198,4/5,4,STRONG
THIN_ET_lkg_100_at20V,THIN_ET_Rc_f_hr_23,0.4363466849738173,0.00011900808501326082,0.004617625956778182,5/5,5,STRONG
MEASURE_ET_Rc_cat_ct2,TOPSIN_ET_lkg_C450pf,0.4365801541349965,0.00011873855423055589,0.0009459598497816535,4/5,4,STRONG
MEASURE_ET_DC_RF_Gm_m0p2,TOPSIN_ET_lkg_C450pf,0.4269859292052987,0.00011850415845866369,0.003580612248234681,4/5,4,STRONG
THIN_ET_Rc_f_hr_23,TOPSIN_ET_lkg_C450pf,0.4411796567106452,8.995666009688888e-05,0.0015342480957386926,4/5,4,STRONG
FIC_ET_Rc_f_tn_23,TOPSIN_ET_lkg_C450pf,0.4429845675658884,8.280584105405571e-05,0.0014820098985289974,5/5,5,STRONG
SIN_GATE_ET_lkg_5,TOPSIN_ET_CapFICM1,0.4293780275424886,7.15743803091746e-05,3.283105260266824e-13,5/5,5,STRONG
MEASURE_ET_CapPARCAP,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4413418288532957,5.637621125490629e-05,0.0011456905898688105,5/5,5,STRONG
MEASURE_ET_VIA_KLV_2,THIN_ET_lkg_100_at20V,0.4349699803545762,4.097067272718433e-05,0.0006884931177390199,4/5,4,STRONG
MEASURE_ET_DC_Diode_S11_dB_rev_9p5,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4266448960766813,3.717799634162774e-05,1.0373209593819124e-13,5/5,5,STRONG
MEASURE_ET_DC_RF_S11ang_10GHz,THIN_ET_lkg_100_at20V,0.4272788094480605,3.2739145674391366e-05,0.0004699978547773903,5/5,5,STRONG
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4387839299994788,3.080641927824368e-05,0.0004233956852771762,5/5,5,STRONG
MEASURE_ET_lkg_Cap_USV,MESA_ET_Probe_Number,0.425967675787221,2.9447774024932e-05,0.0017694627174078203,4/5,4,STRONG
