parameter_A,parameter_B,parameter_C,channels,n_channels
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,MEASURE_ET_lkg_70_at20V,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,MEASURE_ET_lkg_C300FM1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,MEASURE_ET_lkg_C385pf,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,MEASURE_ET_lkg_Cap1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,SIN_GATE_ET_Rc_OG142_GN,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,SIN_GATE_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,THIN_ET_C_AN_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,THIN_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,TOPSIN_ET_DC_RF_Vbgd_0p1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,TOPSIN_ET_DC_SMALL_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,MEASURE_ET_Rc_f_hr_23,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,MEASURE_ET_lkg_70_at20V,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,MEASURE_ET_lkg_C300FM1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,MEASURE_ET_lkg_C385pf,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,SIN_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,SIN_GATE_ET_Rc_OG142_GN,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,SIN_GATE_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,THIN_ET_C_AN_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,THIN_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,TOPSIN_ET_DC_RF_Vbgd_0p1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,TOPSIN_ET_DC_SMALL_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Rc_f_hr_23,MEASURE_ET_lkg_70_at20V,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Rc_f_hr_23,MEASURE_ET_lkg_C300FM1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Rc_f_hr_23,MEASURE_ET_lkg_C385pf,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Rc_f_hr_23,MEASURE_ET_lkg_Cap1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Rc_f_hr_23,SIN_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Rc_f_hr_23,SIN_GATE_ET_Rc_OG142_GN,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Rc_f_hr_23,SIN_GATE_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Rc_f_hr_23,THIN_ET_C_AN_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Rc_f_hr_23,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Rc_f_hr_23,THIN_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Rc_f_hr_23,TOPSIN_ET_DC_RF_Vbgd_0p1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Rc_f_hr_23,TOPSIN_ET_DC_SMALL_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Rc_f_hr_23,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Rc_f_hr_23,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_Rc_f_hr_23,TOPSIN_ET_lkg_CapFICM1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_70_at20V,MEASURE_ET_lkg_C300FM1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_70_at20V,MEASURE_ET_lkg_C385pf,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_70_at20V,MEASURE_ET_lkg_Cap1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_70_at20V,SIN_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_70_at20V,SIN_GATE_ET_Rc_OG142_GN,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_70_at20V,SIN_GATE_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_70_at20V,THIN_ET_C_AN_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_70_at20V,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_70_at20V,TOPSIN_ET_DC_RF_Vbgd_0p1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_70_at20V,TOPSIN_ET_DC_SMALL_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_70_at20V,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_70_at20V,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C300FM1,MEASURE_ET_lkg_C385pf,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C300FM1,MEASURE_ET_lkg_Cap1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C300FM1,SIN_GATE_ET_Rc_OG142_GN,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C300FM1,SIN_GATE_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C300FM1,THIN_ET_C_AN_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C300FM1,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C300FM1,TOPSIN_ET_DC_RF_Vbgd_0p1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C300FM1,TOPSIN_ET_DC_SMALL_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C300FM1,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C385pf,MEASURE_ET_lkg_Cap1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C385pf,SIN_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C385pf,SIN_GATE_ET_Rc_OG142_GN,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C385pf,SIN_GATE_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C385pf,THIN_ET_C_AN_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C385pf,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C385pf,TOPSIN_ET_DC_RF_Vbgd_0p1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C385pf,TOPSIN_ET_DC_SMALL_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C385pf,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_C385pf,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_Cap1,SIN_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_Cap1,SIN_GATE_ET_Rc_OG142_GN,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_Cap1,SIN_GATE_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_Cap1,THIN_ET_C_AN_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_Cap1,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_Cap1,THIN_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_Cap1,TOPSIN_ET_DC_RF_Vbgd_0p1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_Cap1,TOPSIN_ET_DC_SMALL_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_Cap1,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,MEASURE_ET_lkg_Cap1,TOPSIN_ET_lkg_CapFICM1,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_ET_lkg_SY07_10,SIN_GATE_ET_Rc_OG142_GN,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_ET_lkg_SY07_10,THIN_ET_C_AN_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_ET_lkg_SY07_10,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_ET_lkg_SY07_10,TOPSIN_ET_DC_RF_Vbgd_0p1,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_ET_lkg_SY07_10,TOPSIN_ET_DC_SMALL_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_ET_lkg_SY07_10,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_GATE_ET_Rc_OG142_GN,SIN_GATE_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_GATE_ET_Rc_OG142_GN,THIN_ET_C_AN_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_GATE_ET_Rc_OG142_GN,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_GATE_ET_Rc_OG142_GN,THIN_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_GATE_ET_Rc_OG142_GN,TOPSIN_ET_DC_RF_Vbgd_0p1,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_GATE_ET_Rc_OG142_GN,TOPSIN_ET_DC_SMALL_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_GATE_ET_Rc_OG142_GN,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_GATE_ET_Rc_OG142_GN,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_GATE_ET_Rc_OG142_GN,TOPSIN_ET_lkg_CapFICM1,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_GATE_ET_lkg_SY07_10,THIN_ET_C_AN_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_GATE_ET_lkg_SY07_10,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_GATE_ET_lkg_SY07_10,THIN_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_GATE_ET_lkg_SY07_10,TOPSIN_ET_DC_RF_Vbgd_0p1,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_GATE_ET_lkg_SY07_10,TOPSIN_ET_DC_SMALL_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_GATE_ET_lkg_SY07_10,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_GATE_ET_lkg_SY07_10,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_C300FB,SIN_GATE_ET_lkg_SY07_10,TOPSIN_ET_lkg_CapFICM1,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_C_AN_2,THIN_ET_Rc_TF_AB_2,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_C_AN_2,THIN_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_C_AN_2,TOPSIN_ET_DC_RF_Vbgd_0p1,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_C_AN_2,TOPSIN_ET_DC_SMALL_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_C_AN_2,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_C_AN_2,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_C_AN_2,TOPSIN_ET_lkg_CapFICM1,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_Rc_TF_AB_2,THIN_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_Rc_TF_AB_2,TOPSIN_ET_DC_RF_Vbgd_0p1,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_Rc_TF_AB_2,TOPSIN_ET_DC_SMALL_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_Rc_TF_AB_2,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_Rc_TF_AB_2,TOPSIN_ET_lkg_CapFICM1,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_lkg_5,TOPSIN_ET_DC_RF_Vbgd_0p1,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_lkg_5,TOPSIN_ET_DC_SMALL_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_lkg_5,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_lkg_5,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_C300FB,THIN_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,2_shared_node_chaining,1
MEASURE_ET_C300FB,TOPSIN_ET_DC_RF_Vbgd_0p1,TOPSIN_ET_DC_SMALL_Vbgs1,2_shared_node_chaining,1
MEASURE_ET_C300FB,TOPSIN_ET_DC_RF_Vbgd_0p1,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,TOPSIN_ET_DC_RF_Vbgd_0p1,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_C300FB,TOPSIN_ET_DC_RF_Vbgd_0p1,TOPSIN_ET_lkg_CapFICM1,2_shared_node_chaining,1
MEASURE_ET_C300FB,TOPSIN_ET_DC_SMALL_Vbgs1,TOPSIN_ET_Load_Pull_Id_ini,2_shared_node_chaining,1
MEASURE_ET_C300FB,TOPSIN_ET_DC_SMALL_Vbgs1,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_C300FB,TOPSIN_ET_DC_SMALL_Vbgs1,TOPSIN_ET_lkg_CapFICM1,2_shared_node_chaining,1
MEASURE_ET_C300FB,TOPSIN_ET_Load_Pull_Id_ini,TOPSIN_ET_lkg_Cap3,2_shared_node_chaining,1
MEASURE_ET_C300FB,TOPSIN_ET_Load_Pull_Id_ini,TOPSIN_ET_lkg_CapFICM1,2_shared_node_chaining,1
MEASURE_ET_C300FB,TOPSIN_ET_lkg_Cap3,TOPSIN_ET_lkg_CapFICM1,2_shared_node_chaining,1
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_DC_RF_Min_S21_Freq_L1018,TOPSIN_ET_DC_RF_Vbin_gd,2_shared_node_chaining,1
MEASURE_ET_DC_RF2_S22dB_26GHz,SIN_ET_DC_RF_Vbgs_0p01,TOPSIN_ET_DC_RF_Vbin_gd,2_shared_node_chaining,1
MEASURE_ET_DC_RF2_S22dB_26GHz,TOPSIN_ET_DC_RF_Vbin_gd,TOPSIN_ET_DC_RF_Vds_max,2_shared_node_chaining,1
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,SIN_ET_DC_RF_Vbgs_0p01,TOPSIN_ET_DC_RF_Vbin_gd,2_shared_node_chaining,1
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,TOPSIN_ET_DC_RF_Vbin_gd,TOPSIN_ET_DC_RF_Vds_max,2_shared_node_chaining,1
SIN_ET_DC_RF_Vbgs_0p01,TOPSIN_ET_DC_RF_Vbin_gd,TOPSIN_ET_DC_RF_Vds_max,2_shared_node_chaining,1
MEASURE_ET_Cap1pf_0,MEASURE_ET_Cap3pf_0,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,2_shared_node_chaining,1
MEASURE_ET_Cap1pf_0,MEASURE_ET_DC_RF_S22dB_26GHz,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,2_shared_node_chaining,1
MEASURE_ET_Cap1pf_0,MEASURE_ET_DC_RF_Vbin_gd,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,2_shared_node_chaining,1
MEASURE_ET_Cap1pf_0,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_LT_SEC_Vg_Id_min,2_shared_node_chaining,1
MEASURE_ET_Cap1pf_0,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_RF_Modeling_Fmax,2_shared_node_chaining,1
MEASURE_ET_Cap1pf_0,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,THIN_ET_Cap_C300,2_shared_node_chaining,1
MEASURE_ET_Cap1pf_0,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,TOPSIN_ET_Cap1pf,2_shared_node_chaining,1
MEASURE_ET_Cap3pf_0,MEASURE_ET_DC_RF_S22dB_26GHz,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,2_shared_node_chaining,1
MEASURE_ET_Cap3pf_0,MEASURE_ET_DC_RF_Vbin_gd,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,2_shared_node_chaining,1
MEASURE_ET_Cap3pf_0,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_LT_SEC_Vg_Id_min,2_shared_node_chaining,1
MEASURE_ET_Cap3pf_0,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_RF_Modeling_Fmax,2_shared_node_chaining,1
MEASURE_ET_Cap3pf_0,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,THIN_ET_Cap_C300,2_shared_node_chaining,1
MEASURE_ET_Cap3pf_0,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,TOPSIN_ET_Cap1pf,2_shared_node_chaining,1
MEASURE_ET_DC_RF_S22dB_26GHz,MEASURE_ET_DC_RF_Vbin_gd,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,2_shared_node_chaining,1
MEASURE_ET_DC_RF_S22dB_26GHz,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_LT_SEC_Vg_Id_min,2_shared_node_chaining,1
MEASURE_ET_DC_RF_S22dB_26GHz,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_RF_Modeling_Fmax,2_shared_node_chaining,1
MEASURE_ET_DC_RF_S22dB_26GHz,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,THIN_ET_Cap_C300,2_shared_node_chaining,1
MEASURE_ET_DC_RF_S22dB_26GHz,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,TOPSIN_ET_Cap1pf,2_shared_node_chaining,1
MEASURE_ET_DC_RF_Vbin_gd,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_LT_SEC_Vg_Id_min,2_shared_node_chaining,1
MEASURE_ET_DC_RF_Vbin_gd,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_RF_Modeling_Fmax,2_shared_node_chaining,1
MEASURE_ET_DC_RF_Vbin_gd,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,THIN_ET_Cap_C300,2_shared_node_chaining,1
MEASURE_ET_DC_RF_Vbin_gd,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,TOPSIN_ET_Cap1pf,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_LT_SEC_Vg_Id_min,MEASURE_ET_RF_Modeling_Fmax,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_LT_SEC_Vg_Id_min,THIN_ET_Cap_C300,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_LT_SEC_Vg_Id_min,TOPSIN_ET_Cap1pf,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_RF_Modeling_Fmax,THIN_ET_Cap_C300,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_RF_Modeling_Fmax,TOPSIN_ET_Cap1pf,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,THIN_ET_Cap_C300,TOPSIN_ET_Cap1pf,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,FIC_ET_OHMC,MEASURE_ET_RF_Modeling_Fmax,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,MEASURE_ET_DC_Big_Vg_optt2,MEASURE_ET_RF_Modeling_Fmax,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_RF_Modeling_Fmax,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,MEASURE_ET_RF_Modeling_Fmax,MEASURE_ET_USV_Cappf,2_shared_node_chaining,1
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,MEASURE_ET_RF_Modeling_Fmax,THIN_ET_Ran_con_2,2_shared_node_chaining,1
FIC_ET_OHMC,MEASURE_ET_DC_Big_Vg_optt2,MEASURE_ET_RF_Modeling_Fmax,2_shared_node_chaining,1
FIC_ET_OHMC,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_RF_Modeling_Fmax,2_shared_node_chaining,1
FIC_ET_OHMC,MEASURE_ET_RF_Modeling_Fmax,MEASURE_ET_USV_Cappf,2_shared_node_chaining,1
FIC_ET_OHMC,MEASURE_ET_RF_Modeling_Fmax,THIN_ET_Ran_con_2,2_shared_node_chaining,1
MEASURE_ET_DC_Big_Vg_optt2,MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_RF_Modeling_Fmax,2_shared_node_chaining,1
MEASURE_ET_DC_Big_Vg_optt2,MEASURE_ET_RF_Modeling_Fmax,MEASURE_ET_USV_Cappf,2_shared_node_chaining,1
MEASURE_ET_DC_Big_Vg_optt2,MEASURE_ET_RF_Modeling_Fmax,THIN_ET_Ran_con_2,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_RF_Modeling_Fmax,MEASURE_ET_USV_Cappf,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_RF_Modeling_Fmax,THIN_ET_Ran_con_2,2_shared_node_chaining,1
MEASURE_ET_RF_Modeling_Fmax,MEASURE_ET_USV_Cappf,THIN_ET_Ran_con_2,2_shared_node_chaining,1
MEASURE_ET_Cap2pf_0,MEASURE_ET_DC_Big_Vg_max_Vd_0p1mA,MEASURE_ET_DC_RF_S22dB_26GHz,2_shared_node_chaining,1
MEASURE_ET_Cap2pf_0,MEASURE_ET_DC_Big_Vg_max_Vd_0p1mA,MEASURE_ET_DC_SEC_S_Vg_at_I3_pos_FPSD3p2,2_shared_node_chaining,1
MEASURE_ET_Cap2pf_0,MEASURE_ET_DC_Big_Vg_max_Vd_0p1mA,MEASURE_ET_DC_SEC_X_Ids_max_norm_SD3p5,2_shared_node_chaining,1
MEASURE_ET_Cap2pf_0,MEASURE_ET_DC_Big_Vg_max_Vd_0p1mA,MEASURE_ET_lkg_C300FB,2_shared_node_chaining,1
MEASURE_ET_Cap2pf_0,MEASURE_ET_DC_Big_Vg_max_Vd_0p1mA,MEASURE_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_Cap2pf_0,MEASURE_ET_DC_Big_Vg_max_Vd_0p1mA,THIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,1
