parameter_A,parameter_B,parameter_C,channels,n_channels
MEASURE_ET_lkg_CapPARCAP,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_CapPARCAP,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_CapPARCAP,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_CapPARCAP,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_CapPARCAP,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_Cap_USV,THIN_ET_TF_AB_2,THIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_PAD_10,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_PAD_10,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_C385pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_PAD_10,SIN_ET_lkg_SY07_10,THIN_ET_lkg_100_at20V,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_USV_Cap,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_USV_Cap,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
SIN_ET_lkg_SY07_10,THIN_ET_lkg_100_at20V,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
SIN_ET_lkg_SY07_10,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
SIN_ET_lkg_SY07_10,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
SIN_ET_lkg_SY07_10,THIN_ET_lkg_100_at20V,THIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
SIN_ET_lkg_SY07_10,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_CapPARCAP,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
SIN_ET_lkg_SY07_10,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
SIN_ET_lkg_SY07_10,THIN_ET_lkg_100_at20V,THIN_ET_lkg_C200,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
SIN_ET_lkg_SY07_10,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
SIN_ET_lkg_SY07_10,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
SIN_ET_lkg_SY07_10,SIN_GATE_ET_lkg_5,THIN_ET_lkg_100_at20V,1_triangle+2_shared_node_chaining+5_residual_conditional_structure,3
SIN_GATE_ET_lkg_SY8_80,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
SIN_GATE_ET_lkg_SY8_80,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
SIN_GATE_ET_lkg_SY8_80,THIN_ET_TF_AB_2,THIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
THIN_ET_TF_AB_2,TOPSIN_ET_lkg_5,TOPSIN_ET_lkg_CapPARCAP,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
THIN_ET_TF_AB_2,TOPSIN_ET_lkg_5,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
THIN_ET_TF_AB_2,TOPSIN_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
THIN_ET_TF_AB_2,TOPSIN_ET_lkg_5,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
THIN_ET_TF_AB_2,THIN_ET_lkg_5,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
THIN_ET_TF_AB_2,THIN_ET_lkg_5,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
THIN_ET_TF_AB_2,THIN_ET_lkg_5,TOPSIN_ET_lkg_CapPARCAP,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
THIN_ET_TF_AB_2,THIN_ET_lkg_5,TOPSIN_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
THIN_ET_TF_AB_2,THIN_ET_lkg_5,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
THIN_ET_TF_AB_2,THIN_ET_lkg_5,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
THIN_ET_lkg_100_at20V,THIN_ET_lkg_PAD_10,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
THIN_ET_lkg_100_at20V,THIN_ET_lkg_PAD_10,TOPSIN_ET_lkg_C385pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_5,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_5,TOPSIN_ET_lkg_C385pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
