raw_csv_parameter_name,spline_relationship_class,spline_evidence_label,spline_nonlinear_advantage,v1_relationship_type,v1_evidence_label,v2_shape,v2_evidence_label,vs_v1_lightgbm,vs_v2_binned
MEASURE_ET_C_CAT_2_OW_ST,THRESHOLD,MODERATE,False,,not_screened_by_v1,threshold,MODERATE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_AGREE_SHAPE
BRGM_ET_i5021_3,COMPLEX_NONLINEAR,MODERATE,False,,not_screened_by_v1,complex_nonmonotonic,WEAK,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_neg_SD3p5,U_SHAPED,MODERATE,False,,not_screened_by_v1,complex_nonmonotonic,WEAK,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_CapFICBRGM,COMPLEX_NONLINEAR,MODERATE,True,,not_screened_by_v1,threshold,STRONG,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_FOUND_DIFFERENT_SHAPE
OHMIC_ET_Rc_OG142,COMPLEX_NONLINEAR,MODERATE,True,,not_screened_by_v1,complex_nonmonotonic,WEAK,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_RF_Modeling_Delta_S21_25G,COMPLEX_NONLINEAR,MODERATE,True,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
THIN_ET_DC_RF_Gm_max,COMPLEX_NONLINEAR,MODERATE,True,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
TOPSIN_ET_lkg_CapFICBRGM,SATURATION,MODERATE,False,,not_screened_by_v1,complex_nonmonotonic,STRONG,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_FOUND_DIFFERENT_SHAPE
MEASURE_ET_Gm_m2,COMPLEX_NONLINEAR,MODERATE,True,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
TOPSIN_ET_C100C300pf,INVERTED_U,MODERATE,True,,not_screened_by_v1,threshold,MODERATE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_FOUND_DIFFERENT_SHAPE
