,fold_0,fold_1,fold_2,fold_3,fold_4
FIC_ET_DC_PIV_Drain_Lag_1,8.72825843106676e-05,0.0009904010607185076,0.0004525159592960485,0.001483705733363913,0.0005178045019416944
FIC_ET_DC_PIV_Gate_Lag_0,0.0006867241081827487,0.0013410963807316291,4.1358816435579705e-05,0.0006340218431946564,0.0022840337376210224
FIC_ET_DC_PIV_Gate_Lag_1,0.00570172450040059,1.041001196816835e-05,0.0039497477967712045,0.006233879366976068,0.0011703676807579405
FIC_ET_DC_PIV_Ids0_QP1,0.0008986233255504215,5.277407010149436e-05,0.0004665748561033708,9.48629817688141e-05,8.400119147604078e-05
FIC_ET_DC_PIV_Ids0_QP2,0.0006771875833625197,0.0001424043968695128,0.0005287470872358289,0.0019416810192365535,0.00015837180473841282
FIC_ET_DC_PIV_Ids0_QP3,0.00011569614505349477,0.0002166633612581434,0.00015187438093368897,6.928906674021262e-05,8.981490199175988e-05
FIC_ET_DC_PIV_Ids1_QP1,0.0005590490709194239,0.0003890374865232563,5.946858760311141e-05,0.00014887860735192406,0.0001224196956957704
FIC_ET_DC_PIV_Ids1_QP2,3.6178096161490315e-05,0.0017174982557672592,0.000940246691467973,4.564707924140753e-05,0.000286292304300698
FIC_ET_DC_PIV_Ids1_QP3,0.003899323074193953,0.002619098369458461,0.0002613956665714611,0.003147760970215153,0.00018317965681184667
FIC_ET_DC_RF_Gm_0,0.0,2.0685452118539902e-05,0.00021630464211965783,0.0,0.0
FIC_ET_DC_RF_Gm_m0p2,9.21221385355353e-06,0.0,0.0,2.4772362625654296e-05,0.00033399371873430974
FIC_ET_DC_RF_Gm_max,0.00012284209587376822,4.6964666602658726e-05,0.0,0.0,0.0
FIC_ET_DC_RF_Id_gm_max,0.0,5.384243621369334e-05,0.00014714436632940066,6.874323150686212e-05,0.0
FIC_ET_DC_RF_Ids_m0p2,0.0,0.0,0.0013760513727320762,0.0,0.0007680906511892885
FIC_ET_DC_RF_Idss,0.0,0.00014689014795286575,0.0,0.0,0.0006474621535995039
FIC_ET_DC_RF_Imax,7.288778683354882e-05,0.0,0.0,0.0,3.5513826378322593e-05
FIC_ET_DC_RF_Vbgd1,3.070444294659429e-05,0.008418652920241305,3.671853877688921e-05,0.0032991632645671754,0.0
FIC_ET_DC_RF_Vbgd_0p01,0.0,0.0,9.587971664354786e-05,9.117734006227135e-05,6.406059432651414e-05
FIC_ET_DC_RF_Vbgd_0p1,0.005984661957566298,0.0013331965842693354,0.005342768531723866,0.0063006707306928955,0.004060367915652335
FIC_ET_DC_RF_Vbgs1,0.0007329123203637996,0.001956325143474609,0.00439909201356869,0.0016653503662246896,0.00686639891397033
FIC_ET_DC_RF_Vbgs_0p01,0.02927529377991205,0.05511717082215283,0.0022556003479925904,0.03686150597296462,0.017804007261654778
FIC_ET_DC_RF_Vbgs_0p1,0.011719073280834954,0.026065129168700154,0.010279256629159331,0.005545446156174294,0.00899722682687648
FIC_ET_DC_RF_Vbin_gd,0.0010601401674739657,0.00014681253349319327,0.0017356986800528276,0.0008032956695621708,0.002090103370034812
FIC_ET_DC_RF_Vbin_gs,0.0007830970012917351,0.006751864438172094,0.002740622562496077,0.006348105138851831,0.004565961169923026
FIC_ET_DC_RF_Vboff,0.00016993180814990294,7.3824758228548636e-06,5.649043107633169e-05,8.460400085335015e-05,0.00042312975140636167
FIC_ET_DC_RF_Vdg_max,0.003462833681873399,0.0012543244350576334,0.0010891942313105596,0.00020496171570659154,0.004765433320960186
FIC_ET_DC_RF_Vdg_max_0p1,0.0005106034926723895,0.0004840599854813363,0.0001906318503073749,0.0005653002081883078,0.0
FIC_ET_DC_RF_Vdg_max_0p1mA,0.0002479084218626174,0.0007561564419615974,2.1308038344180465e-05,0.0002463744254489266,0.0012441566455575405
FIC_ET_DC_RF_Vds_max,3.503857178916496e-05,0.0025025036597761076,0.0022936754982100277,0.00027713894047766543,0.0023820323499367246
FIC_ET_DC_RF_Vds_max_0p1,4.088630619378368e-05,0.00520287546256401,0.00019946665274095239,0.0,3.079026601988345e-05
FIC_ET_DC_RF_Vds_max_0p1mA,9.737698746052302e-05,3.654853854212274e-05,0.00013159087378130358,0.0001478637323211825,0.0002838957553581917
FIC_ET_DC_RF_Vg_gm_max,0.0002467453569487045,0.0,1.7256993566146527e-05,0.00027634528679033806,0.0
FIC_ET_DC_RF_Vg_max_Vd,0.016214045236410603,0.0010512896804937583,1.2770144833910454e-05,0.008370800238945987,0.0010062101010581248
FIC_ET_DC_RF_Vg_max_Vd_0p1,0.000615413105131738,0.0,1.0157134374805163e-05,0.00033743104222819963,0.00014842945065156551
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,0.03745192353166915,0.015260500045920274,0.014866304863934974,0.011735274065197669,0.02453053692685346
FIC_ET_DC_RF_Vg_optt,6.956299533302372e-05,0.0009298461212261024,0.00020623324596574864,0.0013759189476951139,0.000649881436747395
FIC_ET_DC_RF_Vg_optt1,0.004250333837128089,8.764285327822908e-05,0.00033254623922737806,0.00013557573441801363,8.07213302444105e-05
FIC_ET_DC_RF_Vg_optt2,0.0,4.6598360484423646e-05,4.9473649724114644e-05,0.00017136641942278654,3.385059603141107e-05
FIC_ET_DC_RF_Vg_optt3,5.3060581187282853e-05,0.0003256885925348322,4.7425679828126106e-05,4.670796565995e-05,0.00020226866796020524
FIC_ET_DC_RF_Vp_01,3.7329596605865196e-05,0.0,0.000608596023192832,0.0,0.0
FIC_ET_DC_RF_Vp_1,0.0,3.0987669014407756e-05,0.0,7.790387588056264e-06,0.0011695849223071074
FIC_ET_DC_RF_Vt_gd,0.00014929162376139184,0.00055412339826386,7.724697460566119e-05,2.149064677121826e-05,0.0007766439575840063
FIC_ET_DC_RF_Vt_gs,3.3472363661028056e-05,0.00015553197684430668,0.00010424653415643246,7.506037065825242e-06,7.588212295740012e-05
FIC_ET_DC_RF_n_gd,2.2046209454903937e-05,0.0006088515602921284,3.430303845922923e-05,0.0012083701502310685,0.00013118573303345506
FIC_ET_DC_RF_n_gs,0.00018342142207094692,4.089110424261223e-05,0.00010716899101976746,0.0014030132267354434,0.002403771547894465
FIC_ET_FC_lin_4,0.00014562905722713764,4.194301823303519e-05,4.462544342959657e-05,0.0006129677409417103,8.301605619000236e-05
FIC_ET_G2_per_6K,9.441995413777114e-05,0.00012191755549350547,0.0003622549732980388,8.966509692795601e-05,6.208136277237116e-05
FIC_ET_GT_lin25,0.00034046293246538863,0.00022170717377575225,0.0017474936255252524,0.0001218209602928321,6.0083295724994033e-05
FIC_ET_G_per_15,0.004318127723209264,3.6218962142623336e-05,0.00018990219624838393,0.0005198786761341828,0.0004726116417985985
FIC_ET_G_per_25,0.021240485746893727,0.004101270069352381,0.002635057138345951,0.004900378814037307,0.01628883363485537
FIC_ET_G_per_2p75K,0.001093682120396999,0.004539856623091868,0.0026812280302364196,0.0026665003973183224,0.007301585871267933
FIC_ET_G_per_6K,2.2894212414964976e-05,0.0006364704180424476,0.00016505259670364315,0.0001062620599098152,4.4550677154340886e-05
FIC_ET_Gate_res,0.0032032698185866736,0.0020038599719788956,0.00042530967542099595,0.00017723350058091827,0.0005409555906168771
FIC_ET_Gm_m2,6.719388549876128e-05,0.0018069064242723304,0.005103898554885811,1.4212900412728148e-05,0.006651523893262781
FIC_ET_Gm_max,0.00436451577657461,0.0,0.0,0.0,0.010296446249674397
FIC_ET_HIRS,2.3427566040247454e-05,0.0007040797980661661,0.0001052398475742399,7.694883106859797e-05,0.000149914898810365
FIC_ET_Id_mAmm_at_Vd_cond,5.949925238471455e-05,2.722560121854861e-05,0.0006105143467338965,0.00013649789144928257,0.0007379620980699876
FIC_ET_Ids_m2,0.0006604937596211781,0.0,7.954882191353462e-05,2.5622145847731553e-05,6.0343429702615376e-05
FIC_ET_Ig_mAmm_at_Vd_cond,0.0003932130991882676,0.00025526625882656747,0.0005554937339960507,0.0001684299569031584,0.00040025246663227305
FIC_ET_OHMC,4.693657592015261e-05,0.0008620618017254075,0.0,0.0030438326586932343,0.0003569588022172461
FIC_ET_Probe_Number,0.0061343867522462795,0.012294369830046389,0.003381398982046336,0.0150914091360274,0.007841467268970082
FIC_ET_R114,0.0013261157935368334,5.972719932507165e-05,0.002244932071937316,0.0008621109713855136,0.0023406403430792397
