parameter_A,parameter_B,parameter_C,channels,lower_order_cv_rmse,full_3way_cv_rmse,incremental_rmse_improvement_pct,lower_order_cv_r2,full_3way_cv_r2,incremental_r2,fold_reproducibility,evidence_label,reason
MEASURE_ET_lkg_USV_Cap,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1679,2.0621,4.881,0.0721,0.1611,0.089,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0890."
OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,2.1325,2.0273,4.931,0.1019,0.1905,0.0885,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0885."
MEASURE_ET_lkg_CapFICM1,OHMIC_ET_lkg_5,SIN_GATE_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.161,2.0584,4.751,0.0712,0.1597,0.0885,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0885."
FIC_ET_DC_RF_Vbgs1,MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_5,2_shared_node_chaining,2.1099,1.9998,5.218,0.1142,0.2025,0.0884,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0884."
BRGM_ET_Rsh_F_AB_2,MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_Rcat_cn_1,2_shared_node_chaining+3_edge_plus_high_or_medium_conditional,2.1622,2.0561,4.905,0.0801,0.1683,0.0881,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0881."
MEASURE_ET_DC_RF_Imax_W,MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_Rcat_cn_1,2_shared_node_chaining,2.164,2.0602,4.795,0.0784,0.1662,0.0878,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0878."
FIC_ET_lkg_SY07_10,OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vbgs_0p1,1_triangle+2_shared_node_chaining,2.0501,1.9438,5.186,0.164,0.2512,0.0872,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0872."
FIC_ET_Rc_OG142,MEASURE_ET_DC_RF2_S11dB_26GHz,SIN_ET_DC_RF_Vbin_gs,1_triangle+2_shared_node_chaining,2.1784,2.0757,4.711,0.0594,0.146,0.0867,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0867."
OHMIC_ET_lkg_5,SIN_ET_DC_RF_Vbin_gd,SIN_GATE_ET_lkg_5,1_triangle+2_shared_node_chaining,2.0368,1.9312,5.183,0.1768,0.2634,0.0865,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0865."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_lkg_CapPARCAP,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.152,2.0487,4.803,0.0808,0.1672,0.0864,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0864."
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_SD3p5,MEASURE_ET_HIRS,SIN_ET_DC_RF_Gm_0,1_triangle+2_shared_node_chaining,2.1963,2.0921,4.746,0.0496,0.1359,0.0863,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0863."
OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,2.1417,2.0387,4.81,0.0932,0.1788,0.0856,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0856."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vbgs_0p1,1_triangle+2_shared_node_chaining,2.0644,1.9592,5.098,0.1531,0.2386,0.0854,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0854."
MEASURE_ET_lkg_10,OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1568,2.0566,4.645,0.0801,0.1654,0.0853,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0853."
MEASURE_ET_DC_SEC_X_Vg_at_I3_pos,OHMIC_ET_R114,THIN_ET_TF_AB_2,3_edge_plus_high_or_medium_conditional,2.2079,2.111,4.388,0.0407,0.1257,0.085,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0850."
FIC_ET_lkg_SY07_10,OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1419,2.0419,4.673,0.09,0.1749,0.0849,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0849."
MEASURE_ET_lkg_10,MEASURE_ET_lkg_USV_Cap,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1824,2.0829,4.56,0.0585,0.1432,0.0848,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0848."
ANODE_ET_Rc_an_ct2,MEASURE_ET_DC_RF_Imax_W,MEASURE_ET_DC_Stress_Id_max_Ig_after,2_shared_node_chaining,2.1571,2.0592,4.541,0.0815,0.1662,0.0848,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0848."
FIC_ET_Rc_OG142,FIC_ET_lkg_SY8_80,MEASURE_ET_DC_Stress_Id_max_Ig_after,2_shared_node_chaining,2.1115,2.0125,4.686,0.1187,0.2027,0.0841,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0841."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_lkg_USV_Cap,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1713,2.0702,4.656,0.0671,0.151,0.084,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0840."
FIC_ET_DC_RF_Imax,FIN_FIN_Alignment_FIN_to_ohmic_alignment,MEASURE_ET_DC_RF_Vbin_gs,6_hub_triple_interaction_neighborhood,2.2214,2.1233,4.418,0.0207,0.1046,0.0839,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0839."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,OHMIC_ET_lkg_5,SIN_GATE_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1406,2.0416,4.625,0.0896,0.1734,0.0837,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0837."
FIC_ET_DC_RF_Imax,SIN_GATE_ET_Rc_an_ct2,TOPSIN_ET_CapPARCAP_0,3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,2.1847,2.0832,4.644,0.0562,0.1398,0.0836,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0836."
FIC_ET_DC_PIV_Drain_Lag_1,FIC_ET_DC_PIV_Gate_Lag_0,MEASURE_ET_DC_SEC_X_Bin,2_shared_node_chaining,2.0864,1.9867,4.778,0.1339,0.2176,0.0836,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0836."
OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1588,2.0646,4.363,0.0772,0.1607,0.0835,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0835."
FIC_ET_Gm_max,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,TOPSIN_ET_Gm_max,2_shared_node_chaining,2.2005,2.1127,3.988,0.0177,0.101,0.0833,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0833."
MEASURE_ET_CapPARCAP,MEASURE_ET_DC_RF2_S11dB_26GHz,SIN_ET_DC_RF_Vbin_gs,2_shared_node_chaining,2.1354,2.0349,4.708,0.0974,0.1805,0.0831,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0831."
ANODE_ET_Rc_an_ct2,BRGM_ET_Rsh_F_AB_2,MEASURE_ET_DC_Stress_Id_max_Ig_after,2_shared_node_chaining,2.1604,2.0627,4.518,0.0792,0.1622,0.083,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0830."
MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_Rcat_cn_1,TOPSIN_ET_Vg_gm_max,2_shared_node_chaining,2.1839,2.0842,4.566,0.0609,0.1434,0.0825,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0825."
FIC_ET_DC_RF_Vbgs_0p01,MEASURE_ET_HIRS,MEASURE_ET_lkg_CapFICBRGM,3_edge_plus_high_or_medium_conditional,2.0968,1.9924,4.98,0.1306,0.2124,0.0818,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0818."
ANODE_ET_Rc_an_ct2,MEASURE_ET_DC_Stress_Id_max_Ig_after,TOPSIN_ET_CapFICBRGM,2_shared_node_chaining,2.1708,2.0756,4.387,0.0709,0.1525,0.0816,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0816."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,OHMIC_ET_lkg_5,SIN_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1283,2.0265,4.785,0.1067,0.1881,0.0814,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0814."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1509,2.054,4.507,0.084,0.1651,0.0811,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0811."
CATHODE_ET_Rcat_cn_2,MEASURE_ET_CapPARCAP_0,TOPSIN_ET_DC_RF_Imax,3_edge_plus_high_or_medium_conditional,2.1604,2.0624,4.534,0.0707,0.1518,0.0811,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0811."
OHMIC_ET_lkg_5,THIN_ET_lkg_5,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1524,2.0616,4.221,0.0792,0.1602,0.081,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0810."
OHMIC_ET_lkg_5,THIN_ET_lkg_C200,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1554,2.0616,4.355,0.0812,0.1621,0.081,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0810."
OHMIC_ET_lkg_5,SIN_GATE_ET_lkg_5,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.168,2.0743,4.325,0.0663,0.1473,0.081,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0810."
FIC_ET_lkg_SY8_80,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.178,2.0803,4.484,0.0598,0.1408,0.081,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0810."
SIN_GATE_ET_lkg_5,THIN_ET_lkg_PAD_10,TOPSIN_ET_DC_RF_Vbgs_0p1,1_triangle+2_shared_node_chaining,2.0643,1.9658,4.771,0.1548,0.2357,0.0809,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0809."
MEASURE_ET_lkg_CapFICM1,OHMIC_ET_lkg_5,SIN_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1404,2.0392,4.732,0.0936,0.1744,0.0808,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0808."
OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,TOPSIN_ET_DC_RF_Vbgs_0p1,1_triangle+2_shared_node_chaining,2.0157,1.918,4.849,0.1903,0.271,0.0807,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0807."
MEASURE_ET_lkg_100,MEASURE_ET_lkg_50_at20V,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1809,2.0868,4.315,0.0582,0.1385,0.0803,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0803."
FIC_ET_lkg_5,OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1436,2.0504,4.344,0.0911,0.1713,0.0802,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0802."
MEASURE_ET_lkg_CapFICM1,OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_or_medium_conditional+6_hub_triple_interaction_neighborhood,2.1517,2.0557,4.464,0.0852,0.1653,0.0801,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0801."
MEASURE_ET_lkg_CapFICM1,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1725,2.0784,4.333,0.0643,0.1444,0.0801,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0801."
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,MEASURE_ET_lkg_70_at20V,TOPSIN_ET_lkg_5,2_shared_node_chaining,2.0818,1.9978,4.035,0.1264,0.2064,0.08,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0800."
MEASURE_ET_DC_RF_CF_S22_Ph_L2180,MEASURE_ET_DC_Stress_Id_max_Ig_after,SIN_ET_Probe_Number,2_shared_node_chaining,2.0981,2.0062,4.381,0.1242,0.204,0.0798,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0798."
OHMIC_ET_lkg_5,SIN_ET_lkg_SY8_80,TOPSIN_ET_lkg_Cap2,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1497,2.0485,4.71,0.0883,0.168,0.0797,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0797."
MEASURE_ET_lkg_USV_Cap,OHMIC_ET_lkg_5,SIN_GATE_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1598,2.0663,4.329,0.0754,0.1549,0.0795,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0795."
OHMIC_ET_lkg_5,SIN_ET_lkg_SY8_80,TOPSIN_ET_lkg_Cap3,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1303,2.0302,4.698,0.1039,0.1835,0.0795,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0795."
MEASURE_ET_lkg_100,OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1521,2.0623,4.172,0.0815,0.1608,0.0792,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0792."
MEASURE_ET_lkg_USV_Cap,OHMIC_ET_lkg_5,SIN_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1548,2.0557,4.6,0.0839,0.163,0.0791,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0791."
MEASURE_ET_lkg_100,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1685,2.0787,4.14,0.0664,0.1455,0.0791,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0791."
MEASURE_ET_lkg_CapFICM1,MEASURE_ET_lkg_USV_Cap,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1794,2.0847,4.345,0.0611,0.1401,0.079,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0790."
FIC_ET_lkg_SY07_10,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1627,2.0673,4.411,0.0745,0.1535,0.079,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0790."
OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,TOPSIN_ET_DC_RF_Vbgs_0p1,1_triangle+2_shared_node_chaining,2.0559,1.9601,4.659,0.1612,0.2403,0.079,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0790."
FIC_ET_lkg_SY8_80,OHMIC_ET_lkg_5,SIN_GATE_ET_lkg_5,6_hub_triple_interaction_neighborhood,2.1574,2.066,4.24,0.0757,0.1546,0.0789,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0789."
OHMIC_ET_lkg_5,SIN_GATE_ET_lkg_5,THIN_ET_lkg_C200,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1561,2.0632,4.31,0.0788,0.1576,0.0787,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0787."
MEASURE_ET_lkg_Cap_USV,OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1462,2.054,4.298,0.0898,0.1679,0.078,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0780."
FIC_ET_Gm_max,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,MEASURE_ET_lkg_CapFICBRGM,2_shared_node_chaining,2.2389,2.1537,3.805,-0.0024,0.0755,0.0779,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0779."
MEASURE_ET_lkg_10,OHMIC_ET_lkg_5,SIN_GATE_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.168,2.076,4.246,0.069,0.1469,0.0778,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0778."
FIC_ET_Gm_max,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,TOPSIN_ET_DC_SMALL_Vbgs1,2_shared_node_chaining,2.1939,2.1092,3.859,0.0362,0.1139,0.0778,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0778."
OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1437,2.0521,4.276,0.0891,0.1667,0.0776,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0776."
OHMIC_ET_lkg_5,SIN_ET_lkg_SY8_80,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1202,2.0266,4.413,0.1119,0.1894,0.0775,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0775."
MEASURE_ET_lkg_Cap1,MEASURE_ET_lkg_Cap_USV,OHMIC_ET_lkg_5,2_shared_node_chaining,2.1698,2.0773,4.261,0.0706,0.1479,0.0773,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0773."
OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,THIN_ET_lkg_100_at20V,3_edge_plus_high_or_medium_conditional,2.1422,2.0472,4.435,0.0959,0.1731,0.0772,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0772."
OHMIC_ET_lkg_5,SIN_ET_lkg_SY07_10,SIN_GATE_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1513,2.0593,4.279,0.0843,0.1613,0.077,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0770."
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,MEASURE_ET_HIRS,TOPSIN_ET_DC_RF_Idss,3_edge_plus_high_or_medium_conditional,2.1857,2.0986,3.985,0.0504,0.1274,0.077,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0770."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_lkg_10,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+6_hub_triple_interaction_neighborhood,2.1712,2.0804,4.181,0.0674,0.1443,0.0769,5/5,STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0769."
