,0
TFRP_ET_Rsh_TFR2,94.331449277699
FIC_ET_Bad_Gates,93.74240660341457
MEASURE_ET_TF_AB_2,93.65270233154297
MEASURE_ET_DC_RD_Vg_Vbon_min,93.53032550029457
MEASURE_ET_Rc_cat_ct2_OW_ST,92.04537736997008
MEASURE_ET_DC_RF_S12dB_26GHz_W,91.6538687152788
TOPSIN_ET_Load_Pull_Gain_comp_Last,91.28743053413928
MEASURE_ET_DC_Diode_S11_dB_forw,90.30714475736022
MEASURE_ET_i5021_3,90.08330051181838
MEASURE_ET_lkg_C300,89.44509887695312
TOPSIN_ET_DC_RF_Vt_gd,86.3651321453508
MEASURE_ET_DC_SEC_Vboff_2_1,83.86349046230316
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_SD3p5,83.53803370473906
FIC_ET_sh_f_tn_23,80.7901158016175
MEASURE_ET_DC_RF_Vbgs1,79.67987976898439
THIN_ET_R_4000_HOR,79.40356721542776
THIN_ET_Rc_f_hr_23,78.64628086006269
SIN_ET_DC_RF_Vbgs1,78.21792526729405
MEASURE_ET_USV_Cappf,77.30516160838306
MEASURE_ET_lkg_CapFICBRGM,77.03150177001953
EBCR2_CD_Gate_Leg_Length,75.70090264081955
BRGM_ET_i5021_2,74.86427781544626
TOPSIN_ET_DC_SMALL_Vbgs_0p1,74.80753661436029
TOPSIN_ET_HIRS,73.39602884138003
FIC_ET_lkg_5,73.0325984954834
MEASURE_ET_Rc_f_hr_23,73.0091302394867
MEASURE_ET_DC_SEC_Id_gm_max,72.94150025770068
MEASURE_ET_DC_RF2_S12dB_26GHz,72.79421609826386
MEASURE_ET_DC_RF_S11dB_26GHz_W,71.84564100205898
MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm,71.73419337323867
THIN_ET_DC_RF_Vg_optt3,70.04405402392149
MEASURE_ET_DC_Diode_S21_dB_forw_9p5,69.92856316780671
SIN_GATE_ET_lkg_5,69.58851979998872
TOPSIN_ET_DC_SMALL_Vbin_gd,69.5150056690909
MEASURE_ET_lkg_C175pf,68.62670135498047
MEASURE_ET_C300pf_0,67.73956421017647
