parameter_A,parameter_B,channels,n_channels
THIN_ET_TF_AB_2,MEASURE_ET_lkg_USV_Cap,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2
MEASURE_ET_C100USV_Cappf,TOPSIN_ET_lkg_CapFICM1,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2
MEASURE_ET_DC_SEC_Vbin_gs,THIN_ET_C20_0,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2
TOPSIN_ET_lkg_C450pf,FIC_ET_Rc_f_tn_23,A_top_score1_nonadditivity,1
THIN_ET_lkg_100_at20V,TOPSIN_ET_CapPARCAP_0,A_top_score1_nonadditivity,1
THIN_ET_lkg_100_at20V,MEASURE_ET_C100CapPARCAP,A_top_score1_nonadditivity,1
THIN_ET_Rc_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_top_score1_nonadditivity,1
THIN_ET_lkg_100_at20V,THIN_ET_Rc_cat_ct2,A_top_score1_nonadditivity,1
CATHODE_ET_Rcat_cn_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_top_score1_nonadditivity,1
TOPSIN_ET_CapPARCAP_0,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_top_score1_nonadditivity,1
TOPSIN_ET_lkg_C450pf,TOPSIN_ET_CapPARCAP_0,A_top_score1_nonadditivity,1
THIN_ET_lkg_100_at20V,TFRP_ET_Rc_TF_AB_2,A_top_score1_nonadditivity,1
TOPSIN_ET_lkg_C450pf,OHMIC_ET_Rc_an_ct2,A_top_score1_nonadditivity,1
THIN_ET_lkg_100_at20V,MEASURE_ET_Rc_an_ct2,A_top_score1_nonadditivity,1
THIN_ET_Rc_OG142,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_top_score1_nonadditivity,1
MEASURE_ET_Rcat_cn_1_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_top_score1_nonadditivity,1
TOPSIN_ET_Rc_OG144,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_top_score1_nonadditivity,1
MEASURE_ET_C100CapPARCAP,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_top_score1_nonadditivity,1
