parameter_A,parameter_B,parameter_C,channels,lower_order_cv_rmse,full_3way_cv_rmse,incremental_rmse_improvement_pct,lower_order_cv_r2,full_3way_cv_r2,incremental_r2,fold_reproducibility,evidence_label,reason
MEASURE_ET_Rc_f_hr_23,SIN_GATE_ET_lkg_SY07_10,TOPSIN_ET_C100CapFICM1,2_shared_node_chaining,2.1062,2.0892,0.81,0.1236,0.1401,0.0165,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0165 -- majority but not unanimous.
MEASURE_ET_Cap2pf,THIN_ET_C_AN_2,TOPSIN_ET_C100Cap3pf,2_shared_node_chaining,2.212,2.1952,0.76,0.0332,0.0497,0.0165,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0165."
MEASURE_ET_Rc_TF_AB_2,THIN_ET_C200_0,THIN_ET_Rc_OG142,2_shared_node_chaining,2.1342,2.1188,0.721,0.0867,0.1032,0.0165,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0165."
SIN_GATE_ET_Rc_OG142_GN,THIN_ET_DC_RF_Vbgs_0p01,TOPSIN_ET_C100CapUSV,2_shared_node_chaining,2.013,1.9939,0.946,0.1919,0.2083,0.0165,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0165."
MEASURE_ET_DC_PIV_Drain_Lag_1,MEASURE_ET_DC_PIV_Gate_Lag_1,MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,2_shared_node_chaining,2.1104,2.0888,1.021,0.1172,0.1338,0.0165,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0165."
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,THIN_ET_Cap_C300,TOPSIN_ET_Load_Pull_Id_ini,3_edge_plus_high_conditional,2.2214,2.2012,0.909,0.0234,0.0399,0.0165,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0165."
CATHODE_ET_Rcat_cn_2,MEASURE_ET_C300pf,TOPSIN_ET_lkg_CapFICM1,3_edge_plus_high_conditional,2.0651,2.0462,0.914,0.1608,0.1774,0.0165,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0165."
MEASURE_ET_C300M1B_0,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,MEASURE_ET_DC_Stress_Vp_after,3_edge_plus_high_conditional,2.2158,2.197,0.851,0.0327,0.0492,0.0165,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0165."
MEASURE_ET_DC_SMALL_Vbgs_0p01,MEASURE_ET_lkg_USV_Cap,OHMIC_ET_lkg_5,3_edge_plus_high_conditional,2.1494,2.1321,0.804,0.0847,0.1012,0.0165,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0165."
THIN_ET_lkg_100_at20V,THIN_ET_lkg_70_at20V,TOPSIN_ET_DC_PIV_Ids0_QP3,3_edge_plus_high_conditional,2.1264,2.1105,0.746,0.1032,0.1198,0.0165,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0165 -- majority but not unanimous.
MEASURE_ET_C200_0,THIN_ET_lkg_10,TOPSIN_ET_Rc_f_tn_23,4_tree_path_cooccurrence,2.147,2.1292,0.829,0.0932,0.1097,0.0165,4/5,MODERATE,"Full 3-way model beat lower-order in 4/5 folds, incremental R^2=0.0165."
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_DC_Stress_Id_stress_before,THIN_ET_Rcat_cn_3,2_shared_node_chaining+3_edge_plus_high_conditional,2.1787,2.1517,1.241,0.0591,0.0756,0.0164,3/5,MODERATE,Full 3-way model beat lower-order in 3/5 folds with incremental R^2=0.0164 -- majority but not unanimous.
