parameter_A,parameter_B,parameter_C,contrast_3way,fold_sign_reproducibility,high_yield_joint_condition,low_yield_joint_condition,confidence
ANODE_ET_Rc_an_ct2_OW_CR,TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_0,-0.0002,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, TFRP_ET_Rc_TF_AB_2=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","ANODE_ET_Rc_an_ct2_OW_CR=high, TFRP_ET_Rc_TF_AB_2=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",STRONG
FIC_ET_Gate_res,MEASURE_ET_DC_RF_Vp_1_W,TFRP_ET_Rc_TF_AB_2,0.0002,5/5,"FIC_ET_Gate_res=low, MEASURE_ET_DC_RF_Vp_1_W=high, TFRP_ET_Rc_TF_AB_2=low","FIC_ET_Gate_res=high, MEASURE_ET_DC_RF_Vp_1_W=low, TFRP_ET_Rc_TF_AB_2=high",STRONG
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF_Vp_1_W,MEASURE_ET_lkg_50_at20V,-0.0002,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF_Vp_1_W=high, MEASURE_ET_lkg_50_at20V=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_RF_Vp_1_W=low, MEASURE_ET_lkg_50_at20V=high",STRONG
FIC_ET_Bad_Gates,MEASURE_ET_LT_SEC_Vbgd1_Vd7,TOPSIN_ET_DC_SMALL_Vbgs_0p01,-0.0002,4/5,"FIC_ET_Bad_Gates=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low, TOPSIN_ET_DC_SMALL_Vbgs_0p01=low","FIC_ET_Bad_Gates=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high, TOPSIN_ET_DC_SMALL_Vbgs_0p01=high",STRONG
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_LT_SEC_Vbgd1_Vd7,MEASURE_ET_lkg_50_at20V,-0.0002,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low, MEASURE_ET_lkg_50_at20V=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high, MEASURE_ET_lkg_50_at20V=high",STRONG
FIC_ET_Bad_Gates,MEASURE_ET_DC_RF_Vp_1_W,TFRP_ET_Rc_TF_AB_2,-0.0001,5/5,"FIC_ET_Bad_Gates=high, MEASURE_ET_DC_RF_Vp_1_W=high, TFRP_ET_Rc_TF_AB_2=low","FIC_ET_Bad_Gates=low, MEASURE_ET_DC_RF_Vp_1_W=low, TFRP_ET_Rc_TF_AB_2=high",STRONG
FIC_ET_Bad_Gates,MEASURE_ET_DC_RF_Vp_1_W,TOPSIN_ET_DC_PIV_Drain_Lag_0,-0.0001,4/5,"FIC_ET_Bad_Gates=high, MEASURE_ET_DC_RF_Vp_1_W=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","FIC_ET_Bad_Gates=low, MEASURE_ET_DC_RF_Vp_1_W=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",STRONG
MEASURE_ET_DC_RF_Vp_1_W,OHMIC_ET_Rsh_an_ct2,TFRP_ET_Rc_TF_AB_2,-0.0001,4/5,"MEASURE_ET_DC_RF_Vp_1_W=high, OHMIC_ET_Rsh_an_ct2=high, TFRP_ET_Rc_TF_AB_2=low","MEASURE_ET_DC_RF_Vp_1_W=low, OHMIC_ET_Rsh_an_ct2=low, TFRP_ET_Rc_TF_AB_2=high",STRONG
FIC_ET_Bad_Gates,MEASURE_ET_DC_RF_Vp_1_W,MEASURE_ET_LT_SEC_Vbgd1_Vd7,-0.0001,4/5,"FIC_ET_Bad_Gates=high, MEASURE_ET_DC_RF_Vp_1_W=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low","FIC_ET_Bad_Gates=low, MEASURE_ET_DC_RF_Vp_1_W=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high",STRONG
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_Gate_res,MEASURE_ET_DC_RF_Vp_1_W,0.0001,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, FIC_ET_Gate_res=low, MEASURE_ET_DC_RF_Vp_1_W=high","ANODE_ET_Rc_an_ct2_OW_CR=high, FIC_ET_Gate_res=high, MEASURE_ET_DC_RF_Vp_1_W=low",STRONG
FIC_ET_R_f_tn_2,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,THIN_ET_TF_AB_1,-0.0001,4/5,"FIC_ET_R_f_tn_2=high, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, THIN_ET_TF_AB_1=high","FIC_ET_R_f_tn_2=low, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, THIN_ET_TF_AB_1=low",STRONG
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_lkg_50_at20V,TOPSIN_ET_C100Cap2pf,0.0001,4/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_C100Cap2pf=high","MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_C100Cap2pf=low",STRONG
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_Bad_Gates,FIC_ET_R_f_tn_2,-0.0,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, FIC_ET_Bad_Gates=high, FIC_ET_R_f_tn_2=high","ANODE_ET_Rc_an_ct2_OW_CR=high, FIC_ET_Bad_Gates=low, FIC_ET_R_f_tn_2=low",STRONG
