parameter_A,parameter_B,parameter_C,contrast_3way,fold_sign_reproducibility,high_yield_joint_condition,low_yield_joint_condition,confidence
MEASURE_ET_DC_RF_Vp_1_W,MEASURE_ET_lkg_50_at20V,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0003,2/5,"MEASURE_ET_DC_RF_Vp_1_W=high, MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","MEASURE_ET_DC_RF_Vp_1_W=low, MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",WEAK
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0003,2/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, TFRP_ET_Rc_TF_AB_2=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, TFRP_ET_Rc_TF_AB_2=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",WEAK
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_DC_RF_Vp_1_W,THIN_ET_TF_AB_1,-0.0002,2/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, MEASURE_ET_DC_RF_Vp_1_W=high, THIN_ET_TF_AB_1=high","MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, MEASURE_ET_DC_RF_Vp_1_W=low, THIN_ET_TF_AB_1=low",WEAK
ANODE_ET_Rc_an_ct2_OW_CR,TOPSIN_ET_C100Cap2pf,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0002,2/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, TOPSIN_ET_C100Cap2pf=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","ANODE_ET_Rc_an_ct2_OW_CR=high, TOPSIN_ET_C100Cap2pf=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",WEAK
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_0,-0.0002,2/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, FIC_ET_Bad_Gates=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","ANODE_ET_Rc_an_ct2_OW_CR=high, FIC_ET_Bad_Gates=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",WEAK
MEASURE_ET_DC_RF_Vp_1_W,TOPSIN_ET_C100Cap2pf,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0002,2/5,"MEASURE_ET_DC_RF_Vp_1_W=high, TOPSIN_ET_C100Cap2pf=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","MEASURE_ET_DC_RF_Vp_1_W=low, TOPSIN_ET_C100Cap2pf=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",WEAK
MEASURE_ET_DC_RF_Vp_1_W,TFRP_ET_Rc_TF_AB_2,THIN_ET_TF_AB_1,0.0002,2/5,"MEASURE_ET_DC_RF_Vp_1_W=high, TFRP_ET_Rc_TF_AB_2=low, THIN_ET_TF_AB_1=high","MEASURE_ET_DC_RF_Vp_1_W=low, TFRP_ET_Rc_TF_AB_2=high, THIN_ET_TF_AB_1=low",WEAK
FIC_ET_Bad_Gates,FIC_ET_Gate_res,MEASURE_ET_DC_RF_Vp_1_W,0.0002,2/5,"FIC_ET_Bad_Gates=high, FIC_ET_Gate_res=low, MEASURE_ET_DC_RF_Vp_1_W=high","FIC_ET_Bad_Gates=low, FIC_ET_Gate_res=high, MEASURE_ET_DC_RF_Vp_1_W=low",WEAK
FIC_ET_Bad_Gates,FIC_ET_R_f_tn_2,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,0.0002,2/5,"FIC_ET_Bad_Gates=high, FIC_ET_R_f_tn_2=high, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low","FIC_ET_Bad_Gates=low, FIC_ET_R_f_tn_2=low, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high",WEAK
FIC_ET_Bad_Gates,FIC_ET_Gate_res,TOPSIN_ET_DC_SMALL_Vbgs_0p01,-0.0002,2/5,"FIC_ET_Bad_Gates=high, FIC_ET_Gate_res=low, TOPSIN_ET_DC_SMALL_Vbgs_0p01=low","FIC_ET_Bad_Gates=low, FIC_ET_Gate_res=high, TOPSIN_ET_DC_SMALL_Vbgs_0p01=high",WEAK
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,THIN_ET_TF_AB_1,TOPSIN_ET_DC_RF_Vp_01,0.0001,2/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, THIN_ET_TF_AB_1=high, TOPSIN_ET_DC_RF_Vp_01=high","MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, THIN_ET_TF_AB_1=low, TOPSIN_ET_DC_RF_Vp_01=low",WEAK
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0001,2/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",WEAK
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF_Vp_1_W,TOPSIN_ET_DC_PIV_Drain_Lag_0,-0.0001,2/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF_Vp_1_W=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_RF_Vp_1_W=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",WEAK
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_R_f_tn_2,MEASURE_ET_DC_RF_Vp_1_W,0.0001,2/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, FIC_ET_R_f_tn_2=high, MEASURE_ET_DC_RF_Vp_1_W=high","ANODE_ET_Rc_an_ct2_OW_CR=high, FIC_ET_R_f_tn_2=low, MEASURE_ET_DC_RF_Vp_1_W=low",WEAK
TOPSIN_ET_C100Cap2pf,TOPSIN_ET_DC_PIV_Drain_Lag_0,TOPSIN_ET_DC_RF_Vp_01,-0.0001,2/5,"TOPSIN_ET_C100Cap2pf=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low, TOPSIN_ET_DC_RF_Vp_01=high","TOPSIN_ET_C100Cap2pf=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high, TOPSIN_ET_DC_RF_Vp_01=low",WEAK
FIC_ET_R_f_tn_2,MEASURE_ET_DC_RF_Vp_1_W,OHMIC_ET_Rsh_an_ct2,-0.0001,2/5,"FIC_ET_R_f_tn_2=high, MEASURE_ET_DC_RF_Vp_1_W=high, OHMIC_ET_Rsh_an_ct2=high","FIC_ET_R_f_tn_2=low, MEASURE_ET_DC_RF_Vp_1_W=low, OHMIC_ET_Rsh_an_ct2=low",WEAK
ANODE_ET_Rc_an_ct2_OW_CR,TOPSIN_ET_DC_PIV_Drain_Lag_0,TOPSIN_ET_DC_RF_Vp_01,-0.0001,2/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=low, TOPSIN_ET_DC_RF_Vp_01=high","ANODE_ET_Rc_an_ct2_OW_CR=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=high, TOPSIN_ET_DC_RF_Vp_01=low",WEAK
MEASURE_ET_DC_RF_Vp_1_W,TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0001,2/5,"MEASURE_ET_DC_RF_Vp_1_W=high, TFRP_ET_Rc_TF_AB_2=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","MEASURE_ET_DC_RF_Vp_1_W=low, TFRP_ET_Rc_TF_AB_2=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",WEAK
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_Bad_Gates,TOPSIN_ET_C100Cap1pf,-0.0001,2/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, FIC_ET_Bad_Gates=high, TOPSIN_ET_C100Cap1pf=high","ANODE_ET_Rc_an_ct2_OW_CR=high, FIC_ET_Bad_Gates=low, TOPSIN_ET_C100Cap1pf=low",WEAK
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF_Vp_1_W,TFRP_ET_Rc_TF_AB_2,0.0001,2/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF_Vp_1_W=high, TFRP_ET_Rc_TF_AB_2=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_RF_Vp_1_W=low, TFRP_ET_Rc_TF_AB_2=high",WEAK
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_R_f_tn_2,TOPSIN_ET_DC_RF_Vp_01,0.0001,2/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, FIC_ET_R_f_tn_2=high, TOPSIN_ET_DC_RF_Vp_01=high","ANODE_ET_Rc_an_ct2_OW_CR=high, FIC_ET_R_f_tn_2=low, TOPSIN_ET_DC_RF_Vp_01=low",WEAK
FIC_ET_Gate_res,FIC_ET_R_f_tn_2,MEASURE_ET_DC_RF_Vp_1_W,0.0001,2/5,"FIC_ET_Gate_res=low, FIC_ET_R_f_tn_2=high, MEASURE_ET_DC_RF_Vp_1_W=high","FIC_ET_Gate_res=high, FIC_ET_R_f_tn_2=low, MEASURE_ET_DC_RF_Vp_1_W=low",WEAK
FIC_ET_Gate_res,MEASURE_ET_DC_RF_Vp_1_W,TOPSIN_ET_DC_PIV_Drain_Lag_0,-0.0001,2/5,"FIC_ET_Gate_res=low, MEASURE_ET_DC_RF_Vp_1_W=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","FIC_ET_Gate_res=high, MEASURE_ET_DC_RF_Vp_1_W=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",WEAK
FIC_ET_Bad_Gates,MEASURE_ET_LT_SEC_Vbgd1_Vd7,Version_V2.0,0.0,2/5,"FIC_ET_Bad_Gates=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low, Version_V2.0=low","FIC_ET_Bad_Gates=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high, Version_V2.0=low",WEAK
MEASURE_ET_DC_RF_Vp_1_W,OHMIC_ET_Rsh_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_0,-0.0,2/5,"MEASURE_ET_DC_RF_Vp_1_W=high, OHMIC_ET_Rsh_an_ct2=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","MEASURE_ET_DC_RF_Vp_1_W=low, OHMIC_ET_Rsh_an_ct2=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",WEAK
FIC_ET_Bad_Gates,FIC_ET_R_f_tn_2,TOPSIN_ET_DC_SMALL_Vbgs_0p01,0.0,2/5,"FIC_ET_Bad_Gates=high, FIC_ET_R_f_tn_2=high, TOPSIN_ET_DC_SMALL_Vbgs_0p01=low","FIC_ET_Bad_Gates=low, FIC_ET_R_f_tn_2=low, TOPSIN_ET_DC_SMALL_Vbgs_0p01=high",WEAK
FIC_ET_Gate_res,MEASURE_ET_DC_RF_Vp_1_W,OHMIC_ET_Rsh_an_ct2,0.0,2/5,"FIC_ET_Gate_res=low, MEASURE_ET_DC_RF_Vp_1_W=high, OHMIC_ET_Rsh_an_ct2=high","FIC_ET_Gate_res=high, MEASURE_ET_DC_RF_Vp_1_W=low, OHMIC_ET_Rsh_an_ct2=low",WEAK
MEASURE_ET_DC_RF_Vp_1_W,OHMIC_ET_Rsh_an_ct2,TOPSIN_ET_DC_RF_Vp_01,-0.0008,1/5,"MEASURE_ET_DC_RF_Vp_1_W=high, OHMIC_ET_Rsh_an_ct2=high, TOPSIN_ET_DC_RF_Vp_01=high","MEASURE_ET_DC_RF_Vp_1_W=low, OHMIC_ET_Rsh_an_ct2=low, TOPSIN_ET_DC_RF_Vp_01=low",INCONCLUSIVE
MEASURE_ET_DC_RF_Vp_1_W,OHMIC_ET_Rsh_an_ct2,SIN_ET_DC_RF_Vp_1,-0.0008,1/5,"MEASURE_ET_DC_RF_Vp_1_W=high, OHMIC_ET_Rsh_an_ct2=high, SIN_ET_DC_RF_Vp_1=high","MEASURE_ET_DC_RF_Vp_1_W=low, OHMIC_ET_Rsh_an_ct2=low, SIN_ET_DC_RF_Vp_1=low",INCONCLUSIVE
FIC_ET_Bad_Gates,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_C100Cap2pf,-0.0005,1/5,"FIC_ET_Bad_Gates=high, TOPSIN_ET_C100Cap1pf=high, TOPSIN_ET_C100Cap2pf=high","FIC_ET_Bad_Gates=low, TOPSIN_ET_C100Cap1pf=low, TOPSIN_ET_C100Cap2pf=low",INCONCLUSIVE
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,TOPSIN_ET_C100Cap1pf,0.0005,1/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, TOPSIN_ET_C100Cap1pf=high","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, TOPSIN_ET_C100Cap1pf=low",INCONCLUSIVE
FIC_ET_Bad_Gates,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_LT_SEC_Vbgd1_Vd7,0.0004,1/5,"FIC_ET_Bad_Gates=high, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low","FIC_ET_Bad_Gates=low, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high",INCONCLUSIVE
Sort_Yield_target[%]_90,Technology_PHEMT_0.15um,VendorName_EPI_A,0.0003,1/5,"Sort_Yield_target[%]_90=high, Technology_PHEMT_0.15um=low, VendorName_EPI_A=low","Sort_Yield_target[%]_90=low, Technology_PHEMT_0.15um=high, VendorName_EPI_A=high",INCONCLUSIVE
Sort_Yield_target[%]_88,Sort_Yield_target[%]_90,Technology_PHEMT_0.15um,0.0003,1/5,"Sort_Yield_target[%]_88=low, Sort_Yield_target[%]_90=high, Technology_PHEMT_0.15um=low","Sort_Yield_target[%]_88=high, Sort_Yield_target[%]_90=low, Technology_PHEMT_0.15um=high",INCONCLUSIVE
Sort_Yield_target[%]_88,Sort_Yield_target[%]_90,VendorName_EPI_A,0.0003,1/5,"Sort_Yield_target[%]_88=low, Sort_Yield_target[%]_90=high, VendorName_EPI_A=low","Sort_Yield_target[%]_88=high, Sort_Yield_target[%]_90=low, VendorName_EPI_A=high",INCONCLUSIVE
FIC_ET_Bad_Gates,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_DC_RF_Vp_1_W,0.0002,1/5,"FIC_ET_Bad_Gates=high, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, MEASURE_ET_DC_RF_Vp_1_W=high","FIC_ET_Bad_Gates=low, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, MEASURE_ET_DC_RF_Vp_1_W=low",INCONCLUSIVE
FIC_ET_Bad_Gates,MEASURE_ET_DC_RF_Vp_1_W,TOPSIN_ET_C100Cap2pf,0.0002,1/5,"FIC_ET_Bad_Gates=high, MEASURE_ET_DC_RF_Vp_1_W=high, TOPSIN_ET_C100Cap2pf=high","FIC_ET_Bad_Gates=low, MEASURE_ET_DC_RF_Vp_1_W=low, TOPSIN_ET_C100Cap2pf=low",INCONCLUSIVE
