raw_csv_parameter_name,shap_importance,gain_importance,permutation_importance,shap_rank,gain_rank,permutation_rank,shap_percentile,gain_percentile,permutation_percentile,percentile_spread,method_agreement
MEASURE_ET_DC_RF_Vbgd1,7.621517533954958e-05,0.1170379966497421,-8.129516090291111e-06,1039,875,1242,27.157894736842103,38.66666666666667,12.912280701754387,25.754385964912284,moderate_agreement
MEASURE_ET_DC_RF_Vds_max_0p1,7.584228142545504e-05,0.0573494988493621,-1.2049640608075009e-05,1040,1010,1275,27.087719298245617,29.19298245614035,10.596491228070171,18.596491228070178,moderate_agreement
TOPSIN_ET_sh_f_hr_23,7.561634826451224e-05,0.0873942717444151,8.146226192998206e-06,1041,942,882,27.017543859649116,33.96491228070175,38.175438596491226,11.15789473684211,high_agreement
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm,7.546223108617735e-05,0.0483080793637782,2.505129203084211e-05,1042,1040,768,26.94736842105263,27.087719298245617,46.175438596491226,19.228070175438596,moderate_agreement
MEASURE_ET_RF_Modeling_Vp_01_W,7.545245650212035e-05,0.0739281997084617,-2.82813594098541e-05,1043,970,1361,26.877192982456144,31.999999999999996,4.561403508771933,27.43859649122806,moderate_agreement
MEASURE_ET_DC_RF2_MAG_35GHz,7.528893684866753e-05,0.0327623392222449,-2.0841446642799744e-06,1044,1090,1171,26.807017543859647,23.578947368421055,17.894736842105264,8.912280701754383,high_agreement
MEASURE_ET_DC_SMALL_Idss,7.403551472546007e-05,0.0550662497989833,-1.2070128430807792e-05,1045,1018,1277,26.736842105263158,28.631578947368418,10.456140350877197,18.17543859649122,moderate_agreement
CATHODE_ET_C_CAT_2,7.338464090274704e-05,0.1121099963784217,8.22200679465035e-06,1046,885,880,26.66666666666667,37.96491228070175,38.31578947368421,11.649122807017541,high_agreement
TOPSIN_ET_DC_SMALL_Vds_max_0p1,7.332819808101379e-05,0.0342229194939136,-4.015111129859749e-06,1047,1088,1199,26.596491228070175,23.71929824561404,15.929824561403505,10.66666666666667,high_agreement
MEASURE_ET_LT_SEC_Id_min_mA_mm_Vd3,7.321525798390823e-05,0.0861256369389593,1.9590448365278123e-05,1048,946,800,26.526315789473685,33.684210526315795,43.92982456140351,17.403508771929822,moderate_agreement
GATE2_CD_310nm_Gate_Leg_Length,7.280518106876142e-05,0.042578529799357,7.159552007449111e-06,1049,1058,896,26.456140350877188,25.824561403508774,37.192982456140356,11.368421052631582,high_agreement
TOPSIN_ET_C100C385pf,7.256503539093296e-05,0.0556119000539183,-1.056585359081319e-05,1050,1013,1267,26.385964912280702,28.982456140350877,11.157894736842099,17.824561403508778,moderate_agreement
TOPSIN_ET_Vg_gm_max,7.17699605023281e-05,0.0699232215993106,-1.8179484001726308e-05,1051,979,1322,26.315789473684216,31.36842105263158,7.298245614035093,24.070175438596486,moderate_agreement
MEASURE_ET_DC_RF_Gm_max,7.15758426943376e-05,0.0445543006062507,1.296037746629508e-05,1052,1053,838,26.245614035087716,26.17543859649123,41.26315789473685,15.08771929824562,moderate_agreement
MEASURE_ET_Ids_m2,7.074801307788378e-05,0.0630824994295835,8.25453941741272e-06,1053,997,878,26.17543859649123,30.105263157894736,38.45614035087719,12.280701754385962,high_agreement
