parameter_A,parameter_B,parameter_C,channels,n_channels
MEASURE_ET_DC_RF2_S11dB_26GHz,MEASURE_ET_DC_Stress_Id_max_Ig_after,SIN_ET_Probe_Number,2_shared_node_chaining,1
MEASURE_ET_DC_RF2_S11dB_26GHz,MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_C100,2_shared_node_chaining,1
MEASURE_ET_DC_RF2_S11dB_26GHz,MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_DC_RF_Imax,2_shared_node_chaining,1
MEASURE_ET_DC_RF2_S11dB_26GHz,MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_Rcat_cn_1,2_shared_node_chaining,1
MEASURE_ET_DC_RF2_S11dB_26GHz,MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_sh_f_hr_23,2_shared_node_chaining,1
MEASURE_ET_DC_RF2_S11dB_26GHz,MEASURE_ET_DC_Stress_Id_max_Ig_after,TOPSIN_ET_Cap3pf_0,2_shared_node_chaining,1
MEASURE_ET_DC_RF2_S11dB_26GHz,MEASURE_ET_DC_Stress_Id_max_Ig_after,TOPSIN_ET_CapFICBRGM,2_shared_node_chaining,1
MEASURE_ET_DC_RF_Imax_W,MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,MEASURE_ET_DC_Stress_Id_max_Ig_after,2_shared_node_chaining,1
MEASURE_ET_DC_RF_Imax_W,MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_DC_Stress_Vp_after,2_shared_node_chaining,1
MEASURE_ET_DC_RF_Imax_W,MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_Rcat_cn_3,2_shared_node_chaining,1
MEASURE_ET_DC_RF_Imax_W,MEASURE_ET_DC_Stress_Id_max_Ig_after,SIN_ET_Probe_Number,2_shared_node_chaining,1
MEASURE_ET_DC_RF_Imax_W,MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_C100,2_shared_node_chaining,1
MEASURE_ET_DC_RF_Imax_W,MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_DC_RF_Imax,2_shared_node_chaining,1
MEASURE_ET_DC_RF_Imax_W,MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_Rcat_cn_1,2_shared_node_chaining,1
MEASURE_ET_DC_RF_Imax_W,MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_sh_f_hr_23,2_shared_node_chaining,1
MEASURE_ET_DC_RF_Imax_W,MEASURE_ET_DC_Stress_Id_max_Ig_after,TOPSIN_ET_Cap3pf_0,2_shared_node_chaining,1
MEASURE_ET_DC_RF_Imax_W,MEASURE_ET_DC_Stress_Id_max_Ig_after,TOPSIN_ET_CapFICBRGM,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,MEASURE_ET_DC_SMALL_Imax,MEASURE_ET_DC_Stress_Id_max_Ig_after,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,MEASURE_ET_DC_Stress_Id_max_Ig_after,SIN_ET_Probe_Number,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_Rcat_cn_1,2_shared_node_chaining,1
MEASURE_ET_DC_SMALL_Imax,MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_DC_Stress_Vp_after,2_shared_node_chaining,1
MEASURE_ET_DC_SMALL_Imax,MEASURE_ET_DC_Stress_Id_max_Ig_after,TOPSIN_ET_CapFICBRGM,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_DC_Stress_Vp_after,MEASURE_ET_Rc_an_ct2,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_DC_Stress_Vp_after,THIN_ET_C100,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_DC_Stress_Vp_after,TOPSIN_ET_CapFICBRGM,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_Rc_an_ct2,THIN_ET_DC_RF_Imax,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_Rc_an_ct2,THIN_ET_sh_f_hr_23,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_Rc_an_ct2,TOPSIN_ET_CapFICBRGM,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_Rcat_cn_3,SIN_ET_Probe_Number,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_Rcat_cn_3,THIN_ET_C100,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_Rcat_cn_3,THIN_ET_DC_RF_Imax,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_Rcat_cn_3,THIN_ET_Rcat_cn_1,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_Rcat_cn_3,THIN_ET_sh_f_hr_23,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,SIN_ET_Probe_Number,THIN_ET_C100,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,SIN_ET_Probe_Number,THIN_ET_DC_RF_Imax,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,SIN_ET_Probe_Number,THIN_ET_Rcat_cn_1,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,SIN_ET_Probe_Number,THIN_ET_sh_f_hr_23,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,SIN_ET_Probe_Number,TOPSIN_ET_Cap3pf_0,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,SIN_ET_Probe_Number,TOPSIN_ET_CapFICBRGM,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_C100,THIN_ET_DC_RF_Imax,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_C100,THIN_ET_Rcat_cn_1,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_C100,THIN_ET_sh_f_hr_23,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_C100,TOPSIN_ET_Cap3pf_0,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_C100,TOPSIN_ET_CapFICBRGM,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_DC_RF_Imax,THIN_ET_Rcat_cn_1,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_DC_RF_Imax,THIN_ET_sh_f_hr_23,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_DC_RF_Imax,TOPSIN_ET_Cap3pf_0,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_DC_RF_Imax,TOPSIN_ET_CapFICBRGM,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_Rcat_cn_1,THIN_ET_sh_f_hr_23,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_Rcat_cn_1,TOPSIN_ET_CapFICBRGM,2_shared_node_chaining,1
MEASURE_ET_DC_Stress_Id_max_Ig_after,THIN_ET_sh_f_hr_23,TOPSIN_ET_CapFICBRGM,2_shared_node_chaining,1
FIC_ET_DC_RF_Vp_1,MEASURE_ET_DC_RF_CF_S22_Ph_L1018,MEASURE_ET_Load_Pull_Pout_W_mm_last,2_shared_node_chaining,1
MEASURE_ET_C_CAT_2,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,TOPSIN_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_RF_K_W,MaskSetSupplyChipsCount,OHMIC_ET_R114,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,FIC_ET_Bad_Gates,FIC_ET_sh_f_tn_23,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,FIC_ET_Bad_Gates,MEASURE_ET_C300M1B_0,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,FIC_ET_Bad_Gates,MEASURE_ET_DC_RF_CF_S11_Ph_L1002,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,FIC_ET_Bad_Gates,MEASURE_ET_DC_Stress_Id_stress_before,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,FIC_ET_Bad_Gates,MEASURE_ET_Load_Pull_Gss,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,FIC_ET_Bad_Gates,MEASURE_ET_RF_Modeling_S22dB_10GHz,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,FIC_ET_Bad_Gates,MEASURE_ET_RGAN2,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,FIC_ET_Bad_Gates,MEASURE_ET_lkg_C300pf,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,FIC_ET_Bad_Gates,MEASURE_ET_lkg_Cap_USV,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,FIC_ET_sh_f_tn_23,MEASURE_ET_C300M1B_0,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,FIC_ET_sh_f_tn_23,MEASURE_ET_DC_RF_CF_S11_Ph_L1002,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,FIC_ET_sh_f_tn_23,MEASURE_ET_DC_Stress_Id_stress_before,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,FIC_ET_sh_f_tn_23,MEASURE_ET_Load_Pull_Gss,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,FIC_ET_sh_f_tn_23,MEASURE_ET_RF_Modeling_S22dB_10GHz,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,FIC_ET_sh_f_tn_23,MEASURE_ET_RGAN2,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,FIC_ET_sh_f_tn_23,THIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,FIC_ET_sh_f_tn_23,THIN_ET_Rc_cat_ct2,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_C300M1B_0,MEASURE_ET_DC_RF_CF_S11_Ph_L1002,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_C300M1B_0,MEASURE_ET_DC_Stress_Id_stress_before,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_C300M1B_0,MEASURE_ET_Load_Pull_Gss,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_C300M1B_0,MEASURE_ET_RF_Modeling_S22dB_10GHz,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_C300M1B_0,MEASURE_ET_RGAN2,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_C300M1B_0,MEASURE_ET_lkg_50,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_C300M1B_0,MEASURE_ET_lkg_C300pf,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_C300M1B_0,MEASURE_ET_lkg_Cap_USV,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_DC_RF_CF_S11_Ph_L1002,MEASURE_ET_DC_Stress_Id_stress_before,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_DC_RF_CF_S11_Ph_L1002,MEASURE_ET_Load_Pull_Gss,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_DC_RF_CF_S11_Ph_L1002,MEASURE_ET_RF_Modeling_S22dB_10GHz,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_DC_RF_CF_S11_Ph_L1002,MEASURE_ET_RGAN2,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_DC_RF_CF_S11_Ph_L1002,MEASURE_ET_lkg_C300pf,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_DC_RF_CF_S11_Ph_L1002,THIN_ET_lkg_5,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_Load_Pull_Gss,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_RF_Modeling_S22dB_10GHz,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_RGAN2,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_DC_Stress_Id_stress_before,THIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_DC_Stress_Id_stress_before,THIN_ET_Rc_cat_ct2,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_Load_Pull_Gss,MEASURE_ET_RF_Modeling_S22dB_10GHz,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_Load_Pull_Gss,MEASURE_ET_RGAN2,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_Load_Pull_Gss,MEASURE_ET_lkg_50,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_RF_Modeling_S22dB_10GHz,MEASURE_ET_RGAN2,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_RF_Modeling_S22dB_10GHz,MEASURE_ET_lkg_Cap_USV,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_RGAN2,THIN_ET_Rc_cat_ct2,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_lkg_50,MEASURE_ET_lkg_Cap_USV,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,THIN_ET_Rc_cat_ct2,THIN_ET_lkg_5,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,MEASURE_ET_DC_Diode_Rs_9p5,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,SIN_ET_DC_RF_Vg_gm_max,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,1
ANODE_ET_Ran_con_1,TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_DC_Diode_Rs_9p5,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_DC_Diode_Rs_9p5,SIN_ET_DC_RF_Vg_gm_max,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_DC_Diode_Rs_9p5,TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,1
SIN_ET_DC_RF_Vg_gm_max,TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,1
CATHODE_ET_Rcat_cn_2,THIN_ET_DC_RF_Id_gm_max,TOPSIN_ET_DC_RF_Imax,2_shared_node_chaining,1
FIC_ET_Gm_max,MEASURE_ET_C_CAT_2,TOPSIN_ET_lkg_SY8_80,2_shared_node_chaining,1
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,TOPSIN_ET_DC_RF_Imax,TOPSIN_ET_lkg_C450pf,2_shared_node_chaining,1
MEASURE_ET_HIRS,TOPSIN_ET_DC_RF_Imax,TOPSIN_ET_lkg_C450pf,2_shared_node_chaining,1
MEASURE_ET_HIRS,TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_lkg_C450pf,2_shared_node_chaining,1
MEASURE_ET_Rc_cat_ct2_OW_ST,SIN_ET_DC_RF_Vg_gm_max,TOPSIN_ET_lkg_C450pf,2_shared_node_chaining,1
SIN_ET_DC_RF_Vg_gm_max,TOPSIN_ET_DC_RF_Imax,TOPSIN_ET_lkg_C450pf,2_shared_node_chaining,1
SIN_ET_DC_RF_Vg_gm_max,TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_lkg_C450pf,2_shared_node_chaining,1
TOPSIN_ET_DC_RF_Imax,TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_lkg_C450pf,2_shared_node_chaining,1
FIC_ET_lkg_SY07_10,MEASURE_ET_DC_SEC_Vp_1mA,TOPSIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,1
MEASURE_ET_HIRS,TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_lkg_C300pf,2_shared_node_chaining,1
FIC_ET_lkg_5,MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,OHMIC_ET_lkg_5,2_shared_node_chaining,1
FIC_ET_lkg_5,MEASURE_ET_lkg_100,OHMIC_ET_lkg_5,2_shared_node_chaining,1
FIC_ET_lkg_5,MEASURE_ET_lkg_Cap_USV,OHMIC_ET_lkg_5,2_shared_node_chaining,1
FIC_ET_lkg_5,OHMIC_ET_lkg_5,THIN_ET_C20_0,2_shared_node_chaining,1
FIC_ET_lkg_SY07_10,MEASURE_ET_lkg_Cap_USV,OHMIC_ET_lkg_5,2_shared_node_chaining,1
FIC_ET_lkg_SY07_10,OHMIC_ET_lkg_5,THIN_ET_C20_0,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_DC_SEC_Vgs_0p1V,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_DC_SMALL_Vbgs_0p01,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_lkg_Cap_USV,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,MEASURE_ET_DC_SMALL_Vbgs_0p01,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,MEASURE_ET_HIRS,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,MEASURE_ET_lkg_10,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,MEASURE_ET_lkg_50,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,MEASURE_ET_lkg_70,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,MEASURE_ET_lkg_C300,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,MEASURE_ET_lkg_CapFICM1,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,MEASURE_ET_lkg_CapPARCAP,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,MEASURE_ET_lkg_Cap_USV,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,MEASURE_ET_lkg_PAD_10,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,MEASURE_ET_lkg_USV_Cap,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,OHMIC_ET_lkg_5,SIN_GATE_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,OHMIC_ET_lkg_5,SIN_GATE_ET_lkg_SY8_80,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,OHMIC_ET_lkg_5,THIN_ET_C20_0,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,OHMIC_ET_lkg_5,THIN_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,OHMIC_ET_lkg_5,THIN_ET_lkg_PAD_10,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_C450pf,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap2,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap_USV,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_Vgs_0p1V,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,MEASURE_ET_DC_SMALL_Vbgs_0p01,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,OHMIC_ET_lkg_5,SIN_ET_DC_RF_Vbin_gd,2_shared_node_chaining,1
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,1
MEASURE_ET_DC_SMALL_Vbgs_0p01,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SMALL_Vbgs_0p01,MEASURE_ET_lkg_10,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SMALL_Vbgs_0p01,MEASURE_ET_lkg_C300,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SMALL_Vbgs_0p01,MEASURE_ET_lkg_C300pf,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SMALL_Vbgs_0p01,MEASURE_ET_lkg_CapFICM1,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SMALL_Vbgs_0p01,MEASURE_ET_lkg_CapPARCAP,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SMALL_Vbgs_0p01,MEASURE_ET_lkg_Cap_USV,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_DC_SMALL_Vbgs_0p01,OHMIC_ET_lkg_5,SIN_ET_DC_RF_Vbin_gd,2_shared_node_chaining,1
MEASURE_ET_DC_SMALL_Vbgs_0p01,OHMIC_ET_lkg_5,SIN_ET_lkg_SY8_80,2_shared_node_chaining,1
MEASURE_ET_DC_SMALL_Vbgs_0p01,OHMIC_ET_lkg_5,THIN_ET_C20_0,2_shared_node_chaining,1
MEASURE_ET_DC_SMALL_Vbgs_0p01,OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,1
MEASURE_ET_DC_SMALL_Vbgs_0p01,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_C450pf,2_shared_node_chaining,1
MEASURE_ET_DC_SMALL_Vbgs_0p01,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_SY07_10,2_shared_node_chaining,1
MEASURE_ET_HIRS,OHMIC_ET_lkg_5,SIN_ET_DC_RF_Vbin_gd,2_shared_node_chaining,1
MEASURE_ET_HIRS,OHMIC_ET_lkg_5,TOPSIN_ET_DC_RF_Vbgs_0p1,2_shared_node_chaining,1
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_lkg_50,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_lkg_70,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_lkg_Cap_USV,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,OHMIC_ET_lkg_5,THIN_ET_C20_0,2_shared_node_chaining,1
MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,MEASURE_ET_lkg_70,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_C450pf,2_shared_node_chaining,1
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,OHMIC_ET_lkg_5,THIN_ET_C20_0,2_shared_node_chaining,1
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,MEASURE_ET_lkg_100,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,MEASURE_ET_lkg_CapPARCAP,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,MEASURE_ET_lkg_Cap_USV,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,OHMIC_ET_lkg_5,THIN_ET_C20_0,2_shared_node_chaining,1
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap2,2_shared_node_chaining,1
MEASURE_ET_lkg_10,OHMIC_ET_lkg_5,THIN_ET_C20_0,2_shared_node_chaining,1
MEASURE_ET_lkg_100,MEASURE_ET_lkg_C300,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_lkg_100,MEASURE_ET_lkg_CapPARCAP,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_lkg_100,MEASURE_ET_lkg_Cap_USV,OHMIC_ET_lkg_5,2_shared_node_chaining,1
MEASURE_ET_lkg_100,OHMIC_ET_lkg_5,THIN_ET_C20_0,2_shared_node_chaining,1
MEASURE_ET_lkg_50,MEASURE_ET_lkg_70,OHMIC_ET_lkg_5,2_shared_node_chaining,1
