parameter_A,parameter_B,mlp_h_statistic,mlp_rms_nonadditivity,fold_reproducibility,high_yield_region,low_yield_region,confidence
MEASURE_ET_LT_SEC_Vbgd1_Vd7,TOPSIN_ET_C100Cap2pf,0.009,0.00181,3/5,"MEASURE_ET_LT_SEC_Vbgd1_Vd7~22.21, TOPSIN_ET_C100Cap2pf~0.9812","MEASURE_ET_LT_SEC_Vbgd1_Vd7~30.97, TOPSIN_ET_C100Cap2pf~0.6201",MODERATE
MEASURE_ET_DC_RF_Vp_1_W,MEASURE_ET_LT_SEC_Vbgd1_Vd7,0.0088,0.00148,3/5,"MEASURE_ET_DC_RF_Vp_1_W~-0.8363, MEASURE_ET_LT_SEC_Vbgd1_Vd7~22.21","MEASURE_ET_DC_RF_Vp_1_W~-1.234, MEASURE_ET_LT_SEC_Vbgd1_Vd7~30.97",MODERATE
MEASURE_ET_LT_SEC_Vbgd1_Vd7,Version_V2.0,0.0088,0.0052,3/5,"MEASURE_ET_LT_SEC_Vbgd1_Vd7~22.21, Version_V2_0~0","MEASURE_ET_LT_SEC_Vbgd1_Vd7~30.97, Version_V2_0~1",MODERATE
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_LT_SEC_Vbgd1_Vd7,0.0085,0.00138,3/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002~13.52, MEASURE_ET_LT_SEC_Vbgd1_Vd7~22.21","MEASURE_ET_DC_RF_CF_S12_Mag_L1002~16.82, MEASURE_ET_LT_SEC_Vbgd1_Vd7~30.97",MODERATE
FIC_ET_R_f_tn_2,TOPSIN_ET_DC_RF_Vp_01,0.0084,0.0009,3/5,"FIC_ET_R_f_tn_2~91.23, TOPSIN_ET_DC_RF_Vp_01~-0.829","FIC_ET_R_f_tn_2~82.97, TOPSIN_ET_DC_RF_Vp_01~-1.239",MODERATE
VendorName_EPI_B,Version_V2.0,0.0081,0.01169,3/5,"VendorName_EPI_B~1, Version_V2_0~0","VendorName_EPI_B~0, Version_V2_0~1",MODERATE
OHMIC_ET_Rsh_an_ct2,SIN_ET_DC_RF_Vp_1,0.008,0.00203,3/5,"OHMIC_ET_Rsh_an_ct2~134.1, SIN_ET_DC_RF_Vp_1~-0.8096","OHMIC_ET_Rsh_an_ct2~107.1, SIN_ET_DC_RF_Vp_1~-1.224",MODERATE
FIC_ET_Bad_Gates,TOPSIN_ET_DC_SMALL_Vbgs_0p01,0.0077,0.00231,3/5,"FIC_ET_Bad_Gates~17.97, TOPSIN_ET_DC_SMALL_Vbgs_0p01~22.38","FIC_ET_Bad_Gates~12.62, TOPSIN_ET_DC_SMALL_Vbgs_0p01~34.33",MODERATE
THIN_ET_TF_AB_1,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0259,0.00146,2/5,"THIN_ET_TF_AB_1~8.011, TOPSIN_ET_DC_PIV_Drain_Lag_0~3.685","THIN_ET_TF_AB_1~0.8094, TOPSIN_ET_DC_PIV_Drain_Lag_0~10.11",WEAK
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0253,0.00154,2/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002~13.52, TOPSIN_ET_DC_PIV_Drain_Lag_0~3.685","MEASURE_ET_DC_RF_CF_S12_Mag_L1002~16.82, TOPSIN_ET_DC_PIV_Drain_Lag_0~10.11",WEAK
FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.018,0.00168,2/5,"FIC_ET_Bad_Gates~17.97, TOPSIN_ET_DC_PIV_Drain_Lag_0~3.685","FIC_ET_Bad_Gates~12.62, TOPSIN_ET_DC_PIV_Drain_Lag_0~10.11",WEAK
FIC_ET_Bad_Gates,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,0.0164,0.00156,2/5,"FIC_ET_Bad_Gates~17.97, MEASURE_ET_DC_RF_CF_S12_Mag_L1002~13.52","FIC_ET_Bad_Gates~12.62, MEASURE_ET_DC_RF_CF_S12_Mag_L1002~16.82",WEAK
FIC_ET_Bad_Gates,OHMIC_ET_Rsh_an_ct2,0.0138,0.00206,2/5,"FIC_ET_Bad_Gates~17.97, OHMIC_ET_Rsh_an_ct2~134.1","FIC_ET_Bad_Gates~12.62, OHMIC_ET_Rsh_an_ct2~107.1",WEAK
FIC_ET_Bad_Gates,TOPSIN_ET_C100Cap1pf,0.013,0.00263,2/5,"FIC_ET_Bad_Gates~17.97, TOPSIN_ET_C100Cap1pf~0.9908","FIC_ET_Bad_Gates~12.62, TOPSIN_ET_C100Cap1pf~0.596",WEAK
FIC_ET_Bad_Gates,TFRP_ET_Rc_TF_AB_2,0.0112,0.0016,2/5,"FIC_ET_Bad_Gates~17.97, TFRP_ET_Rc_TF_AB_2~0.1388","FIC_ET_Bad_Gates~12.62, TFRP_ET_Rc_TF_AB_2~0.2615",WEAK
