unit,unit_type,cluster_size,oof_importance,cumulative_fraction
MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,numeric_cluster,1,0.005538115652843763,0.7323177885646287
MEASURE_ET_DC_SEC_X_Ids_max_norm_SD3p5,numeric_cluster,1,0.005491662251537274,0.7337193956405231
SIN_GATE_ET_sh_GA144,numeric_cluster,1,0.005278275778461358,0.7350665412479469
FIC_ET_DC_RF_Vbgd_0p1,numeric_cluster,1,0.005269699229680733,0.736411497909491
FIC_ET_DC_RF_Vg_max_Vd,numeric_cluster,1,0.005258361770822283,0.7377535609730986
THIN_ET_DC_RF_Vds_max_0p1mA,numeric_cluster,1,0.005223955677906196,0.7390868427568176
STAGE_RANGE_DC_PIV_Gate_Lag_0,engineered,1,0.00519726103711648,0.7404133114126153
MEASURE_ET_DC_Stress_Id_max_Ig_after,numeric_cluster,1,0.005189732303799396,0.7417378585507732
SIN_ET_DC_RF_Vg_max_Vd_0p1,numeric_cluster,1,0.0051441363941839985,0.7430507684930108
MEASURE_ET_DC_RF_CF_S22_Mag_L2180,numeric_cluster,1,0.00510665873102924,0.7443541132152003
STAGE_DELTA_Rc_an_ct2_OW_CR_ANODE_minus_THIN,engineered,1,0.005077330659303973,0.7456499726932196
MEASURE_ET_DC_Diode_S11_dB_forw_9p5,numeric_cluster,1,0.005073286708494674,0.7469448000556773
TOPSIN_ET_DC_RF_Vds_max,numeric_cluster,1,0.005054891979627656,0.7482349326315736
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg1_FPSD3p2,numeric_cluster,1,0.0049891903438785985,0.7495082965364653
MEASURE_ET_DC_RF_Vbgs_0p01,numeric_cluster,1,0.004899667418870123,0.7507588119923083
MEASURE_ET_DC_RF2_S12dB_26GHz,numeric_cluster,1,0.004864532832489722,0.7520003602388396
SIN_GATE_ET_RGAN2,numeric_cluster,1,0.004830635268510621,0.7532332569945558
MEASURE_ET_DC_SEC_X_Vg_at_I3_pos,numeric_cluster,1,0.004823618191901437,0.7544643628199894
SIN_ET_DC_RF_n_gd,numeric_cluster,1,0.004791929136188736,0.7556873808201563
MEASURE_ET_RF_Modeling_S12ang_10GHz,numeric_cluster,1,0.004786572793271498,0.7569090317500646
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,numeric_cluster,1,0.004785509244099051,0.7581304112361044
MEASURE_ET_DC_Diode_S11_dB_forw,numeric_cluster,1,0.004737571567227558,0.759339555849709
MEASURE_ET_RF_Modeling_Lg,numeric_cluster,1,0.004634093013462728,0.7605222901950711
MEASURE_ET_LT_SEC_Vd_Id_min_Vd7,numeric_cluster,1,0.004630252022816009,0.7617040442252897
STAGE_DELTA_DC_PIV_Drain_Lag_0_FIC_minus_TOPSIN,engineered,1,0.004624690482754918,0.7628843788138991
MEASURE_ET_RF_Modeling_MAG_19G_Before,numeric_cluster,1,0.004589079228620755,0.7640556245358796
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_pos_FPSD3p2,numeric_cluster,1,0.004571139845904166,0.7652222916868189
THIN_ET_C_AN_2,numeric_cluster,1,0.004565808105698853,0.766387598046716
MEASURE_ET_DC_SEC_Vbin_gs,numeric_cluster,1,0.004526053748926706,0.7675427581184407
MEASURE_ET_Load_Pull_GL_set,numeric_cluster,1,0.004510374568551584,0.76869391647827
TOPSIN_ET_DC_SMALL_Vt_gs,numeric_cluster,1,0.004487012684829712,0.7698391123116307
MEASURE_ET_Probe_Number,numeric_cluster,1,0.00433103655940396,0.7709444992071774
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,numeric_cluster,1,0.004209758628776511,0.7720189329963729
MEASURE_ET_DC_RF_CF_S21_Mag_L1018,numeric_cluster,1,0.004200858381372813,0.7730910952238503
MEASURE_ET_DC_RF_CF_S11_Ph_L2180,numeric_cluster,1,0.004184754955730957,0.7741591474616212
MEASURE_ET_DC_RF_Max_S11_Ph_L2180,numeric_cluster,1,0.004182895816007697,0.7752267252012763
MEASURE_ET_DC_PIV_Ids0_QP1,numeric_cluster,1,0.00415319681605328,0.7762867230267676
OHMIC_ET_OHMC,numeric_cluster,1,0.004124491260825631,0.7773393944895873
FIC_ET_DC_RF_Vbin_gs,numeric_cluster,1,0.004120676639082904,0.7783910923672553
MEASURE_ET_DC_SEC_S_Vg_at_I2_neg_SD3p5,numeric_cluster,1,0.004109246503523849,0.779439872993617
MEASURE_ET_DC_RF_Vg_max_Vd_0p1,numeric_cluster,1,0.004099203086192048,0.7804860902932198
STAGE_STD_DC_RF_Vbgs_0p1,engineered,1,0.0040617081062524745,0.7815227379531059
THIN_ET_R_4000_HOR,numeric_cluster,1,0.004033741891836917,0.7825522479482531
TOPSIN_ET_DC_PIV_Ids1_QP1,numeric_cluster,1,0.0040334956974433876,0.7835816951085448
THIN_ET_DC_RF_Vg_optt1,numeric_cluster,1,0.00399980238684137,0.7846025429084994
MEASURE_ET_DC_RF_S11ang_26GHz,numeric_cluster,1,0.003994033025986572,0.7856219182258747
MEASURE_ET_DC_Big_S21ang_10GHz,numeric_cluster,1,0.003986286537598338,0.7866393164491678
MEASURE_ET_DC_RF_Id_Vbon_min,numeric_cluster,1,0.003943732013507398,0.7876458537128198
MEASURE_ET_Load_Pull_Gain_comp_Last,numeric_cluster,1,0.003932719525995609,0.788649580319204
CATHODE_ET_Rc_cat_ct2,numeric_cluster,2,0.003930178264788912,0.7896526583333174
TOPSIN_ET_sh_f_hr_23,numeric_cluster,1,0.003901862403454098,0.7906485094442113
MEASURE_ET_DC_RF_CF_S11_Ph_L1018,numeric_cluster,1,0.003887592912072039,0.7916407186304611
MEASURE_ET_DC_RF_S12dB_26GHz_W,numeric_cluster,1,0.0038221403589264206,0.792616222717704
MEASURE_ET_LT_SEC_Vbgd1_Vd7,numeric_cluster,1,0.0037954871922165115,0.7935849242622297
FIC_ET_G_per_2p75K,numeric_cluster,1,0.003791489886609339,0.7945526055961948
MEASURE_ET_DC_RD_Vg_Vbon_min,numeric_cluster,1,0.003783458449729605,0.7955182371102247
MEASURE_ET_DC_RF_Min_S21_Ph_L1002,numeric_cluster,1,0.0037433302087178837,0.7964736269116423
MEASURE_ET_DC_RF_S11dB_26GHz,numeric_cluster,1,0.0037307646100093452,0.7974258096636718
MEASURE_ET_DC_RF_Vboff_ON,numeric_cluster,1,0.0037144243295235435,0.7983738219748217
MEASURE_ET_DC_SEC_S_Vg_at_I1_neg_FPSD3p2,numeric_cluster,1,0.003706503573143803,0.7993198127144182
TOPSIN_ET_DC_SMALL_Vdg_max,numeric_cluster,1,0.003674911957958331,0.8002577404979634
MEASURE_ET_DC_RF_Max_S11_Ph_L1018,numeric_cluster,1,0.003606865496978915,0.801178301153519
THIN_ET_Vbpin,numeric_cluster,1,0.0035671744396027607,0.8020887316764624
FIC_ET_sh_f_tn_23,numeric_cluster,1,0.0035310314072886846,0.8029899376099255
MEASURE_ET_DC_RF_S11dB_10GHz,numeric_cluster,1,0.0035264144414350654,0.8038899651803152
ANODE_ET_Ran_con_2_OW_CR,numeric_cluster,1,0.0035092916342521555,0.804785622589794
MEASURE_ET_R_f_tn_1,numeric_cluster,1,0.003472834401430426,0.8056719752181064
SIN_ET_Probe_Number,numeric_cluster,1,0.003379843099630789,0.8065345941824336
MEASURE_ET_DC_RD_MSG_35GHz,numeric_cluster,1,0.003366978405678215,0.8073939297609208
MEASURE_ET_DC_RF_S12ang_10GHz,numeric_cluster,1,0.003363015594790031,0.8082522539327472
STAGE_RANGE_sh_f_tn_23,engineered,1,0.0033305751186635665,0.8091022984983629
MEASURE_ET_DC_RF_Vboff,numeric_cluster,1,0.003313630572128437,0.8099480183995632
MEASURE_ET_DC_SEC_X_Vg_at_I2_neg_FPSD3p2,numeric_cluster,1,0.003283795473133752,0.8107861236507822
MEASURE_ET_i5021_3,numeric_cluster,1,0.0032266918722911376,0.8116096546606631
ANODE_ET_Probe_Number,numeric_cluster,1,0.003224209566636541,0.8124325521251784
MEASURE_ET_DC_RF_Max_S11_Mag_L2180,numeric_cluster,1,0.0032042479595652804,0.8132503548973334
THIN_ET_i5021_2,numeric_cluster,1,0.0031616846281946756,0.8140572944620132
THIN_ET_DC_RF_Vbgs_0p01,numeric_cluster,1,0.0031459059798482625,0.8148602069281284
MEASURE_ET_DC_RF_CF_S22_Ph_L2180,numeric_cluster,1,0.0031390662161614397,0.8156613737185736
TOPSIN_ET_Probe_Number,numeric_cluster,1,0.0031330538020757593,0.8164610059932856
MEASURE_ET_RF_Modeling_Cgd_err,numeric_cluster,1,0.0031226546236113257,0.8172579841422609
MEASURE_ET_DC_SEC_S_Ids_max_FPSD3p2,numeric_cluster,1,0.003108850736314409,0.8180514392001895
MEASURE_ET_DC_RF_S11ang_10GHz,numeric_cluster,1,0.0030971309913228407,0.818841903091372
THIN_ET_C20_0,numeric_cluster,1,0.003080759765005761,0.8196281886435386
STAGE_STD_DC_PIV_Drain_Lag_0,engineered,1,0.003076330034379919,0.8204133436196601
MEASURE_ET_RF_Modeling_Delta_S21_19G,numeric_cluster,1,0.0030633374279200928,0.8211951825635287
THIN_ET_DC_RF_Vbgd_0p01,numeric_cluster,1,0.003028048452197198,0.8219680148941337
MEASURE_ET_RF_Modeling_Cds,numeric_cluster,1,0.00300699885189504,0.822735474849786
MEASURE_ET_LT_SEC_Vbgd1_Vd3,numeric_cluster,1,0.002995061087779878,0.8234998879948576
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm_FPSD3p2,numeric_cluster,1,0.0029857114745608935,0.8242619148890192
MEASURE_ET_DC_RF_Vbon_min,numeric_cluster,1,0.0029766907210303493,0.8250216394653399
FIC_ET_DC_RF_Vbgs1,numeric_cluster,1,0.0029737040928244246,0.8257806017807939
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_neg_SD3p5,numeric_cluster,1,0.002962056904312786,0.8265365914476976
STAGE_DELTA_Rc_TF_AB_2_TFRP_minus_THIN,engineered,1,0.0029506847079315062,0.8272896786507957
MEASURE_ET_C385pf,numeric_cluster,1,0.002949099778888375,0.828042361341078
OHMIC_ET_sh_GA142,numeric_cluster,1,0.00291130812168608,0.8287853986723198
FIN_FIN_Alignment_FIN_to_ohmic_alignment,numeric_cluster,1,0.0029074639900414255,0.8295274548867583
THIN_ET_Ran_con_1_OW_CR,numeric_cluster,1,0.002899810349815055,0.8302675577042458
STAGE_RANGE_TF_AB_1,engineered,1,0.0028702914680831704,0.8310001265781634
MEASURE_ET_DC_Big_Vg_optt1,numeric_cluster,1,0.0028500289229149234,0.8317275239529277
SIN_GATE_ET_Ran_con_2,numeric_cluster,1,0.0027911464427076323,0.8324398930726531
MEASURE_ET_DC_RD_S11ang_18GHz,numeric_cluster,1,0.002789438690664169,0.8331518263321163
STAGE_STD_sh_GA142,engineered,1,0.0027868982511712894,0.8338631112090306
TOPSIN_ET_DC_SMALL_Vds_max,numeric_cluster,1,0.002738360655496435,0.8345620080994975
THIN_ET_sh_f_hr_23,numeric_cluster,1,0.002724732721233399,0.8352574268064532
TOPSIN_ET_HIRS,numeric_cluster,1,0.002692685909570502,0.8359446663800375
MEASURE_ET_DC_SEC_n_gs,numeric_cluster,1,0.0026735485163274742,0.8366270216208724
MEASURE_ET_DC_Diode_S11_dB_rev,numeric_cluster,1,0.002627833523649539,0.837297709272865
TOPSIN_ET_Load_Pull_Id_ord,numeric_cluster,1,0.002627028342691673,0.8379681914229027
STAGE_RANGE_R_f_tn_1,engineered,1,0.0026170725086820863,0.8386361325995966
MEASURE_ET_DC_RF_CF_S22_Ph_L1018,numeric_cluster,1,0.0026130251460505863,0.8393030407899481
MEASURE_ET_DC_SEC_X_Bin_SD3p5,numeric_cluster,1,0.002586776236382894,0.8399632496139074
MEASURE_ET_DC_SEC_Ids_max_ON,numeric_cluster,1,0.002575424124580968,0.8406205611001394
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_pos_SD3p5,numeric_cluster,1,0.002560968640954242,0.8412741831919387
MEASURE_ET_DC_RF_Vbgs_0p1,numeric_cluster,1,0.002558939005802366,0.8419272872710016
MEASURE_ET_LT_SEC_Id_min_mA_mm_Vd8,numeric_cluster,1,0.0025488758110702404,0.8425778229756277
MEASURE_ET_Rsh_an_ct2_OW_CR,numeric_cluster,1,0.0025441615849077157,0.8432271554939608
MEASURE_ET_DC_Big_S12ang_10GHz,numeric_cluster,1,0.0025353091647607575,0.8438742286572664
MEASURE_ET_DC_RF_Vt_gd,numeric_cluster,1,0.002512107603223511,0.8445153802122625
MEASURE_ET_LT_SEC_Id_min_mA_mm_Vd3,numeric_cluster,1,0.0025068610685148192,0.8451551927227515
THIN_ET_KLV_F_AB_4u,numeric_cluster,1,0.0025062725020879536,0.845794855016634
FIC_ET_DC_PIV_Ids1_QP3,numeric_cluster,1,0.002494058778755431,0.846431400068366
THIN_ET_DC_RF_Vbin_gs,numeric_cluster,1,0.0024905507984368572,0.8470670497973687
MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm,numeric_cluster,1,0.0024837094187096136,0.847700953438248
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_SD3p5,numeric_cluster,1,0.0024813049048632465,0.8483342433881415
MEASURE_ET_DC_RF_S22dB_26GHz,numeric_cluster,1,0.002474802969658702,0.8489658738844902
MEASURE_ET_DC_RF_S21dB_26GHz_W,numeric_cluster,1,0.0024348158978752016,0.8495872986980804
MEASURE_ET_C_CAT_2,numeric_cluster,1,0.0024142821547416525,0.8502034827961362
MEASURE_ET_DC_SEC_X_Bin,numeric_cluster,1,0.0023970706592713947,0.8508152740978525
MEASURE_ET_DC_Diode_Vbpin,numeric_cluster,1,0.0023951163336430148,0.8514265666076721
MEASURE_ET_RF_Modeling_Ls,numeric_cluster,1,0.0023872919622539355,0.8520358621457552
SIN_ET_DC_RF_Vt_gd,numeric_cluster,1,0.0023850868205632383,0.8526445948775229
MEASURE_ET_DC_RD_Ft,numeric_cluster,1,0.0023697595761089174,0.8532494157200853
TFRP_ET_Rsh_TFR2,numeric_cluster,1,0.002365565956913565,0.8538531662480382
MEASURE_ET_DC_RF_S11ang_26GHz_W,numeric_cluster,1,0.002348286733997675,0.854452506693944
MEASURE_ET_DC_SEC_S_Vboff_Id_plus_Ig_FPSD3p2,numeric_cluster,1,0.002347179967908542,0.8550515646659628
MEASURE_ET_DC_Big_Vg_max_Vd_0p1mA,numeric_cluster,1,0.0023446543960736555,0.855649978050024
