unit,cluster_size,oof_importance,cumulative_fraction
MEASURE_ET_RF_Modeling_Fmax,1,0.003939809360384601,0.8073699329162722
MEASURE_ET_DC_Diode_S11_dB_forw_9p5,1,0.0039353572100745676,0.8083793473965967
MEASURE_ET_DC_SEC_Vboff_2_1,1,0.003927261258622067,0.8093866852749275
MEASURE_ET_DC_SEC_X_Bin,1,0.003918328756743445,0.8103917319770676
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_SD3p5,1,0.0038816123350255715,0.8113873609603656
TOPSIN_ET_Probe_Number,1,0.003862288591264782,0.8123780334261926
MEASURE_ET_DC_RF_S11ang_26GHz_W,1,0.003856268205457884,0.8133671616701648
MEASURE_ET_DC_Big_S11dB_10GHz,1,0.00382825631419391,0.814349104897084
THIN_ET_DC_RF_Vbgd_0p01,1,0.0038076912772186814,0.8153257732162877
OHMIC_ET_OHMC,1,0.003796200683930568,0.816299494211873
MEASURE_ET_DC_RF_Vbin_gs,1,0.003790723415544698,0.817271810294581
MEASURE_ET_DC_RF_Max_S11_Ph_L1018,1,0.0037864074825688645,0.8182430193455736
TOPSIN_ET_DC_PIV_Ids1_QP1,1,0.003766714292774051,0.8192091771166237
ANODE_ET_Ran_con_2_OW_CR,1,0.0037623285483784816,0.8201742099494118
MEASURE_ET_DC_RF_S11dB_26GHz_W,1,0.003741956383542626,0.8211340173459605
SIN_GATE_ET_sh_GA144,1,0.003729518345015661,0.8220906344003049
TOPSIN_ET_DC_RF_Vds_max,1,0.0037073671360299517,0.8230415696956849
MEASURE_ET_LT_SEC_Id_min_mA_mm_Vd8,1,0.0036994344349042876,0.8239904702625873
MEASURE_ET_C385pf,1,0.003694694915183793,0.8249381551482745
THIN_ET_KLV_F_AB_4u,1,0.003660653358715174,0.8258771084148995
MEASURE_ET_DC_RF_Vbgs1,1,0.003642985594297536,0.8268115299208008
THIN_ET_Ran_con_1_OW_CR,1,0.003602691928840201,0.8277356161490622
FIC_ET_DC_PIV_Ids1_QP3,1,0.003599701186723459,0.8286589352555
MEASURE_ET_DC_Big_Vg_max_Vd,1,0.003526016764593444,0.8295633543946156
MEASURE_ET_Load_Pull_Gain_comp_Last,1,0.0035125068754718602,0.8304643082631142
MEASURE_ET_DC_Stress_Id_max_Ig_after,1,0.0035084846649404188,0.831364230439358
TOPSIN_ET_DC_SMALL_Vds_max,1,0.003505378974794267,0.8322633560097444
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,1,0.00349304905874599,0.8331593189712148
MEASURE_ET_DC_RF_Max_S11_Ph_L1002,1,0.0034834235972435387,0.8340528130131687
THIN_ET_R_4000_HOR,1,0.0034763211553316894,0.8349444852871536
FIC_ET_DC_RF_Vds_max_0p1,1,0.0034225812955512003,0.8358223733505225
OHMIC_ET_R114,1,0.0034031473814656863,0.8366952766378621
MEASURE_ET_LT_SEC_Vd_Id_min_Vd3,1,0.0034022164644827877,0.8375679411460942
TOPSIN_ET_sh_GA144,1,0.003358556995181364,0.8384294070519724
THIN_ET_Vbpin,1,0.0033407645413086164,0.8392863092144289
TOPSIN_ET_Load_Pull_PhL_meas,1,0.003303358809209363,0.8401336168507438
MEASURE_ET_DC_RD_Ft,1,0.003299069219556818,0.840979824212375
TOPSIN_ET_DC_PIV_Ids0_QP3,1,0.0032963654645494214,0.8418253380640376
TOPSIN_ET_DC_RF_Vbgs1,1,0.003271230557357113,0.8426644048416665
MEASURE_ET_LT_SEC_Id_min_mA_mm_Vd3,1,0.003268564718061983,0.8435027878346621
MEASURE_ET_R_f_hr_3,1,0.0032633920787280236,0.8443398440517729
THIN_ET_C20_0,1,0.0032579861648655154,0.8451755136583573
MEASURE_ET_DC_RD_MSG_35GHz,1,0.003250862060680826,0.8460093559406254
MEASURE_ET_DC_RF_Vbon_min,1,0.0032282820962896254,0.8468374064886734
THIN_ET_sh_f_hr_23,1,0.0031903743664518786,0.8476557337487525
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_neg_FPSD3p2,1,0.003182660693733003,0.8484720824608819
TOPSIN_ET_Load_Pull_Gss,1,0.003154561120839608,0.849281223665724
SIN_ET_DC_RF_Vt_gd,1,0.0031110860259981033,0.8500792135600437
MEASURE_ET_DC_RF_S11dB_10GHz,1,0.0030554927320268705,0.8508629438400647
TOPSIN_ET_Vds_max,1,0.0030433518253248797,0.8516435599918438
ANODE_ET_Probe_Number,1,0.003008834678541682,0.8524153225362063
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_FPSD3p2,1,0.002990386592397328,0.8531823531682432
MEASURE_ET_DC_SEC_S_Ids_max_FPSD3p2,1,0.0029809862996853795,0.8539469726362925
TOPSIN_ET_DC_RF_Vg_max_Vd,1,0.002914357944325741,0.8546945020098193
SIN_ET_Probe_Number,1,0.002875835214748769,0.8554321503486697
MEASURE_ET_DC_RF_S21ang_26GHz_W,1,0.002839270815051792,0.8561604199621471
FIC_ET_sh_f_tn_23,1,0.0028375587929727816,0.8568882504439814
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,1,0.0028183806171875603,0.8576111617463588
FIC_ET_DC_RF_Vbgs1,1,0.0028112757460572136,0.8583322506576754
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm_FPSD3p2,1,0.002772640467204701,0.8590434296655595
MEASURE_ET_DC_SEC_S_Ig_cut3_mAmm_neg_SD3p5,1,0.002768160505815536,0.8597534595686339
TOPSIN_ET_R_f_hr_2,1,0.0027552728614973253,0.8604601838061493
FIC_ET_DC_RF_Vbgd_0p1,1,0.0027531036020466276,0.8611663516311755
MEASURE_ET_DC_RF_MAG_26GHz,1,0.0027270967479706967,0.8618658487288214
SIN_GATE_ET_Ran_con_2,1,0.0027226970350303836,0.8625642173052903
ANODE_ET_Ran_con_3,1,0.0026748517686946767,0.8632503136274056
MEASURE_ET_DC_SMALL_Vbgs_0p01,1,0.0026726070393422877,0.8639358341790909
MEASURE_ET_DC_RF_Min_S21_Ph_L1018,1,0.00266067243729629,0.8646182935194353
MEASURE_ET_DC_RF_S11ang_10GHz,1,0.0026405107761955666,0.8652955814175
MEASURE_ET_DC_RF_CF_S22_Ph_L1018,1,0.0025938735895817164,0.8659609069322339
MEASURE_ET_DC_RD_Vbon_max,1,0.0025612076017948403,0.8666178536596493
TOPSIN_ET_DC_SMALL_Vds_max_0p1,1,0.0025334281965054143,0.86726767500239
TOPSIN_ET_R514,1,0.0025164014366871384,0.8679131290013302
MEASURE_ET_DC_RF_Vboff_ON,1,0.0024906922993476275,0.868551988636882
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_pos_SD3p5,1,0.0024675939625238533,0.8691849235762965
THIN_ET_DC_RF_Vt_gs,1,0.002451846834285365,0.8698138193959007
MEASURE_ET_DC_RF_Min_S21_Freq_L2180,1,0.0024474878335442587,0.870441597136959
MEASURE_ET_DC_SMALL_Vbgd_0p1,1,0.0024443739103815476,0.8710685761604006
MEASURE_ET_DC_RF_CF_S21_Mag_L1002,1,0.0024265841452750566,0.8716909921300858
MEASURE_ET_Load_Pull_PhL_set,1,0.0024206972036476455,0.8723118981061908
MEASURE_ET_DC_SEC_X_Ron_SD3p5,1,0.002406426515715552,0.8729291436676818
TOPSIN_ET_HIRS,1,0.002387425036478135,0.8735415153721717
TOPSIN_ET_C500pf,1,0.002378544850429682,0.8741516093194197
ANODE_ET_Ran_con_1_OW_CR,1,0.002378162900882894,0.8747616052970596
MEASURE_ET_RF_Modeling_R_Gs,1,0.002366066332537131,0.8753684985191938
FMESA_ET_Vbkd,1,0.0023188017120458967,0.8759632684219484
MEASURE_ET_Load_Pull_Gss,1,0.0023064354100352747,0.8765548663828304
FIC_ET_R_f_tn_2,1,0.002272535566652015,0.8771377690738894
MEASURE_ET_DC_RF_S22dB_26GHz_W,1,0.002258406069299087,0.8777170475655514
CATHODE_ET_Rc_cat_ct2,2,0.002230078285762538,0.8782890600141655
MEASURE_ET_DC_SEC_S_Vboff_Id_plus_Ig_FPSD3p2,1,0.002215912966930874,0.8788574390752156
MEASURE_ET_DC_SMALL_Vboff,1,0.0021879337665661556,0.87941864150439
MEASURE_ET_DC_Big_S12ang_10GHz,1,0.0021869209809094576,0.8799795841552386
MEASURE_ET_DC_RF_Max_S11_Freq_L2180,1,0.002183574190906849,0.880539668358401
MEASURE_ET_RF_Modeling_Ls,1,0.0021728872600118325,0.8810970113764004
TOPSIN_ET_Load_Pull_Id_ord,1,0.002144525268113375,0.8816470795769474
TOPSIN_ET_Load_Pull_IG_comp_Last_uA,1,0.0021406391675560937,0.8821961509972874
MEASURE_ET_RF_Modeling_Lg,1,0.002114192066123461,0.8827384387673198
MEASURE_ET_DC_RF_Max_S11_Mag_L1018,1,0.002110455387076215,0.8832797680835862
FIC_ET_DC_RF_Vg_optt1,1,0.002106780493278725,0.8838201547939302
MEASURE_ET_DC_RF_S22dB_10GHz,1,0.002099076727221108,0.8843585654973716
MEASURE_ET_RF_Modeling_Cds,1,0.0020949777754764778,0.8848959248245275
THIN_ET_Ran_con_3_OW_CR,1,0.0020833404378126424,0.8854302991883057
THIN_ET_DC_RF_Vbgs_0p01,1,0.0020697034607112864,0.8859611756835503
MEASURE_ET_DC_RF_Vt_gs,1,0.002066396526930841,0.8864912039541826
FIC_ET_R114,1,0.0020528301240507855,0.8870177524584857
MEASURE_ET_DC_RD_Vboff_ON,1,0.002048367753728476,0.8875431563700671
MEASURE_ET_DC_RF_CF_S11_Ph_L1018,1,0.0020455423971820134,0.8880678355810285
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_pos_SD3p5,1,0.0020346368833711083,0.8885897175405668
MEASURE_ET_DC_SMALL_Vbin_gs,1,0.002008513100761741,0.8891048987806942
MEASURE_ET_DC_RF_Freq_cut_L1018,1,0.0020058963951611864,0.889619408838923
MEASURE_ET_RF_Modeling_Mag_d,1,0.001992190762319558,0.8901304034185018
MEASURE_ET_DC_RD_Vg_Vbon_min,1,0.0019579790881833186,0.8906326227440372
MEASURE_ET_DC_SMALL_Vdg_max_0p1,1,0.001944763513041085,0.8911314522901442
MEASURE_ET_DC_Diode_S21_dB_rev,1,0.0019427330988116595,0.8916297610373974
MEASURE_ET_DC_RF_S12dB_10GHz,1,0.0019198953098824283,0.8921222119187409
MEASURE_ET_DC_SEC_X_Vg_at_I2_neg,1,0.0019191374301369278,0.892614468404824
MEASURE_ET_DC_SEC_S_Ids_max_norm,1,0.001918542423669929,0.8931065722724504
MEASURE_ET_DC_Diode_S11_dB_rev,1,0.001910973815699069,0.8935967348010639
